Date,TIGER 농산물선물Enhanced(H)
2017-06-01,5775.0
2017-06-02,5735.0
2017-06-05,5745.0
2017-06-07,5805.0
2017-06-08,5810.0
2017-06-09,5815.0
2017-06-12,5850.0
2017-06-13,5800.0
2017-06-14,5810.0
2017-06-15,5780.0
2017-06-16,5815.0
2017-06-19,5820.0
2017-06-20,5850.0
2017-06-21,5785.0
2017-06-22,5765.0
2017-06-23,5730.0
2017-06-26,5695.0
2017-06-27,5670.0
2017-06-28,5680.0
2017-06-29,5685.0
2017-06-30,5830.0
2017-07-03,6015.0
2017-07-04,5995.0
2017-07-05,6050.0
2017-07-06,6085.0
2017-07-07,6080.0
2017-07-10,6210.0
2017-07-11,6235.0
2017-07-12,6210.0
2017-07-13,6045.0
2017-07-14,5965.0
2017-07-17,5980.0
2017-07-18,6020.0
2017-07-19,5995.0
2017-07-20,6000.0
2017-07-21,6085.0
2017-07-24,5965.0
2017-07-25,6020.0
2017-07-26,5875.0
2017-07-27,5910.0
2017-07-28,5925.0
2017-07-31,5895.0
2017-08-01,5925.0
2017-08-02,5870.0
2017-08-03,5815.0
2017-08-04,5795.0
2017-08-07,5815.0
2017-08-08,5840.0
2017-08-09,5820.0
2017-08-10,5800.0
2017-08-11,5640.0
2017-08-14,5600.0
2017-08-16,5555.0
2017-08-17,5505.0
2017-08-18,5510.0
2017-08-21,5495.0
2017-08-22,5525.0
2017-08-23,5470.0
2017-08-24,5450.0
2017-08-25,5485.0
2017-08-28,5485.0
2017-08-29,5445.0
2017-08-30,5425.0
2017-08-31,5400.0
2017-09-01,5485.0
2017-09-04,5480.0
2017-09-05,5500.0
2017-09-06,5530.0
2017-09-07,5560.0
2017-09-08,5545.0
2017-09-11,5525.0
2017-09-12,5510.0
2017-09-13,5475.0
2017-09-14,5505.0
2017-09-15,5520.0
2017-09-18,5585.0
2017-09-19,5515.0
2017-09-20,5470.0
2017-09-21,5515.0
2017-09-22,5535.0
2017-09-25,5520.0
2017-09-26,5525.0
2017-09-27,5510.0
2017-09-28,5500.0
2017-09-29,5480.0
2017-10-10,5455.0
2017-10-11,5455.0
2017-10-12,5430.0
2017-10-13,5480.0
2017-10-16,5520.0
2017-10-17,5485.0
2017-10-18,5450.0
2017-10-19,5445.0
2017-10-20,5470.0
2017-10-23,5430.0
2017-10-24,5450.0
2017-10-25,5490.0
2017-10-26,5470.0
2017-10-27,5425.0
2017-10-30,5455.0
2017-10-31,5465.0
2017-11-01,5430.0
2017-11-02,5455.0
2017-11-03,5460.0
2017-11-06,5435.0
2017-11-07,5435.0
2017-11-08,5445.0
2017-11-09,5450.0
2017-11-10,5400.0
2017-11-13,5410.0
2017-11-14,5405.0
2017-11-15,5390.0
2017-11-16,5360.0
2017-11-17,5365.0
2017-11-20,5410.0
2017-11-21,5385.0
2017-11-22,5395.0
2017-11-23,5435.0
2017-11-24,5430.0
2017-11-27,5410.0
2017-11-28,5390.0
2017-11-29,5360.0
2017-11-30,5385.0
2017-12-01,5385.0
2017-12-04,5450.0
2017-12-05,5415.0
2017-12-06,5410.0
2017-12-07,5365.0
2017-12-08,5315.0
2017-12-11,5290.0
2017-12-12,5275.0
2017-12-13,5250.0
2017-12-14,5245.0
2017-12-15,5205.0
2017-12-18,5195.0
2017-12-19,5190.0
2017-12-20,5210.0
2017-12-21,5235.0
2017-12-22,5255.0
2017-12-26,5255.0
2017-12-27,5285.0
2017-12-28,5295.0
2018-01-02,5320.0
2018-01-03,5370.0
2018-01-04,5345.0
2018-01-05,5345.0
2018-01-08,5320.0
2018-01-09,5290.0
2018-01-10,5315.0
2018-01-11,5300.0
2018-01-12,5255.0
2018-01-15,5255.0
2018-01-16,5240.0
2018-01-17,5230.0
2018-01-18,5250.0
2018-01-19,5245.0
2018-01-22,5245.0
2018-01-23,5215.0
2018-01-24,5225.0
2018-01-25,5325.0
2018-01-26,5335.0
2018-01-29,5385.0
2018-01-30,5390.0
2018-01-31,5445.0
2018-02-01,5380.0
2018-02-02,5360.0
2018-02-05,5320.0
2018-02-06,5300.0
2018-02-07,5430.0
2018-02-08,5405.0
2018-02-09,5390.0
2018-02-12,5410.0
2018-02-13,5435.0
2018-02-14,5450.0
2018-02-19,5460.0
2018-02-20,5470.0
2018-02-21,5450.0
2018-02-22,5450.0
2018-02-23,5480.0
2018-02-26,5500.0
2018-02-27,5510.0
2018-02-28,5555.0
2018-03-02,5695.0
2018-03-05,5635.0
2018-03-06,5660.0
2018-03-07,5680.0
2018-03-08,5590.0
2018-03-09,5625.0
2018-03-12,5565.0
2018-03-13,5590.0
2018-03-14,5620.0
2018-03-15,5580.0
2018-03-16,5550.0
2018-03-19,5490.0
2018-03-20,5440.0
2018-03-21,5425.0
2018-03-22,5440.0
2018-03-23,5440.0
2018-03-26,5455.0
2018-03-27,5430.0
2018-03-28,5410.0
2018-03-29,5390.0
2018-03-30,5500.0
2018-04-02,5560.0
2018-04-03,5475.0
2018-04-04,5480.0
2018-04-05,5465.0
2018-04-06,5445.0
2018-04-09,5550.0
2018-04-10,5580.0
2018-04-11,5580.0
2018-04-12,5565.0
2018-04-13,5550.0
2018-04-16,5495.0
2018-04-17,5490.0
2018-04-18,5495.0
2018-04-19,5505.0
2018-04-20,5485.0
2018-04-23,5455.0
2018-04-24,5410.0
2018-04-25,5410.0
2018-04-26,5475.0
2018-04-27,5465.0
2018-04-30,5560.0
2018-05-02,5590.0
2018-05-03,5570.0
2018-05-04,5620.0
2018-05-08,5550.0
2018-05-09,5520.0
2018-05-10,5555.0
2018-05-11,5530.0
2018-05-14,5465.0
2018-05-15,5465.0
2018-05-16,5450.0
2018-05-17,5450.0
2018-05-18,5465.0
2018-05-21,5545.0
2018-05-23,5660.0
2018-05-24,5690.0
2018-05-25,5655.0
2018-05-28,5705.0
2018-05-29,5750.0
2018-05-30,5635.0
2018-05-31,5590.0
2018-06-01,5625.0
2018-06-04,5555.0
2018-06-05,5490.0
2018-06-07,5500.0
2018-06-08,5420.0
2018-06-11,5460.0
2018-06-12,5405.0
2018-06-14,5380.0
2018-06-15,5285.0
2018-06-18,5205.0
2018-06-19,5105.0
2018-06-20,5135.0
2018-06-21,5135.0
2018-06-22,5135.0
2018-06-25,5105.0
2018-06-26,5065.0
2018-06-27,5050.0
2018-06-28,5015.0
2018-06-29,5015.0
2018-07-02,5005.0
2018-07-03,4935.0
2018-07-04,4935.0
2018-07-05,4925.0
2018-07-06,4955.0
2018-07-09,5000.0
2018-07-10,4990.0
2018-07-11,4900.0
2018-07-12,4860.0
2018-07-13,4870.0
2018-07-16,4840.0
2018-07-17,4895.0
2018-07-18,4910.0
2018-07-19,4900.0
2018-07-20,4935.0
2018-07-23,5010.0
2018-07-24,5000.0
2018-07-25,4985.0
2018-07-26,5145.0
2018-07-27,5125.0
2018-07-30,5080.0
2018-07-31,5165.0
2018-08-01,5175.0
2018-08-02,5195.0
2018-08-03,5160.0
2018-08-06,5225.0
2018-08-07,5320.0
2018-08-08,5300.0
2018-08-09,5285.0
2018-08-10,5190.0
2018-08-13,5065.0
2018-08-14,5060.0
2018-08-16,5135.0
2018-08-17,5130.0
2018-08-20,5135.0
2018-08-21,5100.0
2018-08-22,5060.0
2018-08-23,5015.0
2018-08-24,4950.0
2018-08-27,4915.0
2018-08-28,4900.0
2018-08-29,4870.0
2018-08-30,4950.0
2018-08-31,4935.0
2018-09-03,4975.0
2018-09-04,4970.0
2018-09-05,4930.0
2018-09-06,4920.0
2018-09-07,4885.0
2018-09-10,4910.0
2018-09-11,4940.0
2018-09-12,4935.0
2018-09-13,4890.0
2018-09-14,4855.0
2018-09-17,4845.0
2018-09-18,4805.0
2018-09-19,4775.0
2018-09-20,4785.0
2018-09-21,4840.0
2018-09-27,4850.0
2018-09-28,4890.0
2018-10-01,4850.0
2018-10-02,4885.0
