Date,KINDEX 레버리지
2016-02-01,3560.0
2016-02-02,3525.0
2016-02-03,3455.0
2016-02-04,3545.0
2016-02-05,3575.0
2016-02-11,3390.0
2016-02-12,3335.0
2016-02-15,3420.0
2016-02-16,3495.0
2016-02-17,3520.0
2016-02-18,3585.0
2016-02-19,3610.0
2016-02-22,3610.0
2016-02-23,3605.0
2016-02-24,3600.0
2016-02-25,3610.0
2016-02-26,3635.0
2016-02-29,3625.0
2016-03-02,3730.0
2016-03-03,3750.0
2016-03-04,3760.0
2016-03-07,3785.0
2016-03-08,3725.0
2016-03-09,3725.0
2016-03-10,3800.0
2016-03-11,3845.0
2016-03-14,3830.0
2016-03-15,3815.0
2016-03-16,3835.0
2016-03-17,3870.0
2016-03-18,3895.0
2016-03-21,3875.0
2016-03-22,3910.0
2016-03-23,3900.0
2016-03-24,3900.0
2016-03-25,3885.0
2016-03-28,3890.0
2016-03-29,3925.0
2016-03-30,3955.0
2016-03-31,3940.0
2016-04-01,3830.0
2016-04-04,3840.0
2016-04-05,3770.0
2016-04-06,3805.0
2016-04-07,3805.0
2016-04-08,3785.0
2016-04-11,3810.0
2016-04-12,3850.0
2016-04-14,3995.0
2016-04-15,3995.0
2016-04-18,3965.0
2016-04-19,3985.0
2016-04-20,3975.0
2016-04-21,4015.0
2016-04-22,3985.0
2016-04-25,3990.0
2016-04-26,3995.0
2016-04-27,3995.0
2016-04-28,3920.0
2016-04-29,3915.0
2016-05-02,3845.0
2016-05-03,3865.0
2016-05-04,3830.0
2016-05-09,3810.0
2016-05-10,3835.0
2016-05-11,3825.0
2016-05-12,3815.0
2016-05-13,3755.0
2016-05-16,3760.0
2016-05-17,3755.0
2016-05-18,3720.0
2016-05-19,3700.0
2016-05-20,3700.0
2016-05-23,3720.0
2016-05-24,3670.0
2016-05-25,3750.0
2016-05-26,3755.0
2016-05-27,3780.0
2016-05-30,3780.0
2016-05-31,3820.0
2016-06-01,3825.0
2016-06-02,3845.0
2016-06-03,3855.0
2016-06-07,3950.0
2016-06-08,4025.0
2016-06-09,4015.0
2016-06-10,4005.0
2016-06-13,3865.0
2016-06-14,3825.0
2016-06-15,3810.0
2016-06-16,3760.0
2016-06-17,3760.0
2016-06-20,3860.0
2016-06-21,3860.0
2016-06-22,3900.0
2016-06-23,3905.0
2016-06-24,3675.0
2016-06-27,3675.0
2016-06-28,3695.0
2016-06-29,3780.0
2016-06-30,3815.0
2016-07-01,3895.0
2016-07-04,3925.0
2016-07-05,3920.0
2016-07-06,3760.0
2016-07-07,3835.0
2016-07-08,3805.0
2016-07-11,3910.0
2016-07-12,3915.0
2016-07-13,3970.0
2016-07-14,3980.0
2016-07-15,4025.0
2016-07-18,4040.0
2016-07-19,4020.0
2016-07-20,4010.0
2016-07-21,4020.0
2016-07-22,4015.0
2016-07-25,4020.0
2016-07-26,4095.0
2016-07-27,4085.0
2016-07-28,4070.0
2016-07-29,4090.0
2016-08-01,4120.0
2016-08-02,4065.0
2016-08-03,3975.0
2016-08-04,3985.0
2016-08-05,4065.0
2016-08-08,4125.0
2016-08-09,4190.0
2016-08-10,4160.0
2016-08-11,4170.0
2016-08-12,4190.0
2016-08-16,4195.0
2016-08-17,4180.0
2016-08-18,4240.0
2016-08-19,4275.0
2016-08-22,4230.0
2016-08-23,4255.0
2016-08-24,4215.0
2016-08-25,4225.0
2016-08-26,4210.0
2016-08-29,4195.0
2016-08-30,4235.0
2016-08-31,4210.0
2016-09-01,4175.0
2016-09-02,4190.0
2016-09-05,4300.0
2016-09-06,4330.0
2016-09-07,4330.0
2016-09-08,4315.0
2016-09-09,4210.0
2016-09-12,4005.0
2016-09-13,4035.0
2016-09-19,4100.0
2016-09-20,4115.0
2016-09-21,4165.0
2016-09-22,4235.0
2016-09-23,4235.0
2016-09-26,4210.0
2016-09-27,4270.0
2016-09-28,4245.0
2016-09-29,4315.0
2016-09-30,4215.0
2016-10-04,4265.0
2016-10-05,4250.0
2016-10-06,4300.0
2016-10-07,4285.0
2016-10-10,4300.0
2016-10-11,4175.0
2016-10-12,4165.0
2016-10-13,4100.0
