Date,TIGER 은행
2016-03-29,6220.0
2016-03-30,6135.0
2016-03-31,6180.0
2016-04-01,6060.0
2016-04-04,6010.0
2016-04-05,6050.0
2016-04-06,6025.0
2016-04-07,6090.0
2016-04-08,5995.0
2016-04-11,5955.0
2016-04-12,6035.0
2016-04-14,6325.0
2016-04-15,6350.0
2016-04-18,6380.0
2016-04-19,6455.0
2016-04-20,6525.0
2016-04-21,6565.0
2016-04-22,6620.0
2016-04-25,6645.0
2016-04-26,6595.0
2016-04-27,6580.0
2016-04-28,6390.0
2016-04-29,6295.0
2016-05-02,6155.0
2016-05-03,6160.0
2016-05-04,6065.0
2016-05-09,6015.0
2016-05-10,6050.0
2016-05-11,6085.0
2016-05-12,6070.0
2016-05-13,5965.0
2016-05-16,5990.0
2016-05-17,5960.0
2016-05-18,5885.0
2016-05-19,6125.0
2016-05-20,6015.0
2016-05-23,5970.0
2016-05-24,5910.0
2016-05-25,6090.0
2016-05-26,6090.0
2016-05-27,6085.0
2016-05-30,6035.0
2016-05-31,6130.0
2016-06-01,6075.0
2016-06-02,6070.0
2016-06-03,6030.0
2016-06-07,6095.0
2016-06-08,6190.0
2016-06-09,6285.0
2016-06-10,6210.0
2016-06-13,6080.0
2016-06-14,6000.0
2016-06-15,5870.0
2016-06-16,5875.0
2016-06-17,5865.0
2016-06-20,6045.0
2016-06-21,5960.0
2016-06-22,6040.0
2016-06-23,6080.0
2016-06-24,5790.0
2016-06-27,5720.0
2016-06-28,5680.0
2016-06-29,5810.0
2016-06-30,5810.0
2016-07-01,5835.0
2016-07-04,5825.0
2016-07-05,5795.0
2016-07-06,5665.0
2016-07-07,5750.0
2016-07-08,5675.0
2016-07-11,5755.0
2016-07-12,5875.0
2016-07-13,5935.0
2016-07-14,5875.0
2016-07-15,6040.0
2016-07-18,5995.0
2016-07-19,6050.0
2016-07-20,5980.0
2016-07-21,6065.0
2016-07-22,6150.0
2016-07-25,6400.0
2016-07-26,6385.0
2016-07-27,6435.0
2016-07-28,6330.0
2016-07-29,6305.0
2016-08-01,6380.0
2016-08-02,6295.0
2016-08-03,6210.0
2016-08-04,6190.0
2016-08-05,6310.0
2016-08-08,6475.0
2016-08-09,6550.0
2016-08-10,6530.0
2016-08-11,6490.0
2016-08-12,6530.0
2016-08-16,6505.0
2016-08-17,6445.0
2016-08-18,6435.0
2016-08-19,6380.0
2016-08-22,6340.0
2016-08-23,6460.0
2016-08-24,6400.0
2016-08-25,6535.0
2016-08-26,6455.0
2016-08-29,6565.0
2016-08-30,6605.0
2016-08-31,6600.0
2016-09-01,6695.0
2016-09-02,6585.0
2016-09-05,6670.0
2016-09-06,6680.0
2016-09-07,6740.0
2016-09-08,6710.0
2016-09-09,6700.0
2016-09-12,6670.0
2016-09-13,6545.0
2016-09-19,6555.0
2016-09-20,6540.0
2016-09-21,6625.0
2016-09-22,6570.0
2016-09-23,6620.0
2016-09-26,6590.0
2016-09-27,6625.0
2016-09-28,6585.0
2016-09-29,6595.0
2016-09-30,6495.0
2016-10-04,6620.0
2016-10-05,6570.0
2016-10-06,6600.0
2016-10-07,6545.0
2016-10-10,6705.0
2016-10-11,6855.0
2016-10-12,6840.0
2016-10-13,6745.0
2016-10-14,6780.0
2016-10-17,6885.0
2016-10-18,7085.0
2016-10-19,7145.0
2016-10-20,7195.0
2016-10-21,7230.0
2016-10-24,7370.0
2016-10-25,7380.0
2016-10-26,7240.0
2016-10-27,7240.0
2016-10-28,7165.0
2016-10-31,7240.0
2016-11-01,7180.0
2016-11-02,7070.0
2016-11-03,7115.0
2016-11-04,7060.0
2016-11-07,7140.0
2016-11-08,7080.0
2016-11-09,6940.0
2016-11-10,7305.0
2016-11-11,7435.0
2016-11-14,7320.0
2016-11-15,7310.0
2016-11-16,7190.0
2016-11-17,7070.0
2016-11-18,7180.0
2016-11-21,7115.0
2016-11-22,7095.0
2016-11-23,7235.0
2016-11-24,7250.0
2016-11-25,7220.0
2016-11-28,7190.0
2016-11-29,7165.0
2016-11-30,7145.0
2016-12-01,7195.0
2016-12-02,7210.0
2016-12-05,7140.0
2016-12-06,7150.0
2016-12-07,7285.0
2016-12-08,7530.0
2016-12-09,7480.0
2016-12-12,7530.0
2016-12-13,7410.0
2016-12-14,7460.0
2016-12-15,7405.0
2016-12-16,7540.0
2016-12-19,7535.0
2016-12-20,7495.0
2016-12-21,7530.0
2016-12-22,7465.0
2016-12-23,7430.0
2016-12-26,7450.0
2016-12-27,7430.0
2016-12-28,7485.0
2016-12-29,7385.0
2017-01-02,7300.0
2017-01-03,7410.0
2017-01-04,7515.0
2017-01-05,7345.0
2017-01-06,7335.0
2017-01-09,7295.0
2017-01-10,7355.0
2017-01-11,7420.0
2017-01-12,7480.0
2017-01-13,7410.0
2017-01-16,7545.0
2017-01-17,7640.0
2017-01-18,7690.0
2017-01-19,7610.0
2017-01-20,7635.0
2017-01-23,7515.0
2017-01-24,7535.0
2017-01-25,7655.0
2017-01-26,7750.0
2017-01-31,7695.0
2017-02-01,7835.0
2017-02-02,7780.0
2017-02-03,7840.0
2017-02-06,7870.0
2017-02-07,7825.0
2017-02-08,7830.0
2017-02-09,7920.0
2017-02-10,8020.0
2017-02-13,7980.0
2017-02-14,7980.0
2017-02-15,7870.0
2017-02-16,7830.0
2017-02-17,7905.0
2017-02-20,7875.0
2017-02-21,7955.0
2017-02-22,7940.0
2017-02-23,7935.0
2017-02-24,7935.0
2017-02-27,7645.0
