Date,KBSTAR 200
2015-11-05,25315.0
2015-11-06,25135.0
2015-11-09,25055.0
2015-11-10,24690.0
2015-11-11,24650.0
2015-11-12,24675.0
2015-11-13,24355.0
2015-11-16,24085.0
2015-11-17,24265.0
2015-11-18,24225.0
2015-11-19,24530.0
2015-11-20,24580.0
2015-11-23,24725.0
2015-11-24,24825.0
2015-11-25,24800.0
2015-11-26,25110.0
2015-11-27,25055.0
2015-11-30,24595.0
2015-12-01,24945.0
2015-12-02,24780.0
2015-12-03,24570.0
2015-12-04,24290.0
2015-12-07,24200.0
2015-12-08,24100.0
2015-12-09,24090.0
2015-12-10,24215.0
2015-12-11,24185.0
2015-12-14,23995.0
2015-12-15,24030.0
2015-12-16,24530.0
2015-12-17,24490.0
2015-12-18,24470.0
2015-12-21,24530.0
2015-12-22,24610.0
2015-12-23,24815.0
2015-12-24,24705.0
2015-12-28,24355.0
2015-12-29,24580.0
2015-12-30,24495.0
2016-01-04,23930.0
2016-01-05,24080.0
2016-01-06,23905.0
2016-01-07,23665.0
2016-01-08,23840.0
2016-01-11,23595.0
2016-01-12,23515.0
2016-01-13,23860.0
2016-01-14,23650.0
2016-01-15,23370.0
2016-01-18,23375.0
2016-01-19,23445.0
2016-01-20,22945.0
2016-01-21,22880.0
2016-01-22,23375.0
2016-01-25,23530.0
2016-01-26,23220.0
2016-01-27,23540.0
2016-01-28,23605.0
2016-01-29,23645.0
2016-02-01,23780.0
2016-02-02,23615.0
2016-02-03,23385.0
2016-02-04,23765.0
2016-02-05,23845.0
2016-02-11,23195.0
2016-02-12,22990.0
2016-02-15,23340.0
2016-02-16,23655.0
2016-02-17,23685.0
2016-02-18,23905.0
2016-02-19,23950.0
2016-02-22,23990.0
2016-02-23,24020.0
2016-02-24,23965.0
2016-02-25,23980.0
2016-02-26,24040.0
2016-02-29,24010.0
2016-03-02,24400.0
2016-03-03,24460.0
2016-03-04,24470.0
2016-03-07,24520.0
2016-03-08,24350.0
2016-03-09,24435.0
2016-03-10,24700.0
2016-03-11,24740.0
2016-03-14,24710.0
2016-03-15,24700.0
2016-03-16,24740.0
2016-03-17,24900.0
2016-03-18,24925.0
2016-03-21,24905.0
2016-03-22,24990.0
2016-03-23,24970.0
2016-03-24,24900.0
2016-03-25,24880.0
2016-03-28,24910.0
2016-03-29,25025.0
2016-03-30,25140.0
2016-03-31,25045.0
2016-04-01,24720.0
2016-04-04,24730.0
2016-04-05,24535.0
2016-04-06,24685.0
2016-04-07,24675.0
2016-04-08,24640.0
2016-04-11,24660.0
2016-04-12,24825.0
2016-04-14,25320.0
2016-04-15,25335.0
2016-04-18,25265.0
2016-04-19,25305.0
2016-04-20,25220.0
2016-04-21,25400.0
2016-04-22,25295.0
2016-04-25,25285.0
2016-04-26,25370.0
2016-04-27,25370.0
2016-04-28,24660.0
2016-04-29,24610.0
2016-05-02,24385.0
2016-05-03,24465.0
2016-05-04,24335.0
2016-05-09,24275.0
2016-05-10,24390.0
2016-05-11,24340.0
2016-05-12,24290.0
2016-05-13,24105.0
2016-05-16,24150.0
2016-05-17,24135.0
2016-05-18,24005.0
2016-05-19,23955.0
2016-05-20,23945.0
2016-05-23,24025.0
2016-05-24,23860.0
2016-05-25,24165.0
2016-05-26,24150.0
2016-05-27,24260.0
2016-05-30,24210.0
2016-05-31,24490.0
2016-06-01,24400.0
2016-06-02,24450.0
2016-06-03,24485.0
2016-06-07,24830.0
2016-06-08,25070.0
2016-06-09,25080.0
2016-06-10,24990.0
2016-06-13,24490.0
2016-06-14,24395.0
2016-06-15,24355.0
2016-06-16,24175.0
2016-06-17,24230.0
2016-06-20,24550.0
2016-06-21,24560.0
2016-06-22,24680.0
2016-06-23,24705.0
2016-06-24,23905.0
2016-06-27,23980.0
2016-06-28,24050.0
2016-06-29,24315.0
2016-06-30,24500.0
2016-07-01,24705.0
2016-07-04,24820.0
2016-07-05,24750.0
2016-07-06,24255.0
2016-07-07,24545.0
2016-07-08,24425.0
2016-07-11,24775.0
2016-07-12,24800.0
2016-07-13,24940.0
2016-07-14,25005.0
2016-07-15,25105.0
2016-07-18,25155.0
2016-07-19,25110.0
2016-07-20,25070.0
2016-07-21,25105.0
2016-07-22,25070.0
2016-07-25,25095.0
2016-07-26,25315.0
2016-07-27,25325.0
2016-07-28,25230.0
2016-07-29,25285.0
2016-08-01,25440.0
2016-08-02,25245.0
2016-08-03,24950.0
2016-08-04,25000.0
2016-08-05,25255.0
2016-08-08,25435.0
2016-08-09,25650.0
2016-08-10,25565.0
2016-08-11,25600.0
2016-08-12,25655.0
2016-08-16,25680.0
2016-08-17,25655.0
2016-08-18,25820.0
2016-08-19,25895.0
2016-08-22,25770.0
2016-08-23,25875.0
2016-08-24,25750.0
2016-08-25,25770.0
2016-08-26,25705.0
2016-08-29,25680.0
2016-08-30,25815.0
2016-08-31,25740.0
2016-09-01,25630.0
2016-09-02,25700.0
2016-09-05,26035.0
2016-09-06,26135.0
2016-09-07,26065.0
2016-09-08,26070.0
2016-09-09,25770.0
2016-09-12,25135.0
2016-09-13,25185.0
2016-09-19,25465.0
2016-09-20,25530.0
2016-09-21,25650.0
2016-09-22,25865.0
2016-09-23,25865.0
2016-09-26,25790.0
2016-09-27,25950.0
2016-09-28,25875.0
2016-09-29,26095.0
2016-09-30,25790.0
2016-10-04,25940.0
2016-10-05,25930.0
2016-10-06,26105.0
2016-10-07,26045.0
2016-10-10,26050.0
2016-10-11,25695.0
2016-10-12,25700.0
2016-10-13,25470.0
2016-10-14,25610.0
2016-10-17,25645.0
2016-10-18,25795.0
2016-10-19,25830.0
2016-10-20,25840.0
2016-10-21,25770.0
2016-10-24,25930.0
2016-10-25,25895.0
2016-10-26,25600.0
2016-10-27,25690.0
2016-10-28,25700.0
2016-10-31,25665.0
2016-11-01,25670.0
2016-11-02,25365.0
2016-11-03,25425.0
2016-11-04,25360.0
2016-11-07,25560.0
2016-11-08,25630.0
2016-11-09,25135.0
2016-11-10,25580.0
2016-11-11,25345.0
2016-11-14,25165.0
2016-11-15,25055.0
2016-11-16,25150.0
2016-11-17,25110.0
2016-11-18,25125.0
2016-11-21,25055.0
2016-11-22,25335.0
2016-11-23,25430.0
2016-11-24,25315.0
2016-11-25,25340.0
2016-11-28,25405.0
2016-11-29,25410.0
2016-11-30,25570.0
2016-12-01,25555.0
2016-12-02,25380.0
2016-12-05,25350.0
2016-12-06,25640.0
2016-12-07,25725.0
2016-12-08,26170.0
