Date,KODEX MSCI Korea
2018-04-19,15155.0
2018-04-20,15045.0
2018-04-23,14970.0
2018-04-24,14910.0
2018-04-25,14820.0
2018-04-26,15030.0
2018-04-27,14940.0
2018-04-30,15055.0
2018-05-02,15045.0
2018-05-03,14945.0
2018-05-04,14815.0
2018-05-08,14795.0
2018-05-09,14595.0
2018-05-10,14620.0
2018-05-11,14790.0
2018-05-14,14740.0
2018-05-15,14540.0
2018-05-16,14675.0
2018-05-17,14620.0
2018-05-18,14540.0
2018-05-21,14605.0
2018-05-23,14820.0
2018-05-24,14705.0
2018-05-25,14770.0
2018-05-28,14790.0
2018-05-29,14715.0
2018-05-30,14320.0
2018-05-31,14395.0
2018-06-01,14500.0
2018-06-04,14590.0
2018-06-05,14625.0
2018-06-07,14715.0
2018-06-08,14530.0
2018-06-11,14605.0
2018-06-12,14610.0
2018-06-14,14435.0
2018-06-15,14355.0
2018-06-18,14125.0
2018-06-19,13955.0
2018-06-20,14130.0
2018-06-21,13970.0
2018-06-22,13905.0
2018-06-25,14010.0
2018-06-26,14010.0
2018-06-27,14010.0
2018-06-28,13880.0
2018-06-29,13910.0
2018-07-02,13660.0
2018-07-03,13635.0
2018-07-04,13585.0
2018-07-05,13520.0
2018-07-06,13580.0
2018-07-09,13740.0
2018-07-10,13755.0
2018-07-11,13635.0
2018-07-12,13690.0
2018-07-13,13820.0
2018-07-16,13870.0
2018-07-17,13820.0
2018-07-18,13860.0
2018-07-19,13820.0
2018-07-20,13820.0
2018-07-23,13695.0
2018-07-24,13735.0
2018-07-25,13715.0
2018-07-26,13715.0
2018-07-27,13715.0
2018-07-30,13790.0
2018-07-31,13790.0
2018-08-01,13810.0
2018-08-02,13630.0
2018-08-03,13640.0
2018-08-06,13675.0
2018-08-07,13725.0
2018-08-08,13780.0
2018-08-09,13790.0
2018-08-10,13620.0
2018-08-13,13405.0
2018-08-14,13425.0
2018-08-16,13340.0
2018-08-17,13380.0
2018-08-20,13370.0
2018-08-21,13465.0
2018-08-22,13560.0
2018-08-23,13595.0
2018-08-24,13650.0
2018-08-27,13735.0
2018-08-28,13815.0
2018-08-29,13840.0
2018-08-30,13850.0
2018-08-31,13925.0
2018-09-03,13835.0
2018-09-04,13855.0
2018-09-05,13730.0
2018-09-06,13655.0
2018-09-07,13590.0
