Date,KODEX 중국본토 A50
2016-01-11,12820.0
2016-01-12,12770.0
2016-01-13,12800.0
2016-01-14,12665.0
2016-01-15,12450.0
2016-01-18,12555.0
2016-01-19,12755.0
2016-01-20,12590.0
2016-01-21,12340.0
2016-01-22,12290.0
2016-01-25,12270.0
2016-01-26,12160.0
2016-01-27,11785.0
2016-01-28,11730.0
2016-01-29,11885.0
2016-02-01,11710.0
2016-02-02,11855.0
2016-02-03,11825.0
2016-02-04,11855.0
2016-02-05,11855.0
2016-02-11,11300.0
2016-02-12,10915.0
2016-02-15,11745.0
2016-02-16,12150.0
2016-02-17,12265.0
2016-02-18,12460.0
2016-02-19,12450.0
2016-02-22,12570.0
2016-02-23,12450.0
2016-02-24,12450.0
2016-02-25,12255.0
2016-02-26,12200.0
2016-02-29,11880.0
2016-03-02,12440.0
2016-03-03,12440.0
2016-03-04,12585.0
2016-03-07,12625.0
2016-03-08,12540.0
2016-03-09,12545.0
2016-03-10,12590.0
2016-03-11,12425.0
2016-03-14,12555.0
2016-03-15,12350.0
2016-03-16,12595.0
2016-03-17,12645.0
2016-03-18,12695.0
2016-03-21,12895.0
2016-03-22,12740.0
2016-03-23,12605.0
2016-03-24,12635.0
2016-03-25,12525.0
2016-03-28,12550.0
2016-03-29,12455.0
2016-03-30,12540.0
2016-03-31,12590.0
2016-04-01,12685.0
2016-04-04,12650.0
2016-04-05,12705.0
2016-04-06,12660.0
2016-04-07,12545.0
2016-04-08,12490.0
2016-04-11,12525.0
2016-04-12,12505.0
2016-04-14,12680.0
2016-04-15,12680.0
2016-04-18,12530.0
2016-04-19,12410.0
2016-04-20,12190.0
2016-04-21,12405.0
2016-04-22,12460.0
2016-04-25,12540.0
2016-04-26,12535.0
2016-04-27,12480.0
2016-04-28,12395.0
2016-04-29,12335.0
2016-05-02,12220.0
2016-05-03,12500.0
2016-05-04,12560.0
2016-05-09,12405.0
2016-05-10,12325.0
2016-05-11,12325.0
2016-05-12,12245.0
2016-05-13,12300.0
2016-05-16,12285.0
2016-05-17,12290.0
2016-05-18,12300.0
2016-05-19,12375.0
2016-05-20,12410.0
2016-05-23,12400.0
2016-05-24,12400.0
2016-05-25,12395.0
2016-05-26,12410.0
2016-05-27,12410.0
2016-05-30,12495.0
2016-05-31,12830.0
2016-06-01,12755.0
2016-06-02,12740.0
2016-06-03,12695.0
2016-06-07,12570.0
2016-06-08,12525.0
2016-06-09,12445.0
2016-06-10,12565.0
2016-06-13,12425.0
2016-06-14,12350.0
2016-06-15,12360.0
2016-06-16,12330.0
2016-06-17,12335.0
2016-06-20,12410.0
2016-06-21,12465.0
2016-06-22,12410.0
2016-06-23,12335.0
2016-06-24,12310.0
2016-06-27,12520.0
2016-06-28,12340.0
2016-06-29,12310.0
2016-06-30,12365.0
2016-07-01,12240.0
2016-07-04,12365.0
2016-07-05,12365.0
2016-07-06,12330.0
2016-07-07,12305.0
2016-07-08,12290.0
2016-07-11,12265.0
2016-07-12,12335.0
2016-07-13,12510.0
2016-07-14,12445.0
2016-07-15,12365.0
2016-07-18,12430.0
2016-07-19,12330.0
2016-07-20,12340.0
2016-07-21,12410.0
2016-07-22,12320.0
2016-07-25,12280.0
2016-07-26,12375.0
2016-07-27,12220.0
2016-07-28,12210.0
2016-07-29,12230.0
2016-08-01,12140.0
2016-08-02,12035.0
2016-08-03,12050.0
2016-08-04,11990.0
2016-08-05,12040.0
2016-08-08,12000.0
2016-08-09,12010.0
2016-08-10,11980.0
2016-08-11,12175.0
2016-08-12,12300.0
2016-08-16,12455.0
2016-08-17,12570.0
2016-08-18,12540.0
2016-08-19,12605.0
2016-08-22,12630.0
2016-08-23,12625.0
2016-08-24,12605.0
2016-08-25,12440.0
2016-08-26,12445.0
2016-08-29,12500.0
2016-08-30,12500.0
2016-08-31,12485.0
2016-09-01,12500.0
2016-09-02,12445.0
2016-09-05,12370.0
2016-09-06,12450.0
2016-09-07,12350.0
2016-09-08,12330.0
2016-09-09,12380.0
2016-09-12,12195.0
2016-09-13,12260.0
2016-09-19,12310.0
2016-09-20,12300.0
2016-09-21,12340.0
2016-09-22,12275.0
2016-09-23,12245.0
2016-09-26,12175.0
2016-09-27,12040.0
2016-09-28,11995.0
2016-09-29,12110.0
2016-09-30,12120.0
2016-10-04,12155.0
2016-10-05,12185.0
2016-10-06,12290.0
2016-10-07,12270.0
2016-10-10,12280.0
2016-10-11,12280.0
2016-10-12,12255.0
2016-10-13,12360.0
2016-10-14,12400.0
2016-10-17,12370.0
2016-10-18,12380.0
2016-10-19,12345.0
2016-10-20,12350.0
2016-10-21,12490.0
2016-10-24,12590.0
2016-10-25,12615.0
2016-10-26,12555.0
2016-10-27,12545.0
2016-10-28,12610.0
2016-10-31,12650.0
2016-11-01,12595.0
2016-11-02,12650.0
2016-11-03,12690.0
2016-11-04,12685.0
2016-11-07,12650.0
2016-11-08,12690.0
2016-11-09,12805.0
2016-11-10,12820.0
2016-11-11,13045.0
2016-11-14,13210.0
2016-11-15,13060.0
2016-11-16,12990.0
2016-11-17,13075.0
2016-11-18,13130.0
2016-11-21,13265.0
2016-11-22,13320.0
2016-11-23,13405.0
2016-11-24,13430.0
2016-11-25,13440.0
2016-11-28,13500.0
2016-11-29,13690.0
2016-11-30,13635.0
2016-12-01,13615.0
2016-12-02,13610.0
2016-12-05,13375.0
2016-12-06,13400.0
2016-12-07,13385.0
2016-12-08,13345.0
2016-12-09,13555.0
2016-12-12,13315.0
2016-12-13,13300.0
2016-12-14,13370.0
2016-12-15,13095.0
2016-12-16,13115.0
2016-12-19,13010.0
2016-12-20,12935.0
2016-12-21,13035.0
2016-12-22,13080.0
2016-12-23,13050.0
2016-12-26,13050.0
2016-12-27,13090.0
2016-12-28,13100.0
2016-12-29,13090.0
2017-01-02,13100.0
2017-01-03,13190.0
2017-01-04,13270.0
2017-01-05,13270.0
2017-01-06,13240.0
2017-01-09,13310.0
2017-01-10,13280.0
2017-01-11,13135.0
2017-01-12,13025.0
2017-01-13,13020.0
2017-01-16,13095.0
2017-01-17,13190.0
2017-01-18,13150.0
2017-01-19,13255.0
2017-01-20,13245.0
2017-01-23,13215.0
2017-01-24,13225.0
2017-01-25,13205.0
2017-01-26,13175.0
2017-01-31,13185.0
2017-02-01,13240.0
2017-02-02,13230.0
2017-02-03,13060.0
2017-02-06,12990.0
2017-02-07,12855.0
2017-02-08,12880.0
2017-02-09,13000.0
2017-02-10,13085.0
2017-02-13,13185.0
2017-02-14,12990.0
2017-02-15,13125.0
2017-02-16,13115.0
2017-02-17,13200.0
