Date,KOSEF 국고채10년레버리지
2016-07-20,139310.0
2016-07-21,139190.0
2016-07-22,139485.0
2016-07-25,139475.0
2016-07-26,139805.0
2016-07-27,139940.0
2016-07-28,140855.0
2016-07-29,140205.0
2016-08-01,140900.0
2016-08-02,140470.0
2016-08-03,139345.0
2016-08-04,139670.0
2016-08-05,140220.0
2016-08-08,139265.0
2016-08-09,139430.0
2016-08-10,140230.0
2016-08-11,140190.0
2016-08-12,139820.0
2016-08-16,140150.0
2016-08-17,139285.0
2016-08-18,139535.0
2016-08-19,139590.0
2016-08-22,139250.0
2016-08-23,139470.0
2016-08-24,139640.0
2016-08-25,139475.0
2016-08-26,139480.0
2016-08-29,139035.0
2016-08-30,138895.0
2016-08-31,138200.0
2016-09-01,137160.0
2016-09-02,137040.0
2016-09-05,137570.0
2016-09-06,137620.0
2016-09-07,138695.0
2016-09-08,138515.0
2016-09-09,137385.0
2016-09-12,136110.0
2016-09-13,136150.0
2016-09-19,135980.0
2016-09-20,135980.0
2016-09-21,135645.0
2016-09-22,137305.0
2016-09-23,137660.0
2016-09-26,137920.0
2016-09-27,138000.0
2016-09-28,138415.0
2016-09-29,138650.0
2016-09-30,140120.0
2016-10-04,138785.0
2016-10-05,137500.0
2016-10-06,137000.0
2016-10-07,136930.0
2016-10-10,136775.0
2016-10-11,135290.0
2016-10-12,135470.0
2016-10-13,136950.0
2016-10-14,136910.0
2016-10-17,135130.0
2016-10-18,135240.0
2016-10-19,135325.0
2016-10-20,135200.0
2016-10-21,134730.0
2016-10-24,135165.0
2016-10-25,134570.0
2016-10-26,135155.0
2016-10-27,133890.0
2016-10-28,132740.0
2016-10-31,133610.0
2016-11-01,132755.0
2016-11-02,133580.0
2016-11-03,133645.0
2016-11-04,133530.0
2016-11-07,133100.0
2016-11-08,133215.0
2016-11-09,134370.0
2016-11-10,130695.0
2016-11-11,128040.0
2016-11-14,125710.0
2016-11-15,126025.0
2016-11-16,125030.0
2016-11-17,124990.0
2016-11-18,124095.0
2016-11-21,124145.0
2016-11-22,124495.0
2016-11-23,124160.0
2016-11-24,123160.0
2016-11-25,123330.0
2016-11-28,123755.0
2016-11-29,124135.0
2016-11-30,124160.0
2016-12-01,122955.0
2016-12-02,121580.0
2016-12-05,122760.0
2016-12-06,122910.0
2016-12-07,123035.0
2016-12-08,123660.0
2016-12-09,122775.0
2016-12-12,121685.0
2016-12-13,122800.0
2016-12-14,124120.0
2016-12-15,123190.0
2016-12-16,123560.0
2016-12-19,123510.0
2016-12-20,123820.0
2016-12-21,124910.0
2016-12-22,124925.0
2016-12-23,125005.0
2016-12-26,124685.0
2016-12-27,124885.0
2016-12-28,124555.0
