Date,KOSEF 미국달러선물인버스
2015-11-11,10790.0
2015-11-12,10760.0
2015-11-13,10705.0
2015-11-16,10650.0
2015-11-17,10665.0
2015-11-18,10655.0
2015-11-19,10720.0
2015-11-20,10800.0
2015-11-23,10760.0
2015-11-24,10825.0
2015-11-25,10910.0
2015-11-26,10880.0
2015-11-27,10830.0
2015-11-30,10785.0
2015-12-01,10775.0
2015-12-02,10730.0
2015-12-03,10705.0
2015-12-04,10775.0
2015-12-07,10700.0
2015-12-08,10605.0
2015-12-09,10595.0
2015-12-10,10575.0
2015-12-11,10600.0
2015-12-14,10550.0
2015-12-15,10565.0
2015-12-16,10630.0
2015-12-17,10580.0
2015-12-18,10555.0
2015-12-21,10615.0
2015-12-22,10645.0
2015-12-23,10655.0
2015-12-24,10715.0
2015-12-28,10740.0
2015-12-29,10705.0
2015-12-30,10655.0
2016-01-04,10535.0
2016-01-05,10520.0
2016-01-06,10455.0
2016-01-07,10425.0
2016-01-08,10445.0
2016-01-11,10320.0
2016-01-12,10340.0
2016-01-13,10390.0
2016-01-14,10320.0
2016-01-15,10310.0
2016-01-18,10330.0
2016-01-19,10360.0
2016-01-20,10305.0
2016-01-21,10320.0
2016-01-22,10420.0
2016-01-25,10485.0
2016-01-26,10400.0
2016-01-27,10420.0
2016-01-28,10365.0
2016-01-29,10430.0
2016-02-01,10435.0
2016-02-02,10390.0
2016-02-03,10285.0
2016-02-04,10415.0
2016-02-05,10475.0
2016-02-11,10395.0
2016-02-12,10345.0
2016-02-15,10375.0
2016-02-16,10305.0
2016-02-17,10220.0
2016-02-18,10210.0
2016-02-19,10160.0
2016-02-22,10150.0
2016-02-23,10170.0
2016-02-24,10150.0
2016-02-25,10105.0
2016-02-26,10125.0
2016-02-29,10130.0
2016-03-02,10195.0
2016-03-03,10315.0
2016-03-04,10410.0
2016-03-07,10430.0
2016-03-08,10385.0
2016-03-09,10300.0
2016-03-10,10415.0
2016-03-11,10485.0
2016-03-14,10560.0
2016-03-15,10540.0
2016-03-16,10480.0
2016-03-17,10655.0
2016-03-18,10755.0
2016-03-21,10770.0
2016-03-22,10835.0
2016-03-23,10770.0
2016-03-24,10725.0
2016-03-25,10720.0
2016-03-28,10740.0
2016-03-29,10770.0
2016-03-30,10885.0
2016-03-31,10945.0
2016-04-01,10860.0
2016-04-04,10920.0
2016-04-05,10840.0
2016-04-06,10825.0
2016-04-07,10875.0
2016-04-08,10875.0
2016-04-11,10940.0
2016-04-12,10955.0
2016-04-14,10850.0
2016-04-15,10945.0
2016-04-18,10925.0
2016-04-19,11045.0
2016-04-20,11070.0
2016-04-21,11075.0
2016-04-22,11005.0
2016-04-25,10935.0
2016-04-26,10925.0
2016-04-27,10950.0
2016-04-28,11030.0
2016-04-29,11035.0
2016-05-02,11040.0
2016-05-03,11015.0
2016-05-04,10890.0
2016-05-09,10805.0
2016-05-10,10720.0
2016-05-11,10760.0
2016-05-12,10810.0
2016-05-13,10745.0
2016-05-16,10670.0
2016-05-17,10720.0
2016-05-18,10635.0
2016-05-19,10550.0
2016-05-20,10565.0
2016-05-23,10620.0
2016-05-24,10545.0
2016-05-25,10635.0
2016-05-26,10655.0
2016-05-27,10665.0
2016-05-30,10550.0
2016-05-31,10555.0
2016-06-01,10545.0
2016-06-02,10600.0
2016-06-03,10630.0
2016-06-07,10815.0
2016-06-08,10870.0
2016-06-09,10875.0
2016-06-10,10810.0
2016-06-13,10735.0
2016-06-14,10740.0
2016-06-15,10725.0
2016-06-16,10765.0
2016-06-17,10735.0
2016-06-20,10845.0
2016-06-21,10880.0
2016-06-22,10910.0
2016-06-23,10935.0
2016-06-24,10655.0
2016-06-27,10650.0
2016-06-28,10740.0
2016-06-29,10830.0
2016-06-30,10925.0
2016-07-01,10990.0
2016-07-04,10975.0
2016-07-05,10890.0
2016-07-06,10800.0
2016-07-07,10890.0
2016-07-08,10850.0
2016-07-11,10985.0
2016-07-12,10950.0
2016-07-13,10970.0
2016-07-14,11040.0
2016-07-15,11090.0
2016-07-18,11065.0
2016-07-19,11075.0
2016-07-20,11040.0
2016-07-21,11090.0
2016-07-22,11095.0
2016-07-25,11060.0
2016-07-26,11080.0
2016-07-27,11125.0
2016-07-28,11210.0
2016-07-29,11230.0
2016-08-01,11350.0
2016-08-02,11350.0
2016-08-03,11275.0
2016-08-04,11300.0
2016-08-05,11335.0
2016-08-08,11355.0
2016-08-09,11390.0
2016-08-10,11505.0
2016-08-11,11455.0
2016-08-12,11420.0
2016-08-16,11515.0
2016-08-17,11365.0
2016-08-18,11360.0
2016-08-19,11265.0
2016-08-22,11180.0
2016-08-23,11270.0
2016-08-24,11215.0
2016-08-25,11270.0
2016-08-26,11295.0
2016-08-29,11190.0
2016-08-30,11245.0
2016-08-31,11290.0
2016-09-01,11205.0
2016-09-02,11250.0
2016-09-05,11370.0
2016-09-06,11385.0
2016-09-07,11525.0
2016-09-08,11490.0
2016-09-09,11455.0
2016-09-12,11305.0
2016-09-13,11225.0
2016-09-19,11250.0
2016-09-20,11225.0
2016-09-21,11210.0
2016-09-22,11395.0
2016-09-23,11400.0
2016-09-26,11340.0
2016-09-27,11445.0
2016-09-28,11470.0
2016-09-29,11445.0
2016-09-30,11425.0
2016-10-04,11355.0
2016-10-05,11295.0
2016-10-06,11305.0
2016-10-07,11270.0
2016-10-10,11345.0
2016-10-11,11225.0
2016-10-12,11190.0
2016-10-13,11070.0
2016-10-14,11095.0
2016-10-17,11045.0
2016-10-18,11115.0
2016-10-19,11190.0
2016-10-20,11150.0
2016-10-21,11070.0
2016-10-24,11095.0
2016-10-25,11075.0
2016-10-26,11080.0
2016-10-27,10990.0
2016-10-28,10960.0
2016-10-31,10985.0
2016-11-01,11020.0
2016-11-02,10920.0
