Date,KODEX 단기채권
2018-01-17,100135.0
2018-01-18,100145.0
2018-01-19,100165.0
2018-01-22,100170.0
2018-01-23,100175.0
2018-01-24,100180.0
2018-01-25,100190.0
2018-01-26,100195.0
2018-01-29,100200.0
2018-01-30,100190.0
2018-01-31,100200.0
2018-02-01,100215.0
2018-02-02,100220.0
2018-02-05,100230.0
2018-02-06,100230.0
2018-02-07,100230.0
2018-02-08,100250.0
2018-02-09,100245.0
2018-02-12,100255.0
2018-02-13,100275.0
2018-02-14,100285.0
2018-02-19,100285.0
2018-02-20,100285.0
2018-02-21,100290.0
2018-02-22,100300.0
2018-02-23,100315.0
2018-02-26,100320.0
2018-02-27,100330.0
2018-02-28,100345.0
2018-03-02,100345.0
2018-03-05,100345.0
2018-03-06,100350.0
2018-03-07,100350.0
2018-03-08,100350.0
2018-03-09,100350.0
2018-03-12,100365.0
2018-03-13,100370.0
2018-03-14,100370.0
2018-03-15,100385.0
2018-03-16,100390.0
2018-03-19,100395.0
2018-03-20,100395.0
2018-03-21,100405.0
2018-03-22,100420.0
2018-03-23,100425.0
2018-03-26,100430.0
2018-03-27,100430.0
2018-03-28,100445.0
2018-03-29,100450.0
2018-03-30,100460.0
2018-04-02,100465.0
2018-04-03,100470.0
2018-04-04,100480.0
2018-04-05,100490.0
2018-04-06,100500.0
2018-04-09,100510.0
2018-04-10,100505.0
2018-04-11,100520.0
2018-04-12,100530.0
2018-04-13,100535.0
2018-04-16,100540.0
2018-04-17,100540.0
2018-04-18,100550.0
2018-04-19,100565.0
2018-04-20,100565.0
2018-04-23,100565.0
2018-04-24,100570.0
2018-04-25,100580.0
2018-04-26,100595.0
2018-04-27,100600.0
2018-04-30,100610.0
2018-05-02,100615.0
2018-05-03,100635.0
2018-05-04,100640.0
2018-05-08,100635.0
2018-05-09,100640.0
2018-05-10,100650.0
2018-05-11,100655.0
2018-05-14,100660.0
2018-05-15,100660.0
2018-05-16,100670.0
2018-05-17,100690.0
2018-05-18,100700.0
2018-05-21,100710.0
2018-05-23,100710.0
2018-05-24,100725.0
2018-05-25,100735.0
2018-05-28,100740.0
2018-05-29,100735.0
2018-05-30,100745.0
2018-05-31,100755.0
2018-06-01,100755.0
2018-06-04,100770.0
2018-06-05,100775.0
2018-06-07,100790.0
2018-06-08,100795.0
2018-06-11,100800.0
2018-06-12,100810.0
2018-06-14,100820.0
2018-06-15,100820.0
2018-06-18,100825.0
2018-06-19,100830.0
2018-06-20,100830.0
2018-06-21,100845.0
2018-06-22,100845.0
2018-06-25,100855.0
2018-06-26,100860.0
2018-06-27,100855.0
2018-06-28,100870.0
2018-06-29,100875.0
2018-07-02,100885.0
2018-07-03,100885.0
2018-07-04,100900.0
2018-07-05,100910.0
2018-07-06,100915.0
2018-07-09,100925.0
2018-07-10,100935.0
2018-07-11,100940.0
2018-07-12,100960.0
2018-07-13,100950.0
2018-07-16,100950.0
2018-07-17,100960.0
2018-07-18,100970.0
2018-07-19,100985.0
2018-07-20,100985.0
2018-07-23,100995.0
2018-07-24,101000.0
2018-07-25,101005.0
2018-07-26,101010.0
2018-07-27,101015.0
2018-07-30,101010.0
2018-07-31,101010.0
2018-08-01,101020.0
2018-08-02,101035.0
2018-08-03,101035.0
2018-08-06,101045.0
2018-08-07,101050.0
2018-08-08,101055.0
2018-08-09,101070.0
2018-08-10,101080.0
2018-08-13,101090.0
2018-08-14,101090.0
2018-08-16,101100.0
2018-08-17,101110.0
2018-08-20,101120.0
2018-08-21,101125.0
2018-08-22,101135.0
2018-08-23,101155.0
2018-08-24,101150.0
2018-08-27,101155.0
2018-08-28,101165.0
2018-08-29,101170.0
2018-08-30,101165.0
2018-08-31,101175.0
2018-09-03,101205.0
