Date,TIGER 미국MSCI리츠(합성 H)
2016-03-28,12415.0
2016-03-29,12485.0
2016-03-30,12790.0
2016-03-31,12735.0
2016-04-01,12790.0
2016-04-04,12810.0
2016-04-05,12805.0
2016-04-06,12745.0
2016-04-07,12715.0
2016-04-08,12690.0
2016-04-11,12720.0
2016-04-12,12725.0
2016-04-14,12745.0
2016-04-15,12670.0
2016-04-18,12730.0
2016-04-19,12855.0
2016-04-20,12815.0
2016-04-21,12610.0
2016-04-22,12400.0
2016-04-25,12540.0
2016-04-26,12605.0
2016-04-27,12650.0
2016-04-28,12520.0
2016-04-29,12550.0
2016-05-02,12425.0
2016-05-03,12600.0
2016-05-04,12655.0
2016-05-09,13015.0
2016-05-10,13120.0
2016-05-11,13175.0
2016-05-12,12880.0
2016-05-13,12960.0
2016-05-16,12830.0
2016-05-17,12940.0
2016-05-18,12700.0
2016-05-19,12500.0
2016-05-20,12370.0
2016-05-23,12430.0
2016-05-24,12460.0
2016-05-25,12615.0
2016-05-26,12610.0
2016-05-27,12620.0
2016-05-30,12710.0
2016-05-31,12715.0
2016-06-01,12720.0
2016-06-02,12735.0
2016-06-03,12795.0
2016-06-07,12750.0
2016-06-08,12775.0
2016-06-09,12905.0
2016-06-10,12935.0
2016-06-13,12815.0
2016-06-14,12800.0
2016-06-15,12830.0
2016-06-16,12965.0
2016-06-17,13040.0
2016-06-20,13025.0
2016-06-21,12965.0
2016-06-22,13020.0
2016-06-23,13055.0
2016-06-24,12700.0
2016-06-27,13010.0
2016-06-28,12940.0
2016-06-29,13170.0
2016-06-30,13400.0
2016-07-01,13510.0
2016-07-04,13610.0
2016-07-05,13625.0
2016-07-06,13630.0
2016-07-07,13700.0
2016-07-08,13535.0
2016-07-11,13725.0
2016-07-12,13850.0
2016-07-13,13785.0
2016-07-14,13845.0
2016-07-15,13770.0
2016-07-18,13720.0
2016-07-19,13815.0
2016-07-20,13810.0
2016-07-21,13880.0
2016-07-22,13935.0
2016-07-25,14050.0
2016-07-26,14005.0
2016-07-27,13950.0
2016-07-28,13755.0
2016-07-29,13850.0
2016-08-01,14045.0
2016-08-02,14085.0
2016-08-03,13800.0
2016-08-04,13775.0
2016-08-05,13715.0
2016-08-08,13715.0
2016-08-09,13690.0
2016-08-10,13820.0
2016-08-11,13750.0
2016-08-12,13650.0
2016-08-16,13650.0
2016-08-17,13530.0
2016-08-18,13505.0
2016-08-19,13500.0
2016-08-22,13380.0
2016-08-23,13460.0
2016-08-24,13490.0
2016-08-25,13425.0
2016-08-26,13480.0
2016-08-29,13365.0
2016-08-30,13480.0
2016-08-31,13480.0
2016-09-01,13510.0
2016-09-02,13445.0
2016-09-05,13585.0
2016-09-06,13585.0
2016-09-07,13675.0
2016-09-08,13750.0
2016-09-09,13575.0
2016-09-12,13040.0
2016-09-13,13190.0
2016-09-19,12980.0
2016-09-20,13145.0
2016-09-21,13105.0
2016-09-22,13240.0
2016-09-23,13460.0
2016-09-26,13475.0
2016-09-27,13535.0
2016-09-28,13400.0
2016-09-29,13485.0
2016-09-30,13310.0
2016-10-04,13005.0
2016-10-05,12810.0
2016-10-06,12590.0
2016-10-07,12585.0
2016-10-10,12595.0
2016-10-11,12590.0
2016-10-12,12530.0
2016-10-13,12570.0
2016-10-14,12745.0
2016-10-17,12665.0
2016-10-18,12720.0
2016-10-19,12800.0
2016-10-20,12850.0
2016-10-21,12795.0
2016-10-24,12765.0
2016-10-25,12800.0
2016-10-26,12740.0
2016-10-27,12585.0
2016-10-28,12155.0
2016-10-31,12230.0
2016-11-01,12435.0
2016-11-02,12075.0
2016-11-03,11905.0
2016-11-04,11855.0
2016-11-07,12040.0
2016-11-08,12105.0
2016-11-09,12110.0
2016-11-10,12150.0
2016-11-11,11845.0
2016-11-14,11925.0
2016-11-15,12165.0
2016-11-16,12065.0
2016-11-17,12030.0
2016-11-18,11925.0
2016-11-21,11945.0
2016-11-22,11955.0
2016-11-23,12105.0
2016-11-24,12045.0
2016-11-25,12085.0
2016-11-28,12100.0
2016-11-29,12150.0
2016-11-30,12265.0
2016-12-01,12155.0
2016-12-02,12000.0
2016-12-05,12030.0
2016-12-06,12195.0
2016-12-07,12270.0
2016-12-08,12485.0
2016-12-09,12590.0
2016-12-12,12575.0
2016-12-13,12695.0
2016-12-14,12610.0
2016-12-15,12400.0
2016-12-16,12325.0
2016-12-19,12550.0
2016-12-20,12630.0
2016-12-21,12660.0
2016-12-22,12475.0
2016-12-23,12465.0
2016-12-26,12495.0
2016-12-27,12495.0
2016-12-28,12525.0
2016-12-29,12375.0
2017-01-02,12715.0
2017-01-03,12700.0
2017-01-04,12780.0
2017-01-05,12960.0
2017-01-06,13030.0
2017-01-09,13015.0
2017-01-10,12895.0
2017-01-11,12785.0
2017-01-12,12720.0
2017-01-13,12760.0
2017-01-16,12750.0
2017-01-17,12750.0
2017-01-18,12855.0
2017-01-19,12875.0
2017-01-20,12740.0
2017-01-23,12835.0
2017-01-24,12945.0
2017-01-25,12950.0
2017-01-26,12755.0
2017-01-31,12525.0
2017-02-01,12610.0
2017-02-02,12465.0
2017-02-03,12600.0
2017-02-06,12670.0
2017-02-07,12650.0
2017-02-08,12605.0
2017-02-09,12670.0
2017-02-10,12725.0
2017-02-13,12820.0
2017-02-14,12830.0
2017-02-15,12770.0
2017-02-16,12690.0
2017-02-17,12770.0
2017-02-20,12815.0
2017-02-21,12825.0
2017-02-22,12965.0
2017-02-23,12940.0
2017-02-24,13005.0
2017-02-27,13070.0
2017-02-28,13145.0
2017-03-02,12975.0
2017-03-03,12940.0
2017-03-06,12895.0
2017-03-07,12825.0
2017-03-08,12765.0
2017-03-09,12545.0
2017-03-10,12350.0
2017-03-13,12320.0
2017-03-14,12330.0
2017-03-15,12330.0
2017-03-16,12610.0
2017-03-17,12570.0
2017-03-20,12625.0
2017-03-21,12605.0
2017-03-22,12555.0
2017-03-23,12565.0
2017-03-24,12645.0
2017-03-27,12620.0
2017-03-28,12510.0
2017-03-29,12570.0
2017-03-30,12575.0
2017-03-31,12690.0
2017-04-03,12740.0
2017-04-04,12760.0
2017-04-05,12770.0
2017-04-06,12785.0
2017-04-07,12850.0
2017-04-10,12865.0
2017-04-11,12945.0
2017-04-12,13030.0
2017-04-13,13020.0
2017-04-14,12965.0
2017-04-17,12995.0
2017-04-18,13100.0
2017-04-19,13170.0
2017-04-20,13130.0
2017-04-21,13120.0
2017-04-24,13095.0
2017-04-25,12985.0
2017-04-26,13020.0
2017-04-27,12800.0
2017-04-28,12795.0
2017-05-02,12750.0
2017-05-04,12550.0
2017-05-08,12580.0
2017-05-10,12435.0
2017-05-11,12525.0
2017-05-12,12465.0
2017-05-15,12420.0
2017-05-16,12445.0
2017-05-17,12370.0
2017-05-18,12410.0
2017-05-19,12490.0
2017-05-22,12630.0
2017-05-23,12600.0
2017-05-24,12620.0
2017-05-25,12710.0
2017-05-26,12710.0
2017-05-29,12625.0
2017-05-30,12625.0
2017-05-31,12590.0
2017-06-01,12565.0
2017-06-02,12640.0
2017-06-05,12725.0
2017-06-07,12635.0
2017-06-08,12715.0
2017-06-09,12700.0
2017-06-12,12760.0
2017-06-13,12855.0
2017-06-14,12895.0
2017-06-15,12920.0
2017-06-16,13000.0
2017-06-19,12970.0
2017-06-20,12950.0
2017-06-21,12940.0
2017-06-22,12905.0
2017-06-23,12920.0
2017-06-26,12970.0
2017-06-27,13035.0
2017-06-28,12935.0
2017-06-29,12930.0
2017-06-30,12850.0
2017-07-03,12815.0
2017-07-04,12975.0
2017-07-05,12975.0
2017-07-06,12815.0
2017-07-07,12570.0
2017-07-10,12650.0
2017-07-11,12520.0
2017-07-12,12510.0
2017-07-13,12655.0
2017-07-14,12685.0
2017-07-17,12810.0
2017-07-18,12890.0
2017-07-19,12860.0
2017-07-20,12970.0
2017-07-21,12895.0
2017-07-24,12905.0
2017-07-25,12885.0
2017-07-26,12890.0
2017-07-27,12950.0
2017-07-28,12890.0
2017-07-31,12845.0
2017-08-01,12860.0
2017-08-02,12905.0
2017-08-03,12815.0
2017-08-04,12775.0
2017-08-07,12825.0
2017-08-08,12810.0
2017-08-09,12750.0
2017-08-10,12710.0
2017-08-11,12625.0
2017-08-14,12550.0
2017-08-16,12700.0
2017-08-17,12760.0
2017-08-18,12675.0
2017-08-21,12555.0
2017-08-22,12685.0
2017-08-23,12655.0
2017-08-24,12780.0
2017-08-25,12740.0
2017-08-28,12795.0
2017-08-29,12700.0
2017-08-30,12685.0
2017-08-31,12760.0
2017-09-01,12820.0
2017-09-04,12775.0
2017-09-05,12770.0
2017-09-06,12805.0
2017-09-07,12855.0
2017-09-08,12915.0
2017-09-11,12965.0
2017-09-12,13075.0
2017-09-13,12905.0
2017-09-14,12880.0
2017-09-15,12990.0
2017-09-18,13025.0
2017-09-19,12965.0
2017-09-20,12880.0
2017-09-21,12815.0
2017-09-22,12810.0
2017-09-25,12725.0
2017-09-26,12800.0
2017-09-27,12820.0
2017-09-28,12705.0
2017-09-29,12760.0
2017-10-10,12830.0
2017-10-11,12910.0
2017-10-12,12965.0
2017-10-13,13010.0
2017-10-16,13065.0
2017-10-17,13035.0
2017-10-18,13020.0
2017-10-19,13025.0
2017-10-20,12975.0
2017-10-23,12895.0
2017-10-24,12850.0
2017-10-25,12770.0
2017-10-26,12730.0
2017-10-27,12635.0
2017-10-30,12585.0
2017-10-31,12575.0
2017-11-01,12575.0
2017-11-02,12630.0
2017-11-03,12710.0
2017-11-06,12710.0
2017-11-07,12770.0
2017-11-08,12895.0
2017-11-09,12920.0
2017-11-10,12960.0
2017-11-13,12975.0
2017-11-14,13025.0
2017-11-15,12990.0
2017-11-16,12875.0
2017-11-17,12980.0
2017-11-20,12945.0
2017-11-21,12930.0
2017-11-22,13005.0
2017-11-23,12960.0
2017-11-24,12960.0
2017-11-27,12980.0
2017-11-28,12915.0
2017-11-29,12850.0
2017-11-30,12875.0
2017-12-01,12885.0
2017-12-04,12925.0
2017-12-05,12860.0
2017-12-06,12755.0
2017-12-07,12735.0
2017-12-08,12765.0
2017-12-11,12840.0
2017-12-12,12830.0
2017-12-13,12895.0
2017-12-14,12955.0
2017-12-15,12905.0
2017-12-18,12995.0
2017-12-19,13095.0
2017-12-20,12740.0
2017-12-21,12715.0
2017-12-22,12650.0
2017-12-26,12695.0
2017-12-27,12750.0
2017-12-28,12800.0
2018-01-02,12815.0
2018-01-03,12820.0
2018-01-04,12795.0
2018-01-05,12565.0
2018-01-08,12575.0
2018-01-09,12640.0
2018-01-10,12475.0
2018-01-11,12320.0
2018-01-12,12295.0
2018-01-15,12205.0
2018-01-16,12190.0
2018-01-17,12210.0
2018-01-18,12300.0
2018-01-19,12145.0
2018-01-22,12210.0
2018-01-23,12330.0
2018-01-24,12480.0
2018-01-25,12450.0
2018-01-26,12470.0
2018-01-29,12300.0
2018-01-30,12025.0
2018-01-31,12000.0
2018-02-01,12160.0
2018-02-02,11970.0
2018-02-05,11870.0
2018-02-06,11465.0
2018-02-07,11555.0
2018-02-08,11470.0
2018-02-09,11135.0
2018-02-12,11430.0
2018-02-13,11290.0
2018-02-14,11430.0
2018-02-19,11485.0
2018-02-20,11600.0
2018-02-21,11445.0
2018-02-22,11225.0
2018-02-23,11345.0
2018-02-26,11525.0
2018-02-27,11475.0
2018-02-28,11280.0
2018-03-02,11310.0
2018-03-05,11285.0
2018-03-06,11310.0
2018-03-07,11320.0
2018-03-08,11430.0
2018-03-09,11545.0
2018-03-12,11625.0
2018-03-13,11675.0
2018-03-14,11570.0
2018-03-15,11565.0
2018-03-16,11690.0
2018-03-19,11685.0
2018-03-20,11615.0
2018-03-21,11580.0
2018-03-22,11550.0
2018-03-23,11385.0
2018-03-26,11260.0
2018-03-27,11380.0
2018-03-28,11370.0
2018-03-29,11585.0
2018-03-30,11680.0
2018-04-02,11740.0
2018-04-03,11595.0
2018-04-04,11680.0
2018-04-05,11705.0
2018-04-06,11660.0
2018-04-09,11695.0
2018-04-10,11710.0
2018-04-11,11645.0
2018-04-12,11680.0
2018-04-13,11500.0
2018-04-16,11610.0
2018-04-17,11590.0
2018-04-18,11710.0
2018-04-19,11795.0
2018-04-20,11625.0
2018-04-23,11505.0
2018-04-24,11495.0
2018-04-25,11540.0
