Date,TIGER 단기통안채
2016-05-17,100590.0
2016-05-18,100590.0
2016-05-19,100595.0
2016-05-20,100605.0
2016-05-23,100605.0
2016-05-24,100605.0
2016-05-25,100610.0
2016-05-26,100620.0
2016-05-27,100630.0
2016-05-30,100630.0
2016-05-31,100635.0
2016-06-01,100640.0
2016-06-02,100665.0
2016-06-03,100670.0
2016-06-07,100670.0
2016-06-08,100675.0
2016-06-09,100690.0
2016-06-10,100710.0
2016-06-13,100720.0
2016-06-14,100720.0
2016-06-15,100730.0
2016-06-16,100730.0
2016-06-17,100740.0
2016-06-20,100740.0
2016-06-21,100745.0
2016-06-22,100745.0
2016-06-23,100755.0
2016-06-24,100755.0
2016-06-27,100770.0
2016-06-28,100770.0
2016-06-29,100780.0
2016-06-30,100790.0
2016-07-01,100785.0
2016-07-04,100795.0
2016-07-05,100795.0
2016-07-06,100810.0
2016-07-07,100810.0
2016-07-08,100820.0
2016-07-11,100815.0
2016-07-12,100820.0
2016-07-13,100830.0
2016-07-14,100835.0
2016-07-15,100835.0
2016-07-18,100840.0
2016-07-19,100840.0
2016-07-20,100850.0
2016-07-21,100855.0
2016-07-22,100860.0
2016-07-25,100860.0
2016-07-26,100865.0
2016-07-27,100865.0
2016-07-28,100880.0
2016-07-29,100885.0
2016-08-01,100885.0
2016-08-02,100890.0
2016-08-03,100890.0
2016-08-04,100900.0
2016-08-05,100900.0
2016-08-08,100910.0
2016-08-09,100910.0
2016-08-10,100910.0
2016-08-11,100920.0
2016-08-12,100925.0
2016-08-16,100930.0
2016-08-17,100930.0
2016-08-18,100940.0
2016-08-19,100945.0
2016-08-22,100945.0
2016-08-23,100950.0
2016-08-24,100955.0
2016-08-25,100955.0
2016-08-26,100975.0
2016-08-29,100970.0
2016-08-30,100975.0
2016-08-31,100975.0
2016-09-01,100985.0
2016-09-02,100985.0
2016-09-05,100985.0
2016-09-06,100995.0
2016-09-07,100995.0
2016-09-08,101005.0
2016-09-09,101010.0
2016-09-12,101030.0
2016-09-13,101035.0
2016-09-19,101030.0
2016-09-20,101035.0
2016-09-21,101040.0
2016-09-22,101050.0
2016-09-23,101055.0
2016-09-26,101050.0
2016-09-27,101055.0
2016-09-28,101060.0
2016-09-29,101075.0
2016-09-30,101075.0
2016-10-04,101085.0
2016-10-05,101080.0
2016-10-06,101095.0
2016-10-07,101095.0
2016-10-10,101100.0
2016-10-11,101095.0
2016-10-12,101105.0
2016-10-13,101110.0
2016-10-14,101115.0
2016-10-17,101125.0
