Date,KOSEF 200 선물
2016-03-03,10260.0
2016-03-04,10275.0
2016-03-07,10305.0
2016-03-08,10215.0
2016-03-09,10250.0
2016-03-10,10355.0
2016-03-11,10385.0
2016-03-14,10375.0
2016-03-15,10365.0
2016-03-16,10385.0
2016-03-17,10445.0
2016-03-18,10445.0
2016-03-21,10445.0
2016-03-22,10480.0
2016-03-23,10480.0
2016-03-24,10460.0
2016-03-25,10445.0
2016-03-28,10460.0
2016-03-29,10500.0
2016-03-30,10560.0
2016-03-31,10515.0
2016-04-01,10380.0
2016-04-04,10390.0
2016-04-05,10310.0
2016-04-06,10355.0
2016-04-07,10340.0
2016-04-08,10335.0
2016-04-11,10345.0
2016-04-12,10420.0
2016-04-14,10620.0
2016-04-15,10635.0
2016-04-18,10595.0
2016-04-19,10610.0
2016-04-20,10570.0
2016-04-21,10660.0
2016-04-22,10620.0
2016-04-25,10595.0
2016-04-26,10645.0
2016-04-27,10640.0
2016-04-28,10540.0
2016-04-29,10480.0
2016-05-02,10410.0
2016-05-03,10450.0
2016-05-04,10365.0
2016-05-09,10355.0
2016-05-10,10400.0
2016-05-11,10410.0
2016-05-12,10370.0
2016-05-13,10290.0
2016-05-16,10305.0
2016-05-17,10305.0
2016-05-18,10230.0
2016-05-19,10215.0
2016-05-20,10210.0
2016-05-23,10245.0
2016-05-24,10165.0
2016-05-25,10310.0
2016-05-26,10300.0
2016-05-27,10345.0
2016-05-30,10330.0
2016-05-31,10390.0
2016-06-01,10410.0
2016-06-02,10435.0
2016-06-03,10450.0
2016-06-07,10595.0
2016-06-08,10695.0
2016-06-09,10685.0
2016-06-10,10670.0
2016-06-13,10455.0
2016-06-14,10410.0
2016-06-15,10395.0
2016-06-16,10315.0
2016-06-17,10345.0
2016-06-20,10480.0
2016-06-21,10470.0
2016-06-22,10540.0
2016-06-23,10540.0
2016-06-24,10185.0
2016-06-27,10215.0
2016-06-28,10250.0
2016-06-29,10385.0
2016-06-30,10430.0
2016-07-01,10550.0
2016-07-04,10580.0
2016-07-05,10560.0
2016-07-06,10350.0
2016-07-07,10470.0
2016-07-08,10410.0
2016-07-11,10580.0
2016-07-12,10575.0
2016-07-13,10645.0
2016-07-14,10680.0
2016-07-15,10725.0
2016-07-18,10740.0
2016-07-19,10715.0
2016-07-20,10700.0
2016-07-21,10710.0
2016-07-22,10710.0
2016-07-25,10710.0
2016-07-26,10805.0
2016-07-27,10810.0
2016-07-28,10770.0
2016-07-29,10780.0
2016-08-01,10855.0
2016-08-02,10780.0
2016-08-03,10655.0
2016-08-04,10660.0
2016-08-05,10775.0
2016-08-08,10850.0
2016-08-09,10950.0
2016-08-10,10925.0
2016-08-11,10915.0
2016-08-12,10960.0
2016-08-16,10940.0
2016-08-17,10940.0
2016-08-18,11020.0
2016-08-19,11045.0
2016-08-22,10995.0
2016-08-23,11035.0
2016-08-24,10990.0
2016-08-25,11000.0
2016-08-26,10960.0
2016-08-29,10955.0
2016-08-30,11005.0
2016-08-31,10960.0
2016-09-01,10905.0
2016-09-02,10955.0
2016-09-05,11075.0
2016-09-06,11135.0
2016-09-07,11140.0
2016-09-08,11125.0
2016-09-09,10985.0
2016-09-12,10715.0
2016-09-13,10725.0
2016-09-19,10840.0
2016-09-20,10860.0
2016-09-21,10915.0
2016-09-22,11030.0
2016-09-23,11015.0
2016-09-26,10985.0
2016-09-27,11065.0
2016-09-28,11030.0
2016-09-29,11115.0
2016-09-30,10980.0
2016-10-04,11050.0
2016-10-05,11050.0
2016-10-06,11125.0
2016-10-07,11090.0
2016-10-10,11110.0
2016-10-11,10940.0
2016-10-12,10940.0
2016-10-13,10840.0
2016-10-14,10890.0
2016-10-17,10915.0
2016-10-18,10985.0
2016-10-19,11005.0
2016-10-20,11010.0
2016-10-21,10960.0
2016-10-24,11045.0
2016-10-25,11025.0
2016-10-26,10885.0
2016-10-27,10935.0
2016-10-28,10940.0
2016-10-31,10915.0
2016-11-01,10920.0
2016-11-02,10775.0
2016-11-03,10805.0
2016-11-04,10770.0
2016-11-07,10870.0
2016-11-08,10890.0
2016-11-09,10655.0
2016-11-10,10870.0
2016-11-11,10765.0
2016-11-14,10680.0
2016-11-15,10635.0
2016-11-16,10675.0
2016-11-17,10655.0
2016-11-18,10660.0
2016-11-21,10625.0
2016-11-22,10745.0
2016-11-23,10790.0
2016-11-24,10735.0
2016-11-25,10730.0
2016-11-28,10765.0
2016-11-29,10765.0
2016-11-30,10825.0
2016-12-01,10835.0
2016-12-02,10760.0
2016-12-05,10745.0
2016-12-06,10875.0
2016-12-07,10910.0
2016-12-08,11095.0
2016-12-09,11110.0
2016-12-12,11100.0
2016-12-13,11125.0
2016-12-14,11145.0
2016-12-15,11135.0
2016-12-16,11155.0
2016-12-19,11155.0
2016-12-20,11180.0
2016-12-21,11170.0
2016-12-22,11160.0
2016-12-23,11145.0
2016-12-26,11155.0
2016-12-27,11170.0
2016-12-28,11210.0
2016-12-29,11215.0
