Date,TIGER 200 에너지화학
2018-02-27,16500.0
2018-02-28,16255.0
2018-03-02,16195.0
2018-03-05,15905.0
2018-03-06,16140.0
2018-03-07,16045.0
2018-03-08,16045.0
2018-03-09,16305.0
2018-03-12,16590.0
2018-03-13,16485.0
2018-03-14,16540.0
2018-03-15,16545.0
2018-03-16,16450.0
2018-03-19,16340.0
2018-03-20,16355.0
2018-03-21,16355.0
2018-03-22,16485.0
2018-03-23,16025.0
2018-03-26,16200.0
2018-03-27,16235.0
2018-03-28,15950.0
2018-03-29,16055.0
2018-03-30,16090.0
2018-04-02,16070.0
2018-04-03,16035.0
2018-04-04,15810.0
2018-04-05,16055.0
2018-04-06,15960.0
2018-04-09,15820.0
2018-04-10,15610.0
2018-04-11,15630.0
2018-04-12,15910.0
2018-04-13,15735.0
2018-04-16,15525.0
2018-04-17,15565.0
2018-04-18,15695.0
2018-04-19,15690.0
2018-04-20,15695.0
2018-04-23,15725.0
2018-04-24,15700.0
2018-04-25,15255.0
2018-04-26,15400.0
2018-04-27,15050.0
2018-04-30,15215.0
2018-05-02,15315.0
2018-05-03,15315.0
2018-05-04,14995.0
2018-05-08,14845.0
2018-05-09,14985.0
2018-05-10,15085.0
2018-05-11,15200.0
2018-05-14,15355.0
2018-05-15,15180.0
2018-05-16,15035.0
2018-05-17,15060.0
2018-05-18,15190.0
2018-05-21,15190.0
2018-05-23,15075.0
2018-05-24,14960.0
2018-05-25,14885.0
2018-05-28,15055.0
2018-05-29,14850.0
2018-05-30,14390.0
2018-05-31,14665.0
2018-06-01,14645.0
2018-06-04,14900.0
2018-06-05,14895.0
2018-06-07,15000.0
2018-06-08,15130.0
2018-06-11,15235.0
2018-06-12,15240.0
2018-06-14,14965.0
2018-06-15,14940.0
2018-06-18,14775.0
2018-06-19,14400.0
2018-06-20,14455.0
2018-06-21,14355.0
2018-06-22,14300.0
2018-06-25,14485.0
2018-06-26,14500.0
2018-06-27,14185.0
2018-06-28,14180.0
2018-06-29,14215.0
2018-07-02,13575.0
2018-07-03,13430.0
2018-07-04,13470.0
2018-07-05,13555.0
2018-07-06,13775.0
2018-07-09,13810.0
2018-07-10,13880.0
2018-07-11,13755.0
2018-07-12,13865.0
2018-07-13,14070.0
2018-07-16,13925.0
2018-07-17,13760.0
2018-07-18,13815.0
2018-07-19,13870.0
2018-07-20,13865.0
2018-07-23,13780.0
2018-07-24,13800.0
2018-07-25,13970.0
2018-07-26,14345.0
2018-07-27,14360.0
2018-07-30,14455.0
