Date,TIGER 로우볼
2016-11-04,12375.0
2016-11-07,12435.0
2016-11-08,12420.0
2016-11-09,12310.0
2016-11-10,12435.0
2016-11-11,12475.0
2016-11-14,12445.0
2016-11-15,12465.0
2016-11-16,12410.0
2016-11-17,12445.0
2016-11-18,12445.0
2016-11-21,12360.0
2016-11-22,12410.0
2016-11-23,12510.0
2016-11-24,12435.0
2016-11-25,12405.0
2016-11-28,12420.0
2016-11-29,12510.0
2016-11-30,12445.0
2016-12-01,12430.0
2016-12-02,12420.0
2016-12-05,12345.0
2016-12-06,12480.0
2016-12-07,12495.0
2016-12-08,12755.0
2016-12-09,12680.0
2016-12-12,12695.0
2016-12-13,12715.0
2016-12-14,12705.0
2016-12-15,12715.0
2016-12-16,12705.0
2016-12-19,12645.0
2016-12-20,12650.0
2016-12-21,12525.0
2016-12-22,12485.0
2016-12-23,12555.0
2016-12-26,12555.0
2016-12-27,12585.0
2016-12-28,12650.0
2016-12-29,12545.0
2017-01-02,12585.0
2017-01-03,12565.0
2017-01-04,12605.0
2017-01-05,12635.0
2017-01-06,12595.0
2017-01-09,12545.0
2017-01-10,12450.0
2017-01-11,12560.0
2017-01-12,12540.0
2017-01-13,12610.0
2017-01-16,12655.0
2017-01-17,12695.0
2017-01-18,12740.0
2017-01-19,12635.0
2017-01-20,12690.0
2017-01-23,12630.0
2017-01-24,12600.0
2017-01-25,12440.0
2017-01-26,12495.0
2017-01-31,12500.0
2017-02-01,12640.0
2017-02-02,12575.0
2017-02-03,12650.0
2017-02-06,12705.0
2017-02-07,12740.0
2017-02-08,12745.0
2017-02-09,12785.0
2017-02-10,12895.0
2017-02-13,12960.0
2017-02-14,12975.0
2017-02-15,12990.0
2017-02-16,12825.0
2017-02-17,12845.0
2017-02-20,12770.0
2017-02-21,12905.0
2017-02-22,12885.0
2017-02-23,12895.0
2017-02-24,12840.0
2017-02-27,12810.0
2017-02-28,12850.0
2017-03-02,12800.0
2017-03-03,12760.0
2017-03-06,12680.0
2017-03-07,12770.0
2017-03-08,12795.0
2017-03-09,12780.0
2017-03-10,12805.0
2017-03-13,12850.0
2017-03-14,12890.0
2017-03-15,12875.0
2017-03-16,12890.0
2017-03-17,12915.0
2017-03-20,12950.0
2017-03-21,12950.0
2017-03-22,12940.0
2017-03-23,13020.0
2017-03-24,13080.0
2017-03-27,13055.0
2017-03-28,13025.0
2017-03-29,12925.0
2017-03-30,12940.0
2017-03-31,13060.0
2017-04-03,13075.0
2017-04-04,13025.0
2017-04-05,13005.0
2017-04-06,12985.0
2017-04-07,12965.0
2017-04-10,12870.0
2017-04-11,12855.0
2017-04-12,12885.0
2017-04-13,12990.0
2017-04-14,12915.0
2017-04-17,13100.0
2017-04-18,13080.0
2017-04-19,13025.0
2017-04-20,13190.0
2017-04-21,13190.0
2017-04-24,13260.0
2017-04-25,13295.0
2017-04-26,13360.0
2017-04-27,13075.0
2017-04-28,12970.0
2017-05-02,13060.0
2017-05-04,13080.0
2017-05-08,13375.0
2017-05-10,13335.0
2017-05-11,13420.0
2017-05-12,13420.0
2017-05-15,13460.0
2017-05-16,13465.0
2017-05-17,13375.0
2017-05-18,13370.0
2017-05-19,13490.0
2017-05-22,13555.0
2017-05-23,13630.0
2017-05-24,13680.0
2017-05-25,13820.0
2017-05-26,13865.0
2017-05-29,13900.0
2017-05-30,13965.0
2017-05-31,14000.0
2017-06-01,13980.0
2017-06-02,14080.0
2017-06-05,14090.0
2017-06-07,14085.0
2017-06-08,14115.0
2017-06-09,14170.0
2017-06-12,14100.0
2017-06-13,14190.0
2017-06-14,14105.0
2017-06-15,14030.0
2017-06-16,13985.0
2017-06-19,14015.0
2017-06-20,13910.0
2017-06-21,13745.0
2017-06-22,13830.0
2017-06-23,13840.0
2017-06-26,13775.0
2017-06-27,13815.0
2017-06-28,13895.0
2017-06-29,13970.0
2017-06-30,13975.0
2017-07-03,14075.0
2017-07-04,14015.0
2017-07-05,13970.0
2017-07-06,13950.0
2017-07-07,13965.0
2017-07-10,14035.0
2017-07-11,14115.0
2017-07-12,14035.0
2017-07-13,14125.0
2017-07-14,14125.0
2017-07-17,14180.0
2017-07-18,14185.0
2017-07-19,14235.0
2017-07-20,14260.0
2017-07-21,14365.0
2017-07-24,14410.0
2017-07-25,14430.0
2017-07-26,14470.0
2017-07-27,14535.0
2017-07-28,14525.0
2017-07-31,14450.0
2017-08-01,14595.0
2017-08-02,14550.0
2017-08-03,14435.0
2017-08-04,14405.0
2017-08-07,14445.0
2017-08-08,14380.0
2017-08-09,14390.0
2017-08-10,14285.0
2017-08-11,14125.0
2017-08-14,14090.0
2017-08-16,14070.0
2017-08-17,14120.0
2017-08-18,14080.0
2017-08-21,13985.0
2017-08-22,14040.0
2017-08-23,13980.0
2017-08-24,14040.0
2017-08-25,14145.0
2017-08-28,14095.0
2017-08-29,14000.0
2017-08-30,14010.0
2017-08-31,13920.0
2017-09-01,13810.0
2017-09-04,13650.0
2017-09-05,13480.0
2017-09-06,13355.0
2017-09-07,13515.0
2017-09-08,13425.0
2017-09-11,13465.0
2017-09-12,13490.0
2017-09-13,13405.0
2017-09-14,13430.0
2017-09-15,13570.0
2017-09-18,13555.0
2017-09-19,13480.0
2017-09-20,13445.0
2017-09-21,13350.0
2017-09-22,13330.0
2017-09-25,13160.0
2017-09-26,13275.0
2017-09-27,13190.0
2017-09-28,13250.0
2017-09-29,13340.0
