Date,KINDEX 삼성그룹동일가중
2015-12-18,10200.0
2015-12-21,10255.0
2015-12-22,10230.0
2015-12-23,10215.0
2015-12-24,10150.0
2015-12-28,10025.0
2015-12-29,10685.0
2015-12-30,11000.0
2016-01-04,10520.0
2016-01-05,10675.0
2016-01-06,10585.0
2016-01-07,10395.0
2016-01-08,10540.0
2016-01-11,10520.0
2016-01-12,10420.0
2016-01-13,10605.0
2016-01-14,10460.0
2016-01-15,10395.0
2016-01-18,10400.0
2016-01-19,10290.0
2016-01-20,10110.0
2016-01-21,10075.0
2016-01-22,9890.0
2016-01-25,9880.0
2016-01-26,9565.0
2016-01-27,9700.0
2016-01-28,9910.0
2016-01-29,10065.0
2016-02-01,10135.0
2016-02-02,10035.0
2016-02-03,9830.0
2016-02-04,10205.0
2016-02-05,10170.0
2016-02-11,9870.0
2016-02-12,9795.0
2016-02-15,10005.0
2016-02-16,10080.0
2016-02-17,9935.0
2016-02-18,10155.0
2016-02-19,10035.0
2016-02-22,9970.0
2016-02-23,9885.0
2016-02-24,9700.0
2016-02-25,9715.0
2016-02-26,9640.0
2016-02-29,9570.0
2016-03-02,9725.0
2016-03-03,9835.0
2016-03-04,9880.0
2016-03-07,9945.0
2016-03-08,9880.0
2016-03-09,9855.0
2016-03-10,9830.0
2016-03-11,9850.0
2016-03-14,9860.0
2016-03-15,9840.0
2016-03-16,9850.0
2016-03-17,9950.0
2016-03-18,9925.0
2016-03-21,9970.0
2016-03-22,10055.0
2016-03-23,10010.0
2016-03-24,9935.0
2016-03-25,9865.0
2016-03-28,9830.0
2016-03-29,9850.0
2016-03-30,9905.0
2016-03-31,9850.0
2016-04-01,9750.0
2016-04-04,9740.0
2016-04-05,9685.0
2016-04-06,9585.0
2016-04-07,9600.0
2016-04-08,9690.0
2016-04-11,9710.0
2016-04-12,9775.0
2016-04-14,9975.0
2016-04-15,10015.0
2016-04-18,9840.0
2016-04-19,10005.0
2016-04-20,9915.0
2016-04-21,9950.0
2016-04-22,9985.0
2016-04-25,9985.0
2016-04-26,9935.0
2016-04-27,9985.0
2016-04-28,9910.0
2016-04-29,9860.0
2016-05-02,9805.0
2016-05-03,9775.0
2016-05-04,9750.0
2016-05-09,9675.0
2016-05-10,9670.0
2016-05-11,9645.0
2016-05-12,9610.0
2016-05-13,9545.0
2016-05-16,9540.0
2016-05-17,9470.0
2016-05-18,9445.0
2016-05-19,9335.0
2016-05-20,9345.0
2016-05-23,9325.0
2016-05-24,9190.0
2016-05-25,9305.0
2016-05-26,9290.0
2016-05-27,9310.0
2016-05-30,9320.0
2016-05-31,9440.0
2016-06-01,9445.0
2016-06-02,9450.0
2016-06-03,9395.0
2016-06-07,9555.0
2016-06-08,9535.0
2016-06-09,9470.0
2016-06-10,9550.0
2016-06-13,9450.0
2016-06-14,9425.0
2016-06-15,9365.0
2016-06-16,9265.0
2016-06-17,9330.0
2016-06-20,9465.0
2016-06-21,9435.0
2016-06-22,9440.0
2016-06-23,9540.0
2016-06-24,9190.0
2016-06-27,9125.0
2016-06-28,9180.0
2016-06-29,9340.0
2016-06-30,9400.0
2016-07-01,9490.0
2016-07-04,9495.0
2016-07-05,9455.0
2016-07-06,9255.0
2016-07-07,9310.0
2016-07-08,9255.0
2016-07-11,9425.0
2016-07-12,9565.0
2016-07-13,9690.0
2016-07-14,9750.0
2016-07-15,9805.0
2016-07-18,9860.0
2016-07-19,9870.0
2016-07-20,9865.0
2016-07-21,9840.0
2016-07-22,9885.0
2016-07-25,9800.0
2016-07-26,9830.0
2016-07-27,9860.0
2016-07-28,9855.0
2016-07-29,9760.0
2016-08-01,9805.0
