Date,TIGER 금속선물(H)
2016-08-23,4520.0
2016-08-24,4555.0
2016-08-25,4485.0
2016-08-26,4485.0
2016-08-29,4470.0
2016-08-30,4465.0
2016-08-31,4445.0
2016-09-01,4425.0
2016-09-02,4425.0
2016-09-05,4420.0
2016-09-06,4415.0
2016-09-07,4395.0
2016-09-08,4430.0
2016-09-09,4440.0
2016-09-12,4390.0
2016-09-13,4355.0
2016-09-19,4400.0
2016-09-20,4445.0
2016-09-21,4415.0
2016-09-22,4445.0
2016-09-23,4545.0
2016-09-26,4530.0
2016-09-27,4545.0
2016-09-28,4545.0
2016-09-29,4565.0
2016-09-30,4565.0
2016-10-04,4555.0
2016-10-05,4550.0
2016-10-06,4550.0
2016-10-07,4520.0
2016-10-10,4565.0
2016-10-11,4600.0
2016-10-12,4585.0
2016-10-13,4585.0
2016-10-14,4555.0
2016-10-17,4545.0
2016-10-18,4505.0
2016-10-19,4500.0
2016-10-20,4470.0
2016-10-21,4425.0
2016-10-24,4430.0
2016-10-25,4455.0
2016-10-26,4515.0
2016-10-27,4525.0
2016-10-28,4575.0
2016-10-31,4625.0
2016-11-01,4640.0
2016-11-02,4675.0
2016-11-03,4635.0
2016-11-04,4690.0
2016-11-07,4685.0
2016-11-08,4810.0
2016-11-09,4860.0
2016-11-10,4930.0
2016-11-11,5135.0
2016-11-14,5045.0
2016-11-15,5110.0
2016-11-16,5015.0
2016-11-17,4930.0
2016-11-18,4955.0
2016-11-21,4915.0
2016-11-22,5075.0
2016-11-23,5100.0
2016-11-24,5205.0
2016-11-25,5205.0
2016-11-28,5295.0
2016-11-29,5210.0
2016-11-30,5090.0
2016-12-01,5170.0
2016-12-02,5120.0
2016-12-05,5080.0
2016-12-06,5225.0
2016-12-07,5130.0
2016-12-08,5140.0
2016-12-09,5160.0
2016-12-12,5225.0
2016-12-13,5155.0
2016-12-14,5115.0
2016-12-15,5150.0
2016-12-16,5145.0
2016-12-19,5050.0
2016-12-20,4980.0
2016-12-21,4980.0
2016-12-22,5000.0
2016-12-23,4985.0
2016-12-26,4945.0
2016-12-27,4920.0
2016-12-28,4960.0
2016-12-29,4975.0
2017-01-02,4960.0
2017-01-03,4960.0
2017-01-04,4945.0
2017-01-05,5020.0
2017-01-06,4975.0
2017-01-09,5015.0
2017-01-10,5025.0
2017-01-11,5145.0
2017-01-12,5095.0
2017-01-13,5185.0
2017-01-16,5215.0
2017-01-17,5205.0
2017-01-18,5100.0
2017-01-19,5190.0
2017-01-20,5150.0
2017-01-23,5190.0
2017-01-24,5220.0
2017-01-25,5300.0
2017-01-26,5250.0
2017-01-31,5200.0
2017-02-01,5320.0
2017-02-02,5265.0
2017-02-03,5230.0
2017-02-06,5200.0
2017-02-07,5230.0
2017-02-08,5190.0
2017-02-09,5265.0
2017-02-10,5220.0
2017-02-13,5400.0
2017-02-14,5365.0
2017-02-15,5370.0
2017-02-16,5450.0
2017-02-17,5395.0
2017-02-20,5365.0
2017-02-21,5370.0
2017-02-22,5470.0
2017-02-23,5395.0
2017-02-24,5275.0
2017-02-27,5350.0
2017-02-28,5340.0
2017-03-02,5435.0
2017-03-03,5380.0
2017-03-06,5375.0
2017-03-07,5305.0
2017-03-08,5250.0
2017-03-09,5250.0
2017-03-10,5185.0
2017-03-13,5180.0
2017-03-14,5225.0
2017-03-15,5205.0
2017-03-16,5280.0
2017-03-17,5295.0
2017-03-20,5295.0
2017-03-21,5250.0
2017-03-22,5280.0
2017-03-23,5275.0
2017-03-24,5270.0
2017-03-27,5265.0
2017-03-28,5225.0
2017-03-29,5295.0
2017-03-30,5350.0
2017-03-31,5375.0
2017-04-03,5340.0
2017-04-04,5305.0
2017-04-05,5295.0
2017-04-06,5355.0
2017-04-07,5325.0
2017-04-10,5315.0
2017-04-11,5250.0
2017-04-12,5235.0
2017-04-13,5160.0
2017-04-14,5140.0
2017-04-17,5165.0
2017-04-18,5190.0
2017-04-19,5095.0
2017-04-20,5095.0
2017-04-21,5160.0
2017-04-24,5100.0
2017-04-25,5170.0
2017-04-26,5220.0
2017-04-27,5210.0
2017-04-28,5185.0
2017-05-02,5170.0
2017-05-04,5130.0
2017-05-08,5115.0
2017-05-10,5030.0
2017-05-11,5025.0
2017-05-12,5045.0
2017-05-15,5060.0
2017-05-16,5090.0
2017-05-17,5095.0
2017-05-18,5120.0
2017-05-19,5090.0
2017-05-22,5180.0
2017-05-23,5185.0
2017-05-24,5175.0
2017-05-25,5140.0
2017-05-26,5220.0
2017-05-29,5195.0
2017-05-30,5185.0
2017-05-31,5135.0
2017-06-01,5125.0
2017-06-02,5120.0
2017-06-05,5140.0
2017-06-07,5080.0
2017-06-08,5080.0
2017-06-09,5140.0
2017-06-12,5160.0
2017-06-13,5135.0
2017-06-14,5110.0
2017-06-15,5080.0
2017-06-16,5080.0
2017-06-19,5200.0
2017-06-20,5095.0
2017-06-21,5020.0
2017-06-22,5170.0
2017-06-23,5010.0
2017-06-26,5135.0
2017-06-27,5100.0
2017-06-28,5165.0
2017-06-29,5180.0
2017-06-30,5235.0
2017-07-03,5245.0
2017-07-04,5245.0
2017-07-05,5240.0
2017-07-06,5200.0
2017-07-07,5215.0
2017-07-10,5185.0
2017-07-11,5175.0
2017-07-12,5175.0
2017-07-13,5175.0
