Date,KINDEX 중국본토CSI300
2016-07-05,18200.0
2016-07-06,18200.0
2016-07-07,18110.0
2016-07-08,18120.0
2016-07-11,18160.0
2016-07-12,18195.0
2016-07-13,18470.0
2016-07-14,18410.0
2016-07-15,18365.0
2016-07-18,18365.0
2016-07-19,18195.0
2016-07-20,18200.0
2016-07-21,18245.0
2016-07-22,18200.0
2016-07-25,18120.0
2016-07-26,18180.0
2016-07-27,17870.0
2016-07-28,17935.0
2016-07-29,17930.0
2016-08-01,17555.0
2016-08-02,17515.0
2016-08-03,17645.0
2016-08-04,17645.0
2016-08-05,17730.0
2016-08-08,17685.0
2016-08-09,17755.0
2016-08-10,17690.0
2016-08-11,17995.0
2016-08-12,18010.0
2016-08-16,18400.0
2016-08-17,18555.0
2016-08-18,18520.0
2016-08-19,18620.0
2016-08-22,18580.0
2016-08-23,18495.0
2016-08-24,18470.0
2016-08-25,18230.0
2016-08-26,18310.0
2016-08-29,18380.0
2016-08-30,18350.0
2016-08-31,18230.0
2016-09-01,18450.0
2016-09-02,18285.0
2016-09-05,18230.0
2016-09-06,18230.0
2016-09-07,18195.0
2016-09-08,18210.0
2016-09-09,18265.0
2016-09-12,17970.0
2016-09-13,17975.0
2016-09-19,18080.0
2016-09-20,18070.0
2016-09-21,18140.0
2016-09-22,18000.0
2016-09-23,17945.0
2016-09-26,17850.0
2016-09-27,17590.0
2016-09-28,17595.0
2016-09-29,17780.0
2016-09-30,17850.0
2016-10-04,17815.0
2016-10-05,17950.0
2016-10-06,17960.0
2016-10-07,17960.0
2016-10-10,18005.0
2016-10-11,18175.0
2016-10-12,18190.0
2016-10-13,18330.0
2016-10-14,18350.0
2016-10-17,18305.0
2016-10-18,18355.0
2016-10-19,18270.0
2016-10-20,18330.0
2016-10-21,18330.0
2016-10-24,18575.0
2016-10-25,18600.0
2016-10-26,18595.0
2016-10-27,18600.0
2016-10-28,18605.0
2016-10-31,18505.0
2016-11-01,18650.0
2016-11-02,18690.0
2016-11-03,18750.0
2016-11-04,18730.0
2016-11-07,18645.0
2016-11-08,18690.0
2016-11-09,18685.0
2016-11-10,18830.0
2016-11-11,19205.0
2016-11-14,19425.0
2016-11-15,19385.0
2016-11-16,19295.0
2016-11-17,19555.0
2016-11-18,19415.0
2016-11-21,19640.0
2016-11-22,19565.0
2016-11-23,19590.0
2016-11-24,19570.0
2016-11-25,19755.0
2016-11-28,19860.0
2016-11-29,20055.0
2016-11-30,19950.0
2016-12-01,20085.0
2016-12-02,20070.0
2016-12-05,19595.0
2016-12-06,19590.0
2016-12-07,19540.0
2016-12-08,19480.0
2016-12-09,19590.0
2016-12-12,19210.0
2016-12-13,19125.0
2016-12-14,19170.0
2016-12-15,18955.0
2016-12-16,19065.0
2016-12-19,18900.0
2016-12-20,18670.0
2016-12-21,18820.0
2016-12-22,19080.0
2016-12-23,18845.0
2016-12-26,18940.0
2016-12-27,19020.0
2016-12-28,19045.0
2016-12-29,19050.0
2017-01-02,19060.0
2017-01-03,19155.0
2017-01-04,19230.0
2017-01-05,19250.0
2017-01-06,19255.0
2017-01-09,19350.0
2017-01-10,19310.0
2017-01-11,19150.0
2017-01-12,19100.0
2017-01-13,18920.0
2017-01-16,18795.0
2017-01-17,18935.0
2017-01-18,19005.0
2017-01-19,19015.0
2017-01-20,19040.0
2017-01-23,18990.0
2017-01-24,19250.0
2017-01-25,19170.0
2017-01-26,19115.0
2017-01-31,19210.0
2017-02-01,19205.0
2017-02-02,19080.0
2017-02-03,18895.0
2017-02-06,18700.0
2017-02-07,18780.0
2017-02-08,18770.0
2017-02-09,18845.0
2017-02-10,18990.0
2017-02-13,18970.0
2017-02-14,18985.0
2017-02-15,19110.0
2017-02-16,19170.0
2017-02-17,19080.0
2017-02-20,19255.0
2017-02-21,19340.0
2017-02-22,19335.0
2017-02-23,19155.0
2017-02-24,19090.0
2017-02-27,19080.0
2017-02-28,19045.0
2017-03-02,19055.0
2017-03-03,19030.0
2017-03-06,19220.0
2017-03-07,19205.0
2017-03-08,19120.0
2017-03-09,18960.0
2017-03-10,19035.0
2017-03-13,19065.0
2017-03-14,19045.0
2017-03-15,19105.0
2017-03-16,19080.0
2017-03-17,18995.0
2017-03-20,18805.0
2017-03-21,18825.0
2017-03-22,18705.0
2017-03-23,18700.0
2017-03-24,18850.0
2017-03-27,18750.0
2017-03-28,18830.0
2017-03-29,18845.0
2017-03-30,18650.0
2017-03-31,18715.0
2017-04-03,18845.0
2017-04-04,18820.0
2017-04-05,19000.0
2017-04-06,19190.0
2017-04-07,19175.0
2017-04-10,19225.0
2017-04-11,19265.0
2017-04-12,19275.0
2017-04-13,19195.0
2017-04-14,19200.0
2017-04-17,19090.0
