Date,TIGER 방송통신
2016-07-28,9335.0
2016-07-29,9345.0
2016-08-01,9350.0
2016-08-02,9230.0
2016-08-03,9205.0
2016-08-04,9270.0
2016-08-05,9190.0
2016-08-08,9205.0
2016-08-09,9265.0
2016-08-10,9295.0
2016-08-11,9335.0
2016-08-12,9365.0
2016-08-16,9350.0
2016-08-17,9340.0
2016-08-18,9270.0
2016-08-19,9155.0
2016-08-22,9005.0
2016-08-23,9000.0
2016-08-24,9050.0
2016-08-25,9075.0
2016-08-26,9135.0
2016-08-29,9055.0
2016-08-30,9025.0
2016-08-31,9015.0
2016-09-01,9005.0
2016-09-02,8955.0
2016-09-05,9105.0
2016-09-06,9055.0
2016-09-07,9035.0
2016-09-08,9040.0
2016-09-09,8985.0
2016-09-12,8875.0
2016-09-13,8865.0
2016-09-19,8840.0
2016-09-20,8825.0
2016-09-21,8905.0
2016-09-22,8985.0
2016-09-23,9100.0
2016-09-26,9170.0
2016-09-27,9225.0
2016-09-28,9225.0
2016-09-29,9305.0
2016-09-30,9290.0
2016-10-04,9275.0
2016-10-05,9200.0
2016-10-06,9150.0
2016-10-07,9130.0
2016-10-10,9150.0
2016-10-11,9205.0
2016-10-12,9145.0
2016-10-13,9085.0
2016-10-14,9150.0
2016-10-17,9150.0
2016-10-18,9200.0
2016-10-19,9185.0
2016-10-20,9185.0
2016-10-21,9150.0
2016-10-24,9285.0
2016-10-25,9300.0
2016-10-26,9195.0
2016-10-27,9310.0
2016-10-28,9220.0
2016-10-31,9165.0
2016-11-01,9335.0
2016-11-02,9255.0
2016-11-03,9245.0
2016-11-04,9100.0
2016-11-07,9100.0
2016-11-08,9065.0
2016-11-09,8945.0
2016-11-10,8930.0
2016-11-11,8785.0
2016-11-14,8820.0
2016-11-15,8875.0
2016-11-16,8880.0
2016-11-17,8885.0
2016-11-18,8890.0
2016-11-21,8805.0
2016-11-22,8725.0
2016-11-23,8770.0
2016-11-24,8675.0
2016-11-25,8695.0
2016-11-28,8610.0
2016-11-29,8660.0
2016-11-30,8660.0
2016-12-01,8630.0
2016-12-02,8600.0
2016-12-05,8550.0
2016-12-06,8685.0
2016-12-07,8750.0
2016-12-08,8835.0
2016-12-09,8890.0
2016-12-12,8925.0
2016-12-13,8995.0
2016-12-14,9010.0
2016-12-15,9115.0
2016-12-16,9170.0
2016-12-19,9120.0
2016-12-20,9105.0
2016-12-21,9075.0
2016-12-22,9080.0
2016-12-23,9080.0
2016-12-26,9080.0
2016-12-27,9050.0
2016-12-28,9210.0
2016-12-29,9210.0
2017-01-02,9310.0
2017-01-03,9200.0
2017-01-04,9190.0
2017-01-05,9260.0
2017-01-06,9255.0
2017-01-09,9235.0
2017-01-10,9255.0
2017-01-11,9270.0
2017-01-12,9230.0
2017-01-13,9345.0
2017-01-16,9355.0
2017-01-17,9310.0
2017-01-18,9335.0
2017-01-19,9565.0
2017-01-20,9625.0
2017-01-23,9625.0
2017-01-24,9535.0
2017-01-25,9515.0
2017-01-26,9550.0
2017-01-31,9585.0
2017-02-01,9525.0
2017-02-02,9495.0
2017-02-03,9625.0
2017-02-06,9660.0
2017-02-07,9700.0
2017-02-08,9670.0
2017-02-09,9620.0
2017-02-10,9655.0
2017-02-13,9630.0
2017-02-14,9620.0
2017-02-15,9630.0
2017-02-16,9605.0
2017-02-17,9565.0
2017-02-20,9585.0
2017-02-21,9670.0
2017-02-22,9725.0
2017-02-23,9755.0
2017-02-24,9815.0
2017-02-27,9625.0
2017-02-28,9710.0
2017-03-02,9705.0
2017-03-03,9765.0
2017-03-06,9675.0
2017-03-07,9720.0
2017-03-08,9925.0
2017-03-09,9970.0
2017-03-10,10100.0
2017-03-13,10155.0
2017-03-14,10065.0
2017-03-15,10290.0
2017-03-16,10320.0
2017-03-17,10210.0
2017-03-20,10255.0
2017-03-21,10325.0
2017-03-22,10565.0
2017-03-23,10690.0
2017-03-24,10660.0
2017-03-27,10685.0
2017-03-28,10585.0
2017-03-29,10465.0
2017-03-30,10450.0
2017-03-31,10420.0
2017-04-03,10520.0
2017-04-04,10520.0
2017-04-05,10390.0
2017-04-06,10520.0
2017-04-07,10690.0
2017-04-10,10620.0
2017-04-11,10305.0
2017-04-12,10270.0
2017-04-13,10345.0
2017-04-14,10240.0
2017-04-17,10285.0
2017-04-18,10355.0
2017-04-19,10360.0
2017-04-20,10290.0
2017-04-21,10355.0
2017-04-24,10445.0
2017-04-25,10380.0
2017-04-26,10250.0
2017-04-27,9975.0
2017-04-28,10040.0
2017-05-02,10010.0
2017-05-04,9940.0
2017-05-08,9955.0
2017-05-10,10015.0
2017-05-11,9850.0
2017-05-12,9890.0
2017-05-15,9810.0
2017-05-16,9815.0
2017-05-17,9900.0
2017-05-18,10005.0
2017-05-19,10070.0
2017-05-22,10025.0
2017-05-23,10080.0
2017-05-24,10170.0
2017-05-25,10285.0
2017-05-26,10330.0
2017-05-29,10285.0
2017-05-30,10290.0
2017-05-31,10430.0
2017-06-01,10410.0
2017-06-02,10425.0
2017-06-05,10350.0
2017-06-07,10320.0
2017-06-08,10325.0
2017-06-09,10325.0
2017-06-12,10295.0
2017-06-13,10330.0
2017-06-14,10240.0
2017-06-15,10215.0
2017-06-16,10255.0
2017-06-19,10310.0
2017-06-20,10440.0
2017-06-21,10415.0
2017-06-22,10635.0
2017-06-23,10470.0
2017-06-26,10420.0
2017-06-27,10665.0
2017-06-28,10420.0
2017-06-29,10415.0
2017-06-30,10390.0
2017-07-03,10500.0
2017-07-04,10450.0
2017-07-05,10385.0
2017-07-06,10250.0
2017-07-07,10310.0
2017-07-10,10335.0
2017-07-11,10250.0
2017-07-12,10125.0
2017-07-13,10165.0
2017-07-14,10180.0
2017-07-17,10205.0
2017-07-18,10285.0
2017-07-19,10320.0
2017-07-20,10345.0
2017-07-21,10510.0
2017-07-24,10675.0
2017-07-25,10705.0
2017-07-26,10670.0
2017-07-27,10810.0
2017-07-28,10715.0
2017-07-31,10705.0
2017-08-01,10705.0
