Date,TIGER 200 경기소비재
2017-03-28,16135.0
2017-03-29,15925.0
2017-03-30,15940.0
2017-03-31,16085.0
2017-04-03,15970.0
2017-04-04,15960.0
2017-04-05,15700.0
2017-04-06,15590.0
2017-04-07,15550.0
2017-04-10,15385.0
2017-04-11,15255.0
2017-04-12,15410.0
2017-04-13,15485.0
2017-04-14,15415.0
2017-04-17,15550.0
2017-04-18,15470.0
2017-04-19,15320.0
2017-04-20,15595.0
2017-04-21,15650.0
2017-04-24,15730.0
2017-04-25,15825.0
2017-04-26,15950.0
2017-04-27,15620.0
2017-04-28,15340.0
2017-05-02,15625.0
2017-05-04,15660.0
2017-05-08,16170.0
2017-05-10,16140.0
2017-05-11,16405.0
2017-05-12,16255.0
2017-05-15,16165.0
2017-05-16,16190.0
2017-05-17,16360.0
2017-05-18,16595.0
2017-05-19,16900.0
2017-05-22,16970.0
2017-05-23,17115.0
2017-05-24,16865.0
2017-05-25,17015.0
2017-05-26,17030.0
2017-05-29,17040.0
2017-05-30,17160.0
2017-05-31,17105.0
2017-06-01,17165.0
2017-06-02,17060.0
2017-06-05,17180.0
2017-06-07,17025.0
2017-06-08,17025.0
2017-06-09,16995.0
2017-06-12,16890.0
2017-06-13,17100.0
2017-06-14,17185.0
2017-06-15,16945.0
2017-06-16,16985.0
2017-06-19,16955.0
2017-06-20,16800.0
2017-06-21,16590.0
2017-06-22,16695.0
2017-06-23,16810.0
2017-06-26,16755.0
2017-06-27,16695.0
2017-06-28,16685.0
2017-06-29,16800.0
2017-06-30,16645.0
2017-07-03,16940.0
2017-07-04,16670.0
2017-07-05,16540.0
2017-07-06,16510.0
2017-07-07,16300.0
2017-07-10,16215.0
2017-07-11,16210.0
2017-07-12,16180.0
2017-07-13,16215.0
2017-07-14,16275.0
2017-07-17,16350.0
2017-07-18,16260.0
2017-07-19,16170.0
2017-07-20,16190.0
2017-07-21,16120.0
2017-07-24,16150.0
2017-07-25,16200.0
2017-07-26,16275.0
2017-07-27,16285.0
2017-07-28,16480.0
2017-07-31,16150.0
2017-08-01,16205.0
2017-08-02,16235.0
2017-08-03,16170.0
2017-08-04,16400.0
2017-08-07,16340.0
2017-08-08,16000.0
2017-08-09,16080.0
2017-08-10,16115.0
2017-08-11,15875.0
2017-08-14,15965.0
2017-08-16,15835.0
2017-08-17,15835.0
2017-08-18,15810.0
2017-08-21,15760.0
2017-08-22,15875.0
2017-08-23,15890.0
2017-08-24,15965.0
2017-08-25,15910.0
2017-08-28,15940.0
2017-08-29,15695.0
2017-08-30,15645.0
2017-08-31,15510.0
2017-09-01,15495.0
2017-09-04,15375.0
2017-09-05,15200.0
2017-09-06,15035.0
2017-09-07,15125.0
2017-09-08,14845.0
2017-09-11,14780.0
2017-09-12,14805.0
2017-09-13,14650.0
2017-09-14,14730.0
2017-09-15,14745.0
2017-09-18,15000.0
2017-09-19,14975.0
2017-09-20,15040.0
2017-09-21,14880.0
2017-09-22,14820.0
2017-09-25,14855.0
2017-09-26,15245.0
2017-09-27,15250.0
2017-09-28,15300.0
2017-09-29,15565.0
2017-10-10,15500.0
2017-10-11,15735.0
2017-10-12,15825.0
2017-10-13,15870.0
2017-10-16,15915.0
2017-10-17,15700.0
2017-10-18,15895.0
2017-10-19,16020.0
2017-10-20,15975.0
2017-10-23,16060.0
2017-10-24,15980.0
2017-10-25,15900.0
2017-10-26,16355.0
2017-10-27,16365.0
2017-10-30,16290.0
2017-10-31,16755.0
2017-11-01,16640.0
2017-11-02,16615.0
2017-11-03,16735.0
2017-11-06,16685.0
2017-11-07,16565.0
2017-11-08,16630.0
2017-11-09,16690.0
2017-11-10,16670.0
2017-11-13,16875.0
2017-11-14,16735.0
2017-11-15,16720.0
2017-11-16,16675.0
2017-11-17,16550.0
2017-11-20,16420.0
2017-11-21,16510.0
2017-11-22,16435.0
2017-11-23,16475.0
2017-11-24,16475.0
2017-11-27,16595.0
2017-11-28,16625.0
2017-11-29,16685.0
2017-11-30,16905.0
2017-12-01,16780.0
2017-12-04,16765.0
2017-12-05,16995.0
2017-12-06,16830.0
2017-12-07,16725.0
2017-12-08,16370.0
2017-12-11,16220.0
2017-12-12,16190.0
2017-12-13,16465.0
2017-12-14,16425.0
2017-12-15,16525.0
2017-12-18,16550.0
2017-12-19,16430.0
2017-12-20,16295.0
2017-12-21,16130.0
2017-12-22,16055.0
2017-12-26,16155.0
2017-12-27,16545.0
2017-12-28,16385.0
2018-01-02,16255.0
2018-01-03,16300.0
2018-01-04,16015.0
2018-01-05,15985.0
2018-01-08,16125.0
2018-01-09,16325.0
2018-01-10,16510.0
2018-01-11,16420.0
2018-01-12,16275.0
2018-01-15,16260.0
2018-01-16,16470.0
2018-01-17,16570.0
2018-01-18,16550.0
2018-01-19,16945.0
2018-01-22,16925.0
2018-01-23,16920.0
2018-01-24,16880.0
2018-01-25,16855.0
2018-01-26,16575.0
2018-01-29,16735.0
2018-01-30,16660.0
2018-01-31,16925.0
2018-02-01,16950.0
2018-02-02,17060.0
2018-02-05,16875.0
2018-02-06,16505.0
2018-02-07,16225.0
2018-02-08,16385.0
2018-02-09,15980.0
2018-02-12,15770.0
2018-02-13,15595.0
2018-02-14,15600.0
2018-02-19,15730.0
2018-02-20,15610.0
2018-02-21,15845.0
2018-02-22,15790.0
2018-02-23,15995.0
2018-02-26,16080.0
2018-02-27,16015.0
2018-02-28,16000.0
2018-03-02,15675.0
2018-03-05,15460.0
2018-03-06,15615.0
2018-03-07,15295.0
2018-03-08,15360.0
2018-03-09,15630.0
2018-03-12,15770.0
2018-03-13,15625.0
2018-03-14,15755.0
2018-03-15,15755.0
2018-03-16,15800.0
2018-03-19,15510.0
2018-03-20,15655.0
2018-03-21,15700.0
2018-03-22,15785.0
2018-03-23,15485.0
2018-03-26,15475.0
2018-03-27,15780.0
2018-03-28,15925.0
2018-03-29,15720.0
2018-03-30,15730.0
2018-04-02,16000.0
2018-04-03,16220.0
2018-04-04,16370.0
2018-04-05,16250.0
2018-04-06,16185.0
2018-04-09,16140.0
2018-04-10,16325.0
2018-04-11,16215.0
2018-04-12,16065.0
2018-04-13,15920.0
2018-04-16,16010.0
2018-04-17,16055.0
2018-04-18,16245.0
2018-04-19,16010.0
2018-04-20,16035.0
2018-04-23,16005.0
2018-04-24,16205.0
2018-04-25,16210.0
2018-04-26,16040.0
2018-04-27,15900.0
2018-04-30,16125.0
2018-05-02,16060.0
2018-05-03,15935.0
2018-05-04,15765.0
2018-05-08,15590.0
2018-05-09,15695.0
2018-05-10,15595.0
2018-05-11,15735.0
2018-05-14,15695.0
2018-05-15,15625.0
2018-05-16,15670.0
2018-05-17,15645.0
2018-05-18,15675.0
2018-05-21,15700.0
2018-05-23,15555.0
2018-05-24,15300.0
2018-05-25,15125.0
2018-05-28,15165.0
2018-05-29,15055.0
2018-05-30,14800.0
2018-05-31,14845.0
2018-06-01,15085.0
2018-06-04,15245.0
2018-06-05,15210.0
2018-06-07,15300.0
2018-06-08,15260.0
2018-06-11,15205.0
2018-06-12,15305.0
2018-06-14,15070.0
2018-06-15,14930.0
2018-06-18,14810.0
2018-06-19,14655.0
2018-06-20,14600.0
2018-06-21,14350.0
2018-06-22,14385.0
2018-06-25,14555.0
2018-06-26,14460.0
2018-06-27,14340.0
2018-06-28,14300.0
2018-06-29,14150.0
2018-07-02,14050.0
2018-07-03,13750.0
2018-07-04,13520.0
2018-07-05,13620.0
2018-07-06,13995.0
2018-07-09,13980.0
2018-07-10,13890.0
2018-07-11,13805.0
2018-07-12,13960.0
2018-07-13,14025.0
2018-07-16,14270.0
2018-07-17,14350.0
2018-07-18,14205.0
2018-07-19,14110.0
2018-07-20,14200.0
2018-07-23,14350.0
2018-07-24,14225.0
2018-07-25,14315.0
2018-07-26,14350.0
2018-07-27,14470.0
2018-07-30,14480.0
2018-07-31,14350.0
2018-08-01,14480.0
2018-08-02,14210.0
2018-08-03,14285.0
2018-08-06,14315.0
2018-08-07,14375.0
2018-08-08,14540.0
2018-08-09,14515.0
2018-08-10,14555.0
2018-08-13,14400.0
2018-08-14,14380.0
2018-08-16,14385.0
2018-08-17,14410.0
2018-08-20,14475.0
2018-08-21,14445.0
2018-08-22,14400.0
2018-08-23,14335.0
2018-08-24,14290.0
2018-08-27,14310.0
2018-08-28,14400.0
2018-08-29,14370.0
2018-08-30,14270.0
2018-08-31,14285.0
2018-09-03,14300.0
2018-09-04,14455.0
2018-09-05,14575.0
2018-09-06,14740.0
2018-09-07,14700.0
2018-09-10,14600.0
2018-09-11,14525.0
2018-09-12,14510.0
2018-09-13,14540.0
2018-09-14,14630.0
2018-09-17,14535.0
2018-09-18,14625.0
2018-09-19,14460.0
2018-09-20,14600.0
2018-09-21,14695.0
2018-09-27,14870.0
2018-09-28,14830.0
2018-10-01,14680.0
2018-10-02,14600.0
2018-10-04,14150.0
2018-10-05,14215.0
