Date,ARIRANG 코스피50
2017-07-10,20815.0
2017-07-11,20990.0
2017-07-12,21020.0
2017-07-13,21200.0
2017-07-14,21235.0
2017-07-17,21315.0
2017-07-18,21315.0
2017-07-19,21300.0
2017-07-20,21510.0
2017-07-21,21585.0
2017-07-24,21510.0
2017-07-25,21440.0
2017-07-26,21360.0
2017-07-27,21420.0
2017-07-28,20955.0
2017-07-31,21025.0
2017-08-01,21165.0
2017-08-02,21220.0
2017-08-03,20855.0
2017-08-04,20960.0
2017-08-07,21010.0
2017-08-08,20980.0
2017-08-09,20665.0
2017-08-10,20585.0
2017-08-11,20160.0
2017-08-14,20345.0
2017-08-16,20525.0
2017-08-17,20675.0
2017-08-18,20645.0
2017-08-21,20640.0
2017-08-22,20725.0
2017-08-23,20765.0
2017-08-24,20845.0
2017-08-25,20850.0
2017-08-28,20695.0
2017-08-29,20555.0
2017-08-30,20730.0
2017-08-31,20630.0
2017-09-01,20625.0
2017-09-04,20395.0
2017-09-05,20410.0
2017-09-06,20310.0
2017-09-07,20590.0
2017-09-08,20640.0
2017-09-11,20895.0
2017-09-12,20835.0
2017-09-13,20920.0
2017-09-14,21020.0
2017-09-15,21160.0
2017-09-18,21540.0
2017-09-19,21460.0
2017-09-20,21550.0
2017-09-21,21540.0
2017-09-22,21545.0
2017-09-25,21610.0
2017-09-26,21365.0
2017-09-27,21260.0
2017-09-28,21365.0
2017-09-29,21535.0
2017-10-10,22010.0
2017-10-11,22265.0
2017-10-12,22335.0
2017-10-13,22300.0
2017-10-16,22360.0
2017-10-17,22370.0
2017-10-18,22385.0
2017-10-19,22195.0
2017-10-20,22340.0
2017-10-23,22450.0
2017-10-24,22410.0
2017-10-25,22395.0
2017-10-26,22220.0
2017-10-27,22440.0
2017-10-30,22470.0
2017-10-31,22795.0
2017-11-01,23115.0
2017-11-02,23135.0
2017-11-03,23145.0
2017-11-06,23080.0
2017-11-07,22970.0
2017-11-08,23060.0
2017-11-09,23030.0
2017-11-10,22855.0
2017-11-13,22840.0
2017-11-14,22725.0
2017-11-15,22685.0
2017-11-16,22820.0
2017-11-17,22800.0
2017-11-20,22610.0
2017-11-21,22720.0
2017-11-22,22875.0
2017-11-23,22720.0
2017-11-24,22790.0
2017-11-27,22280.0
2017-11-28,22485.0
2017-11-29,22415.0
2017-11-30,22045.0
2017-12-01,21920.0
2017-12-04,22165.0
2017-12-05,22260.0
2017-12-06,21955.0
2017-12-07,21890.0
2017-12-08,22005.0
2017-12-11,21985.0
2017-12-12,22010.0
2017-12-13,22090.0
2017-12-14,22270.0
2017-12-15,22035.0
2017-12-18,22145.0
2017-12-19,22115.0
2017-12-20,22100.0
2017-12-21,21665.0
2017-12-22,21760.0
2017-12-26,21470.0
2017-12-27,21965.0
2017-12-28,22270.0
2018-01-02,22235.0
2018-01-03,22340.0
2018-01-04,22225.0
2018-01-05,22495.0
2018-01-08,22705.0
2018-01-09,22480.0
2018-01-10,22280.0
2018-01-11,22120.0
2018-01-12,22175.0
2018-01-15,22220.0
2018-01-16,22400.0
2018-01-17,22430.0
2018-01-18,22370.0
2018-01-19,22350.0
2018-01-22,22180.0
2018-01-23,22360.0
2018-01-24,22410.0
2018-01-25,22580.0
2018-01-26,22650.0
2018-01-29,22900.0
2018-01-30,22460.0
2018-01-31,22585.0
2018-02-01,22570.0
2018-02-02,22105.0
2018-02-05,21935.0
2018-02-06,21565.0
2018-02-07,21075.0
2018-02-08,20965.0
2018-02-09,20635.0
2018-02-12,20860.0
2018-02-13,21150.0
2018-02-14,21500.0
2018-02-19,21585.0
2018-02-20,21240.0
2018-02-21,21345.0
2018-02-22,21205.0
2018-02-23,21580.0
2018-02-26,21600.0
2018-02-27,21525.0
2018-02-28,21370.0
2018-03-02,20980.0
2018-03-05,20735.0
2018-03-06,21165.0
2018-03-07,21375.0
2018-03-08,21515.0
2018-03-09,21670.0
2018-03-12,21945.0
2018-03-13,22110.0
2018-03-14,22125.0
2018-03-15,22185.0
2018-03-16,22175.0
2018-03-19,21900.0
2018-03-20,22105.0
2018-03-21,22085.0
2018-03-22,22110.0
2018-03-23,21360.0
2018-03-26,21585.0
2018-03-27,21645.0
2018-03-28,21380.0
2018-03-29,21530.0
2018-03-30,21565.0
2018-04-02,21500.0
2018-04-03,21405.0
2018-04-04,21010.0
2018-04-05,21335.0
2018-04-06,21300.0
2018-04-09,21430.0
2018-04-10,21455.0
2018-04-11,21365.0
2018-04-12,21425.0
2018-04-13,21515.0
2018-04-16,21460.0
2018-04-17,21470.0
2018-04-18,21775.0
2018-04-19,21900.0
2018-04-20,21690.0
2018-04-23,21630.0
2018-04-24,21500.0
2018-04-25,21400.0
2018-04-26,21725.0
2018-04-27,21525.0
2018-04-30,21700.0
2018-05-02,21545.0
2018-05-03,21395.0
2018-05-04,21205.0
2018-05-08,21125.0
2018-05-09,21010.0
2018-05-10,21080.0
2018-05-11,21095.0
2018-05-14,21025.0
2018-05-15,20765.0
2018-05-16,20910.0
2018-05-17,20815.0
2018-05-18,20900.0
2018-05-21,20935.0
2018-05-23,21245.0
2018-05-24,21075.0
2018-05-25,21220.0
2018-05-28,21170.0
2018-05-29,21050.0
2018-05-30,20485.0
2018-05-31,20685.0
2018-06-01,20745.0
2018-06-04,20925.0
2018-06-05,21005.0
2018-06-07,21035.0
2018-06-08,20925.0
2018-06-11,20965.0
2018-06-12,20945.0
2018-06-14,20740.0
2018-06-15,20415.0
2018-06-18,20865.0
2018-06-19,20070.0
2018-06-20,20235.0
2018-06-21,19980.0
2018-06-22,20220.0
2018-06-25,20085.0
2018-06-26,20165.0
2018-06-27,20190.0
2018-06-28,19855.0
2018-06-29,20025.0
2018-07-02,19585.0
2018-07-03,19595.0
2018-07-04,19585.0
2018-07-05,19555.0
2018-07-06,19620.0
2018-07-09,19760.0
2018-07-10,19835.0
2018-07-11,19725.0
2018-07-12,19680.0
2018-07-13,20020.0
2018-07-16,19905.0
2018-07-17,19950.0
2018-07-18,19980.0
2018-07-19,20020.0
2018-07-20,20080.0
2018-07-23,19830.0
2018-07-24,19865.0
2018-07-25,19805.0
2018-07-26,19930.0
2018-07-27,19955.0
2018-07-30,19960.0
2018-07-31,19965.0
2018-08-01,20030.0
2018-08-02,19675.0
2018-08-03,19770.0
2018-08-06,19755.0
2018-08-07,19925.0
2018-08-08,19940.0
2018-08-09,19900.0
2018-08-10,19655.0
2018-08-13,19420.0
2018-08-14,19510.0
2018-08-16,19280.0
2018-08-17,19295.0
2018-08-20,19290.0
2018-08-21,19525.0
2018-08-22,19650.0
2018-08-23,19695.0
2018-08-24,19785.0
2018-08-27,19910.0
2018-08-28,19855.0
2018-08-29,19935.0
2018-08-30,19995.0
2018-08-31,20135.0
2018-09-03,19905.0
2018-09-04,20025.0
2018-09-05,19740.0
2018-09-06,19655.0
2018-09-07,19505.0
2018-09-10,19545.0
2018-09-11,19470.0
2018-09-12,19410.0
2018-09-13,19415.0
2018-09-14,19740.0
2018-09-17,19620.0
2018-09-18,19720.0
2018-09-19,19720.0
2018-09-20,19930.0
2018-09-21,20020.0
2018-09-27,20185.0
2018-09-28,20060.0
2018-10-01,20060.0
2018-10-02,19795.0
2018-10-04,19440.0
2018-10-05,19445.0
