Date,KBSTAR 중국본토대형주CSI100
2015-11-11,14275.0
2015-11-12,14295.0
2015-11-13,14215.0
2015-11-16,14195.0
2015-11-17,14300.0
2015-11-18,14200.0
2015-11-19,14185.0
2015-11-20,14160.0
2015-11-23,14235.0
2015-11-24,13950.0
2015-11-25,13915.0
2015-11-26,13985.0
2015-11-27,13530.0
2015-11-30,13450.0
2015-12-01,13530.0
2015-12-02,13960.0
2015-12-03,14200.0
2015-12-04,13800.0
2015-12-07,13950.0
2015-12-08,13945.0
2015-12-09,13895.0
2015-12-10,13950.0
2015-12-11,13755.0
2015-12-14,13980.0
2015-12-15,14000.0
2015-12-16,13910.0
2015-12-17,14110.0
2015-12-18,14275.0
2015-12-21,14620.0
2015-12-22,14500.0
2015-12-23,14630.0
2015-12-24,14330.0
2015-12-28,14170.0
2015-12-29,14000.0
2015-12-30,14160.0
2016-01-04,13320.0
2016-01-05,13260.0
2016-01-06,13530.0
2016-01-07,12690.0
2016-01-08,13065.0
2016-01-11,12850.0
2016-01-12,12650.0
2016-01-13,12600.0
2016-01-14,12530.0
2016-01-15,12400.0
2016-01-18,12305.0
2016-01-19,12560.0
2016-01-20,12500.0
2016-01-21,12320.0
2016-01-22,12195.0
2016-01-25,12095.0
2016-01-26,11925.0
2016-01-27,11380.0
2016-01-28,11440.0
2016-01-29,11670.0
2016-02-01,11420.0
2016-02-02,11650.0
2016-02-03,11600.0
2016-02-04,11615.0
2016-02-05,11635.0
2016-02-11,11600.0
2016-02-12,11600.0
2016-02-15,11515.0
2016-02-16,12040.0
2016-02-17,12160.0
2016-02-18,12260.0
2016-02-19,12270.0
2016-02-22,12455.0
2016-02-23,12280.0
2016-02-24,12280.0
2016-02-25,12100.0
2016-02-26,11900.0
2016-02-29,11690.0
2016-03-02,12170.0
2016-03-03,12145.0
2016-03-04,12370.0
2016-03-07,12350.0
2016-03-08,12280.0
2016-03-09,12215.0
2016-03-10,12230.0
2016-03-11,12000.0
2016-03-14,12200.0
2016-03-15,12010.0
2016-03-16,12285.0
2016-03-17,12270.0
2016-03-18,12300.0
2016-03-21,12445.0
2016-03-22,12380.0
2016-03-23,12335.0
2016-03-24,12320.0
2016-03-25,12250.0
2016-03-28,12270.0
2016-03-29,12110.0
2016-03-30,12160.0
2016-03-31,12360.0
2016-04-01,12210.0
2016-04-04,12220.0
2016-04-05,12400.0
2016-04-06,12335.0
2016-04-07,12285.0
2016-04-08,12085.0
2016-04-11,12215.0
2016-04-12,12130.0
2016-04-14,12375.0
2016-04-15,12330.0
2016-04-18,12230.0
2016-04-19,12095.0
2016-04-20,11785.0
2016-04-21,12030.0
2016-04-22,12030.0
2016-04-25,12090.0
2016-04-26,12050.0
2016-04-27,12065.0
2016-04-28,11870.0
2016-04-29,12100.0
2016-05-02,11970.0
2016-05-03,12110.0
2016-05-04,12245.0
2016-05-09,11875.0
2016-05-10,11925.0
2016-05-11,11950.0
2016-05-12,11910.0
2016-05-13,11940.0
2016-05-16,12035.0
2016-05-17,11960.0
2016-05-18,11950.0
2016-05-19,12075.0
2016-05-20,12030.0
2016-05-23,12015.0
2016-05-24,12020.0
2016-05-25,11925.0
2016-05-26,11860.0
2016-05-27,11950.0
2016-05-30,12020.0
2016-05-31,12360.0
2016-06-01,12135.0
2016-06-02,12260.0
2016-06-03,12340.0
2016-06-07,12080.0
2016-06-08,12020.0
2016-06-09,12020.0
2016-06-10,12020.0
2016-06-13,12055.0
2016-06-14,11890.0
2016-06-15,11925.0
2016-06-16,11900.0
2016-06-17,11820.0
2016-06-20,11855.0
2016-06-21,11800.0
2016-06-22,11785.0
2016-06-23,11750.0
2016-06-24,11900.0
2016-06-27,11900.0
2016-06-28,11835.0
2016-06-29,11850.0
2016-06-30,11880.0
2016-07-01,11710.0
2016-07-04,11810.0
2016-07-05,11895.0
2016-07-06,12040.0
2016-07-07,11905.0
2016-07-08,11940.0
2016-07-11,11905.0
2016-07-12,11990.0
2016-07-13,12080.0
2016-07-14,12050.0
2016-07-15,12005.0
2016-07-18,12040.0
2016-07-19,11865.0
2016-07-20,11950.0
2016-07-21,11980.0
2016-07-22,11870.0
2016-07-25,11810.0
2016-07-26,11835.0
2016-07-27,11530.0
2016-07-28,11670.0
2016-07-29,11760.0
2016-08-01,11495.0
2016-08-02,11515.0
2016-08-03,11625.0
2016-08-04,11580.0
2016-08-05,11625.0
2016-08-08,11630.0
2016-08-09,11680.0
2016-08-10,11570.0
2016-08-11,11680.0
2016-08-12,11695.0
2016-08-16,12100.0
2016-08-17,12190.0
2016-08-18,12170.0
2016-08-19,12205.0
2016-08-22,12180.0
2016-08-23,12045.0
2016-08-24,12150.0
2016-08-25,12035.0
2016-08-26,12000.0
2016-08-29,12070.0
2016-08-30,12055.0
2016-08-31,12140.0
2016-09-01,11945.0
2016-09-02,12055.0
2016-09-05,11940.0
2016-09-06,11995.0
2016-09-07,11920.0
2016-09-08,11690.0
2016-09-09,11785.0
2016-09-12,11600.0
2016-09-13,11650.0
2016-09-19,11765.0
2016-09-20,11740.0
2016-09-21,11795.0
2016-09-22,11795.0
2016-09-23,11680.0
2016-09-26,11575.0
2016-09-27,11455.0
2016-09-28,11500.0
2016-09-29,11565.0
2016-09-30,11750.0
2016-10-04,11720.0
2016-10-05,11750.0
2016-10-06,11550.0
2016-10-07,11650.0
2016-10-10,11750.0
2016-10-11,11770.0
2016-10-12,11775.0
2016-10-13,11815.0
2016-10-14,11815.0
2016-10-17,11770.0
2016-10-18,11880.0
2016-10-19,11840.0
2016-10-20,11905.0
2016-10-21,12000.0
2016-10-24,12045.0
2016-10-25,12185.0
2016-10-26,12160.0
2016-10-27,12130.0
2016-10-28,12250.0
2016-10-31,12300.0
2016-11-01,12295.0
2016-11-02,12130.0
2016-11-03,12130.0
2016-11-04,12240.0
2016-11-07,12200.0
2016-11-08,12250.0
2016-11-09,12295.0
2016-11-10,12385.0
2016-11-11,12505.0
2016-11-14,12635.0
2016-11-15,12630.0
2016-11-16,12630.0
2016-11-17,12605.0
2016-11-18,12700.0
2016-11-21,12845.0
2016-11-22,12830.0
2016-11-23,12780.0
2016-11-24,12850.0
2016-11-25,12925.0
2016-11-28,12965.0
2016-11-29,13220.0
2016-11-30,13220.0
2016-12-01,13160.0
2016-12-02,13210.0
2016-12-05,13005.0
2016-12-06,12860.0
2016-12-07,12860.0
2016-12-08,12770.0
2016-12-09,12960.0
2016-12-12,12700.0
2016-12-13,12600.0
2016-12-14,12700.0
2016-12-15,12450.0
