Date,KODEX 레버리지
2016-04-29,10115.0
2016-05-02,9970.0
2016-05-03,10030.0
2016-05-04,9905.0
2016-05-09,9880.0
2016-05-10,9970.0
2016-05-11,9935.0
2016-05-12,9900.0
2016-05-13,9725.0
2016-05-16,9765.0
2016-05-17,9765.0
2016-05-18,9640.0
2016-05-19,9595.0
2016-05-20,9605.0
2016-05-23,9660.0
2016-05-24,9510.0
2016-05-25,9785.0
2016-05-26,9755.0
2016-05-27,9840.0
2016-05-30,9805.0
2016-05-31,9925.0
2016-06-01,9950.0
2016-06-02,10000.0
2016-06-03,10025.0
2016-06-07,10295.0
2016-06-08,10480.0
2016-06-09,10455.0
2016-06-10,10390.0
2016-06-13,9995.0
2016-06-14,9920.0
2016-06-15,9890.0
2016-06-16,9740.0
2016-06-17,9785.0
2016-06-20,10035.0
2016-06-21,10035.0
2016-06-22,10160.0
2016-06-23,10155.0
2016-06-24,9505.0
2016-06-27,9570.0
2016-06-28,9605.0
2016-06-29,9825.0
2016-06-30,9915.0
2016-07-01,10130.0
2016-07-04,10200.0
2016-07-05,10165.0
2016-07-06,9760.0
2016-07-07,9975.0
2016-07-08,9880.0
2016-07-11,10180.0
2016-07-12,10170.0
2016-07-13,10305.0
2016-07-14,10350.0
2016-07-15,10440.0
2016-07-18,10490.0
2016-07-19,10445.0
2016-07-20,10415.0
2016-07-21,10435.0
2016-07-22,10425.0
2016-07-25,10440.0
2016-07-26,10615.0
2016-07-27,10615.0
2016-07-28,10545.0
2016-07-29,10550.0
2016-08-01,10710.0
2016-08-02,10550.0
2016-08-03,10300.0
2016-08-04,10330.0
2016-08-05,10565.0
2016-08-08,10700.0
2016-08-09,10870.0
2016-08-10,10805.0
2016-08-11,10835.0
2016-08-12,10900.0
2016-08-16,10900.0
2016-08-17,10870.0
2016-08-18,11030.0
2016-08-19,11070.0
2016-08-22,10955.0
2016-08-23,11070.0
2016-08-24,10970.0
2016-08-25,10975.0
2016-08-26,10915.0
2016-08-29,10905.0
2016-08-30,10995.0
2016-08-31,10920.0
2016-09-01,10855.0
2016-09-02,10905.0
2016-09-05,11170.0
2016-09-06,11250.0
2016-09-07,11200.0
2016-09-08,11205.0
2016-09-09,10950.0
2016-09-12,10400.0
2016-09-13,10480.0
2016-09-19,10685.0
2016-09-20,10710.0
2016-09-21,10845.0
2016-09-22,11015.0
2016-09-23,11010.0
2016-09-26,10950.0
2016-09-27,11105.0
2016-09-28,11035.0
2016-09-29,11195.0
2016-09-30,10940.0
2016-10-04,11070.0
2016-10-05,11080.0
2016-10-06,11225.0
2016-10-07,11140.0
2016-10-10,11195.0
2016-10-11,10860.0
2016-10-12,10860.0
2016-10-13,10655.0
2016-10-14,10760.0
2016-10-17,10795.0
2016-10-18,10950.0
2016-10-19,10960.0
2016-10-20,10985.0
2016-10-21,10890.0
2016-10-24,11045.0
2016-10-25,11005.0
2016-10-26,10740.0
2016-10-27,10850.0
2016-10-28,10840.0
2016-10-31,10795.0
2016-11-01,10800.0
2016-11-02,10535.0
2016-11-03,10580.0
2016-11-04,10520.0
2016-11-07,10710.0
2016-11-08,10745.0
2016-11-09,10295.0
2016-11-10,10700.0
2016-11-11,10495.0
2016-11-14,10340.0
2016-11-15,10255.0
2016-11-16,10335.0
2016-11-17,10310.0
2016-11-18,10320.0
2016-11-21,10255.0
2016-11-22,10495.0
2016-11-23,10565.0
2016-11-24,10460.0
2016-11-25,10470.0
2016-11-28,10535.0
2016-11-29,10535.0
2016-11-30,10640.0
2016-12-01,10650.0
2016-12-02,10510.0
2016-12-05,10480.0
2016-12-06,10715.0
2016-12-07,10775.0
2016-12-08,11115.0
2016-12-09,11145.0
2016-12-12,11125.0
2016-12-13,11175.0
2016-12-14,11195.0
2016-12-15,11200.0
2016-12-16,11240.0
2016-12-19,11245.0
2016-12-20,11300.0
2016-12-21,11265.0
2016-12-22,11255.0
2016-12-23,11225.0
2016-12-26,11240.0
2016-12-27,11260.0
2016-12-28,11355.0
2016-12-29,11365.0
2017-01-02,11440.0
2017-01-03,11625.0
2017-01-04,11645.0
2017-01-05,11580.0
2017-01-06,11675.0
2017-01-09,11735.0
2017-01-10,11705.0
2017-01-11,12135.0
2017-01-12,12190.0
2017-01-13,12130.0
2017-01-16,11985.0
2017-01-17,12070.0
2017-01-18,12060.0
2017-01-19,12085.0
2017-01-20,12030.0
2017-01-23,12010.0
2017-01-24,12035.0
2017-01-25,12115.0
2017-01-26,12320.0
2017-01-31,12170.0
2017-02-01,12255.0
2017-02-02,12140.0
2017-02-03,12175.0
2017-02-06,12230.0
2017-02-07,12180.0
2017-02-08,12075.0
2017-02-09,12100.0
2017-02-10,12155.0
2017-02-13,12155.0
2017-02-14,12100.0
2017-02-15,12165.0
2017-02-16,12160.0
2017-02-17,12160.0
2017-02-20,12235.0
2017-02-21,12455.0
2017-02-22,12505.0
2017-02-23,12510.0
2017-02-24,12315.0
2017-02-27,12225.0
2017-02-28,12255.0
2017-03-02,12475.0
2017-03-03,12235.0
2017-03-06,12270.0
2017-03-07,12400.0
2017-03-08,12440.0
2017-03-09,12385.0
2017-03-10,12435.0
2017-03-13,12700.0
2017-03-14,12920.0
2017-03-15,12950.0
2017-03-16,13135.0
2017-03-17,13265.0
2017-03-20,13230.0
2017-03-21,13475.0
2017-03-22,13370.0
2017-03-23,13410.0
2017-03-24,13365.0
2017-03-27,13195.0
2017-03-28,13265.0
2017-03-29,13330.0
2017-03-30,13310.0
2017-03-31,13265.0
2017-04-03,13325.0
2017-04-04,13255.0
2017-04-05,13210.0
2017-04-06,13095.0
2017-04-07,13065.0
2017-04-10,12905.0
2017-04-11,12790.0
2017-04-12,12805.0
2017-04-13,13055.0
2017-04-14,12930.0
2017-04-17,13000.0
2017-04-18,12995.0
2017-04-19,12870.0
2017-04-20,12955.0
2017-04-21,13195.0
2017-04-24,13320.0
2017-04-25,13600.0
2017-04-26,13750.0
2017-04-27,13815.0
2017-04-28,13825.0
2017-05-02,14055.0
2017-05-04,14335.0
2017-05-08,15070.0
2017-05-10,14765.0
2017-05-11,15080.0
2017-05-12,14940.0
2017-05-15,15030.0
2017-05-16,15070.0
2017-05-17,15040.0
2017-05-18,14975.0
2017-05-19,14920.0
2017-05-22,15135.0
2017-05-23,15225.0
2017-05-24,15275.0
2017-05-25,15635.0
2017-05-26,15820.0
2017-05-29,15780.0
2017-05-30,15575.0
2017-05-31,15585.0
2017-06-01,15495.0
2017-06-02,15875.0
2017-06-05,15820.0
2017-06-07,15640.0
2017-06-08,15775.0
2017-06-09,16010.0
2017-06-12,15685.0
2017-06-13,15895.0
2017-06-14,15870.0
2017-06-15,15735.0
2017-06-16,15755.0
2017-06-19,15925.0
2017-06-20,15990.0
2017-06-21,15795.0
2017-06-22,16000.0
2017-06-23,16080.0
2017-06-26,16250.0
2017-06-27,16245.0
2017-06-28,16160.0
2017-06-29,16360.0
2017-06-30,16275.0
2017-07-03,16325.0
2017-07-04,16160.0
2017-07-05,16280.0
2017-07-06,16270.0
2017-07-07,16155.0
2017-07-10,16245.0
2017-07-11,16440.0
2017-07-12,16420.0
2017-07-13,16780.0
2017-07-14,16810.0
2017-07-17,16960.0
2017-07-18,16970.0
2017-07-19,16995.0
2017-07-20,17170.0
2017-07-21,17295.0
2017-07-24,17320.0
2017-07-25,17215.0
2017-07-26,17080.0
2017-07-27,17175.0
2017-07-28,16515.0
2017-07-31,16525.0
2017-08-01,16800.0
2017-08-02,16870.0
2017-08-03,16295.0
2017-08-04,16445.0
2017-08-07,16465.0
2017-08-08,16405.0
2017-08-09,16020.0
2017-08-10,15855.0
2017-08-11,15285.0
2017-08-14,15545.0
2017-08-16,15720.0
2017-08-17,15910.0
2017-08-18,15865.0
2017-08-21,15810.0
2017-08-22,15955.0
2017-08-23,15960.0
2017-08-24,16100.0
2017-08-25,16135.0
2017-08-28,15955.0
2017-08-29,15860.0
2017-08-30,15970.0
2017-08-31,15785.0
2017-09-01,15755.0
2017-09-04,15425.0
2017-09-05,15390.0
2017-09-06,15320.0
2017-09-07,15705.0
2017-09-08,15725.0
2017-09-11,16000.0
2017-09-12,16015.0
2017-09-13,16005.0
2017-09-14,16155.0
2017-09-15,16300.0
2017-09-18,16820.0
2017-09-19,16795.0
2017-09-20,16790.0
2017-09-21,16795.0
2017-09-22,16585.0
2017-09-25,16575.0
2017-09-26,16405.0
2017-09-27,16340.0
2017-09-28,16375.0
2017-09-29,16605.0
2017-10-10,17205.0
2017-10-11,17520.0
2017-10-12,17750.0
2017-10-13,17715.0
2017-10-16,17805.0
2017-10-17,17860.0
2017-10-18,17830.0
2017-10-19,17685.0
2017-10-20,17865.0
2017-10-23,17955.0
2017-10-24,17940.0
2017-10-25,17930.0
2017-10-26,17700.0
2017-10-27,17925.0
2017-10-30,18015.0
2017-10-31,18405.0
2017-11-01,18965.0
2017-11-02,18860.0
2017-11-03,18960.0
2017-11-06,18790.0
2017-11-07,18745.0
2017-11-08,18875.0
2017-11-09,18780.0
2017-11-10,18635.0
2017-11-13,18480.0
2017-11-14,18425.0
2017-11-15,18255.0
2017-11-16,18470.0
2017-11-17,18460.0
2017-11-20,18280.0
2017-11-21,18385.0
2017-11-22,18560.0
2017-11-23,18485.0
2017-11-24,18550.0
2017-11-27,17920.0
2017-11-28,18035.0
2017-11-29,18035.0
2017-11-30,17395.0
2017-12-01,17425.0
2017-12-04,17750.0
2017-12-05,17875.0
2017-12-06,17370.0
2017-12-07,17265.0
2017-12-08,17335.0
2017-12-11,17380.0
2017-12-12,17250.0
2017-12-13,17500.0
2017-12-14,17610.0
2017-12-15,17520.0
2017-12-18,17585.0
2017-12-19,17585.0
2017-12-20,17520.0
2017-12-21,16840.0
2017-12-22,16985.0
2017-12-26,16850.0
2017-12-27,17200.0
2017-12-28,17650.0
2018-01-02,17800.0
2018-01-03,17925.0
2018-01-04,17665.0
2018-01-05,18110.0
2018-01-08,18360.0
2018-01-09,18255.0
2018-01-10,17990.0
2018-01-11,17815.0
2018-01-12,17890.0
2018-01-15,17955.0
2018-01-16,18250.0
2018-01-17,18145.0
2018-01-18,18140.0
2018-01-19,18175.0
2018-01-22,17805.0
2018-01-23,18295.0
2018-01-24,18355.0
2018-01-25,18690.0
2018-01-26,18805.0
2018-01-29,19095.0
2018-01-30,18605.0
2018-01-31,18680.0
2018-02-01,18610.0
2018-02-02,17905.0
2018-02-05,17495.0
2018-02-06,16945.0
2018-02-07,16120.0
