Date,KODEX 보험
2015-12-08,8790.0
2015-12-09,8905.0
2015-12-10,8905.0
2015-12-11,8880.0
2015-12-14,8795.0
2015-12-15,8910.0
2015-12-16,9155.0
2015-12-17,9150.0
2015-12-18,9160.0
2015-12-21,9135.0
2015-12-22,9220.0
2015-12-23,9305.0
2015-12-24,9355.0
2015-12-28,9295.0
2015-12-29,9350.0
2015-12-30,9405.0
2016-01-04,9240.0
2016-01-05,9215.0
2016-01-06,9125.0
2016-01-07,8995.0
2016-01-08,9100.0
2016-01-11,8925.0
2016-01-12,9015.0
2016-01-13,9180.0
2016-01-14,9105.0
2016-01-15,9120.0
2016-01-18,8935.0
2016-01-19,8840.0
2016-01-20,8640.0
2016-01-21,8525.0
2016-01-22,8645.0
2016-01-25,8585.0
2016-01-26,8500.0
2016-01-27,8520.0
2016-01-28,8915.0
2016-01-29,9015.0
2016-02-01,9155.0
2016-02-02,9135.0
2016-02-03,9050.0
2016-02-04,9145.0
2016-02-05,9175.0
2016-02-11,9115.0
2016-02-12,9105.0
2016-02-15,9050.0
2016-02-16,9155.0
2016-02-17,9050.0
2016-02-18,9120.0
2016-02-19,9000.0
2016-02-22,8965.0
2016-02-23,8930.0
2016-02-24,8950.0
2016-02-25,8950.0
2016-02-26,8965.0
2016-02-29,9020.0
2016-03-02,9140.0
2016-03-03,9175.0
2016-03-04,9195.0
2016-03-07,9250.0
2016-03-08,9345.0
2016-03-09,9275.0
2016-03-10,9275.0
2016-03-11,9075.0
2016-03-14,9245.0
2016-03-15,9200.0
2016-03-16,9290.0
2016-03-17,9315.0
2016-03-18,9215.0
2016-03-21,9210.0
2016-03-22,9195.0
2016-03-23,9305.0
2016-03-24,9310.0
2016-03-25,9340.0
2016-03-28,9350.0
2016-03-29,9330.0
2016-03-30,9345.0
2016-03-31,9405.0
2016-04-01,9395.0
2016-04-04,9330.0
2016-04-05,9285.0
2016-04-06,9315.0
2016-04-07,9295.0
2016-04-08,9255.0
2016-04-11,9145.0
2016-04-12,9165.0
2016-04-14,9400.0
2016-04-15,9410.0
2016-04-18,9015.0
2016-04-19,9195.0
2016-04-20,9050.0
2016-04-21,9140.0
2016-04-22,9210.0
2016-04-25,9165.0
2016-04-26,9065.0
2016-04-27,9165.0
2016-04-28,8910.0
2016-04-29,8885.0
2016-05-02,8850.0
2016-05-03,8800.0
2016-05-04,8830.0
2016-05-09,8745.0
2016-05-10,8790.0
2016-05-11,8775.0
2016-05-12,8755.0
2016-05-13,8670.0
