Date,KINDEX 미국다우존스리츠(합성 H)
2017-08-03,68145.0
2017-08-04,67990.0
2017-08-07,68000.0
2017-08-08,68150.0
2017-08-09,67800.0
2017-08-10,67720.0
2017-08-11,66980.0
2017-08-14,66620.0
2017-08-16,67705.0
2017-08-17,67770.0
2017-08-18,67285.0
2017-08-21,66985.0
2017-08-22,67435.0
2017-08-23,67395.0
2017-08-24,67935.0
2017-08-25,68060.0
2017-08-28,68340.0
2017-08-29,68020.0
2017-08-30,67895.0
2017-08-31,68095.0
2017-09-01,68730.0
2017-09-04,68475.0
2017-09-05,68635.0
2017-09-06,68605.0
2017-09-07,68720.0
2017-09-08,69150.0
2017-09-11,68940.0
2017-09-12,69685.0
2017-09-13,69005.0
2017-09-14,68740.0
2017-09-15,68970.0
2017-09-18,69170.0
2017-09-19,69080.0
2017-09-20,68525.0
2017-09-21,68340.0
2017-09-22,68145.0
2017-09-25,67560.0
2017-09-26,68095.0
2017-09-27,68110.0
2017-09-28,67600.0
2017-09-29,68090.0
2017-10-10,68490.0
2017-10-11,68710.0
2017-10-12,69005.0
2017-10-13,69430.0
2017-10-16,69350.0
2017-10-17,69240.0
2017-10-18,69330.0
2017-10-19,69240.0
2017-10-20,69000.0
2017-10-23,68955.0
2017-10-24,68605.0
2017-10-25,68255.0
2017-10-26,68005.0
2017-10-27,67600.0
2017-10-30,67905.0
2017-10-31,68040.0
2017-11-01,68020.0
2017-11-02,68225.0
2017-11-03,68600.0
2017-11-06,68560.0
2017-11-07,69190.0
2017-11-08,69695.0
2017-11-09,70125.0
2017-11-10,70100.0
2017-11-13,70110.0
2017-11-14,70570.0
2017-11-15,70300.0
2017-11-16,69920.0
2017-11-17,70045.0
2017-11-20,69810.0
2017-11-21,69830.0
2017-11-22,70145.0
2017-11-23,70000.0
2017-11-24,70115.0
2017-11-27,70280.0
2017-11-28,70020.0
2017-11-29,69835.0
2017-11-30,69755.0
2017-12-01,69820.0
2017-12-04,69955.0
2017-12-05,69395.0
2017-12-06,68830.0
2017-12-07,69010.0
2017-12-08,69305.0
2017-12-11,69305.0
2017-12-12,69365.0
2017-12-13,69850.0
2017-12-14,69940.0
2017-12-15,69935.0
2017-12-18,70275.0
2017-12-19,70410.0
2017-12-20,69240.0
2017-12-21,68350.0
2017-12-22,68360.0
2017-12-26,68590.0
2017-12-27,69115.0
2017-12-28,69175.0
2018-01-02,69720.0
2018-01-03,69370.0
2018-01-04,69295.0
2018-01-05,68210.0
2018-01-08,68345.0
2018-01-09,68700.0
2018-01-10,67930.0
2018-01-11,67045.0
2018-01-12,66820.0
2018-01-15,66330.0
2018-01-16,66385.0
2018-01-17,66515.0
2018-01-18,67000.0
2018-01-19,66155.0
2018-01-22,66650.0
2018-01-23,67395.0
2018-01-24,68175.0
2018-01-25,67845.0
2018-01-26,67735.0
2018-01-29,67970.0
2018-01-30,66705.0
2018-01-31,66435.0
2018-02-01,67340.0
2018-02-02,66510.0
2018-02-05,65815.0
