Date,KODEX 국고채3년
2016-11-17,55435.0
2016-11-18,55525.0
2016-11-21,55495.0
2016-11-22,55535.0
2016-11-23,55455.0
2016-11-24,55375.0
2016-11-25,55360.0
2016-11-28,55415.0
2016-11-29,55510.0
2016-11-30,55550.0
2016-12-01,55490.0
2016-12-02,55495.0
2016-12-05,55500.0
2016-12-06,55505.0
2016-12-07,55510.0
2016-12-08,55585.0
2016-12-09,55475.0
2016-12-12,55220.0
2016-12-13,55320.0
2016-12-14,55390.0
2016-12-15,55340.0
2016-12-16,55350.0
2016-12-19,55375.0
2016-12-20,55355.0
2016-12-21,55380.0
2016-12-22,55410.0
2016-12-23,55440.0
2016-12-26,55430.0
2016-12-27,55390.0
2016-12-28,55455.0
2016-12-29,55525.0
2017-01-02,55525.0
2017-01-03,55515.0
2017-01-04,55495.0
2017-01-05,55545.0
2017-01-06,55540.0
2017-01-09,55470.0
2017-01-10,55475.0
2017-01-11,55515.0
2017-01-12,55515.0
2017-01-13,55490.0
2017-01-16,55510.0
2017-01-17,55535.0
2017-01-18,55495.0
2017-01-19,55460.0
2017-01-20,55470.0
2017-01-23,55520.0
2017-01-24,55525.0
2017-01-25,55520.0
2017-01-26,55440.0
2017-01-31,55495.0
2017-02-01,55475.0
2017-02-02,55505.0
2017-02-03,55475.0
2017-02-06,55495.0
2017-02-07,55535.0
2017-02-08,55520.0
2017-02-09,55585.0
2017-02-10,55520.0
2017-02-13,55550.0
2017-02-14,55525.0
2017-02-15,55530.0
2017-02-16,55540.0
2017-02-17,55570.0
2017-02-20,55545.0
2017-02-21,55540.0
2017-02-22,55460.0
2017-02-23,55500.0
2017-02-24,55530.0
2017-02-27,55550.0
2017-02-28,55570.0
2017-03-02,55525.0
2017-03-03,55500.0
2017-03-06,55485.0
2017-03-07,55455.0
2017-03-08,55445.0
2017-03-09,55435.0
2017-03-10,55400.0
2017-03-13,55330.0
2017-03-14,55375.0
2017-03-15,55325.0
2017-03-16,55465.0
2017-03-17,55550.0
2017-03-20,55525.0
2017-03-21,55575.0
2017-03-22,55540.0
2017-03-23,55580.0
2017-03-24,55520.0
2017-03-27,55600.0
2017-03-28,55560.0
2017-03-29,55570.0
2017-03-30,55600.0
2017-03-31,55605.0
2017-04-03,55575.0
2017-04-04,55645.0
2017-04-05,55630.0
2017-04-06,55620.0
2017-04-07,55585.0
2017-04-10,55530.0
2017-04-11,55560.0
2017-04-12,55560.0
2017-04-13,55600.0
2017-04-14,55650.0
2017-04-17,55640.0
2017-04-18,55600.0
2017-04-19,55675.0
2017-04-20,55645.0
2017-04-21,55600.0
2017-04-24,55530.0
2017-04-25,55625.0
2017-04-26,55620.0
2017-04-27,55620.0
2017-04-28,55640.0
2017-05-02,55595.0
2017-05-04,55615.0
2017-05-08,55620.0
2017-05-10,55555.0
2017-05-11,55550.0
2017-05-12,55605.0
2017-05-15,55625.0
2017-05-16,55580.0
2017-05-17,55615.0
2017-05-18,55670.0
2017-05-19,55655.0
2017-05-22,55670.0
2017-05-23,55675.0
2017-05-24,55635.0
2017-05-25,55680.0
2017-05-26,55705.0
2017-05-29,55675.0
2017-05-30,55710.0
2017-05-31,55760.0
2017-06-01,55745.0
2017-06-02,55740.0
2017-06-05,55815.0
2017-06-07,55765.0
2017-06-08,55760.0
2017-06-09,55780.0
2017-06-12,55465.0
2017-06-13,55535.0
2017-06-14,55540.0
2017-06-15,55550.0
2017-06-16,55530.0
2017-06-19,55525.0
2017-06-20,55515.0
2017-06-21,55535.0
2017-06-22,55515.0
2017-06-23,55520.0
2017-06-26,55545.0
2017-06-27,55545.0
2017-06-28,55485.0
2017-06-29,55495.0
2017-06-30,55510.0
2017-07-03,55500.0
2017-07-04,55435.0
2017-07-05,55455.0
2017-07-06,55455.0
2017-07-07,55410.0
2017-07-10,55455.0
2017-07-11,55430.0
2017-07-12,55470.0
2017-07-13,55500.0
2017-07-14,55510.0
2017-07-17,55490.0
2017-07-18,55475.0
2017-07-19,55475.0
2017-07-20,55515.0
2017-07-21,55545.0
2017-07-24,55525.0
2017-07-25,55550.0
2017-07-26,55535.0
2017-07-27,55560.0
2017-07-28,55570.0
2017-07-31,55570.0
2017-08-01,55525.0
2017-08-02,55560.0
2017-08-03,55570.0
2017-08-04,55530.0
2017-08-07,55530.0
2017-08-08,55485.0
2017-08-09,55445.0
2017-08-10,55390.0
2017-08-11,55490.0
2017-08-14,55440.0
2017-08-16,55460.0
2017-08-17,55490.0
2017-08-18,55520.0
2017-08-21,55515.0
2017-08-22,55500.0
2017-08-23,55495.0
2017-08-24,55510.0
2017-08-25,55540.0
2017-08-28,55570.0
2017-08-29,55560.0
2017-08-30,55550.0
2017-08-31,55610.0
2017-09-01,55605.0
2017-09-04,55495.0
2017-09-05,55570.0
2017-09-06,55550.0
2017-09-07,55565.0
2017-09-08,55610.0
2017-09-11,55630.0
2017-09-12,55460.0
2017-09-13,55450.0
2017-09-14,55460.0
2017-09-15,55490.0
2017-09-18,55490.0
2017-09-19,55425.0
2017-09-20,55430.0
2017-09-21,55445.0
2017-09-22,55435.0
2017-09-25,55450.0
2017-09-26,55390.0
2017-09-27,55285.0
2017-09-28,55305.0
2017-09-29,55320.0
2017-10-10,55230.0
2017-10-11,55240.0
2017-10-12,55280.0
2017-10-13,55280.0
2017-10-16,55300.0
2017-10-17,55280.0
2017-10-18,55260.0
2017-10-19,55255.0
2017-10-20,55150.0
2017-10-23,55080.0
2017-10-24,55050.0
2017-10-25,55040.0
2017-10-26,54920.0
2017-10-27,54905.0
2017-10-30,54980.0
2017-10-31,54975.0
2017-11-01,54950.0
2017-11-02,54985.0
2017-11-03,55020.0
