Date,TIGER 200 건설
2018-04-05,2700.0
2018-04-06,2740.0
2018-04-09,2810.0
2018-04-10,2820.0
2018-04-11,2810.0
2018-04-12,2830.0
2018-04-13,2820.0
2018-04-16,2805.0
2018-04-17,2785.0
2018-04-18,2890.0
2018-04-19,3035.0
2018-04-20,3050.0
2018-04-23,3040.0
2018-04-24,3090.0
2018-04-25,3025.0
2018-04-26,3065.0
2018-04-27,2990.0
2018-04-30,3265.0
2018-05-02,3245.0
2018-05-03,3200.0
2018-05-04,3310.0
2018-05-08,3210.0
2018-05-09,3190.0
2018-05-10,3235.0
2018-05-11,3260.0
2018-05-14,3500.0
2018-05-15,3505.0
2018-05-16,3355.0
2018-05-17,3395.0
2018-05-18,3445.0
2018-05-21,3390.0
2018-05-23,3370.0
2018-05-24,3335.0
2018-05-25,3185.0
2018-05-28,3580.0
2018-05-29,3435.0
2018-05-30,3400.0
2018-05-31,3410.0
2018-06-01,3315.0
2018-06-04,3280.0
2018-06-05,3345.0
2018-06-07,3300.0
2018-06-08,3250.0
2018-06-11,3415.0
2018-06-12,3305.0
2018-06-14,3160.0
2018-06-15,3135.0
2018-06-18,3040.0
2018-06-19,2915.0
2018-06-20,3000.0
2018-06-21,2970.0
2018-06-22,3015.0
2018-06-25,3075.0
2018-06-26,3000.0
2018-06-27,2895.0
2018-06-28,2845.0
2018-06-29,2925.0
2018-07-02,2795.0
2018-07-03,2825.0
2018-07-04,2860.0
2018-07-05,2805.0
2018-07-06,2890.0
2018-07-09,2815.0
2018-07-10,2820.0
2018-07-11,2850.0
2018-07-12,2805.0
2018-07-13,2845.0
2018-07-16,2810.0
2018-07-17,2800.0
2018-07-18,2690.0
2018-07-19,2695.0
2018-07-20,2735.0
2018-07-23,2720.0
2018-07-24,2845.0
2018-07-25,2905.0
2018-07-26,2870.0
2018-07-27,2875.0
2018-07-30,2950.0
2018-07-31,2965.0
2018-08-01,2955.0
2018-08-02,2935.0
2018-08-03,2980.0
2018-08-06,2930.0
2018-08-07,2940.0
2018-08-08,2920.0
2018-08-09,2915.0
2018-08-10,2950.0
2018-08-13,2885.0
2018-08-14,2950.0
2018-08-16,2940.0
2018-08-17,2920.0
2018-08-20,2945.0
2018-08-21,2955.0
