Date,KOSEF 단기자금
2016-08-29,101535.0
2016-08-30,101535.0
2016-08-31,101535.0
2016-09-01,101550.0
2016-09-02,101555.0
2016-09-05,101555.0
2016-09-06,101560.0
2016-09-07,101570.0
2016-09-08,101580.0
2016-09-09,101575.0
2016-09-12,101580.0
2016-09-13,101585.0
2016-09-19,101585.0
2016-09-20,101595.0
2016-09-21,101590.0
2016-09-22,101605.0
2016-09-23,101615.0
2016-09-26,101610.0
2016-09-27,101610.0
2016-09-28,101605.0
2016-09-29,101620.0
2016-09-30,101640.0
2016-10-04,101635.0
2016-10-05,101635.0
2016-10-06,101645.0
2016-10-07,101650.0
2016-10-10,101645.0
2016-10-11,101635.0
2016-10-12,101640.0
2016-10-13,101665.0
2016-10-14,101660.0
2016-10-17,101665.0
2016-10-18,101660.0
2016-10-19,101665.0
2016-10-20,101675.0
2016-10-21,101670.0
2016-10-24,101670.0
2016-10-25,101665.0
2016-10-26,101665.0
2016-10-27,101670.0
2016-10-28,101680.0
2016-10-31,101680.0
2016-11-01,101685.0
2016-11-02,101695.0
2016-11-03,101705.0
2016-11-04,101710.0
2016-11-07,101710.0
2016-11-08,101710.0
2016-11-09,101725.0
2016-11-10,101745.0
2016-11-11,101730.0
2016-11-14,101715.0
2016-11-15,101705.0
2016-11-16,101705.0
2016-11-17,101700.0
2016-11-18,101700.0
2016-11-21,101680.0
2016-11-22,101695.0
2016-11-23,101685.0
2016-11-24,101695.0
2016-11-25,101670.0
2016-11-28,101685.0
2016-11-29,101695.0
2016-11-30,101705.0
2016-12-01,101715.0
2016-12-02,101730.0
2016-12-05,101755.0
2016-12-06,101765.0
2016-12-07,101775.0
2016-12-08,101785.0
2016-12-09,101795.0
2016-12-12,101805.0
2016-12-13,101810.0
2016-12-14,101835.0
2016-12-15,101835.0
2016-12-16,101830.0
2016-12-19,101835.0
2016-12-20,101855.0
2016-12-21,101845.0
2016-12-22,101855.0
2016-12-23,101860.0
2016-12-26,101855.0
2016-12-27,101860.0
2016-12-28,100585.0
2016-12-29,100595.0
2017-01-02,100615.0
2017-01-03,100625.0
2017-01-04,100635.0
2017-01-05,100660.0
2017-01-06,100665.0
2017-01-09,100665.0
2017-01-10,100670.0
2017-01-11,100670.0
2017-01-12,100680.0
2017-01-13,100690.0
2017-01-16,100695.0
2017-01-17,100705.0
2017-01-18,100705.0
2017-01-19,100715.0
2017-01-20,100720.0
2017-01-23,100725.0
2017-01-24,100725.0
2017-01-25,100740.0
2017-01-26,100740.0
2017-01-31,100735.0
2017-02-01,100755.0
2017-02-02,100775.0
2017-02-03,100770.0
2017-02-06,100785.0
2017-02-07,100795.0
2017-02-08,100795.0
2017-02-09,100810.0
2017-02-10,100810.0
2017-02-13,100815.0
2017-02-14,100825.0
2017-02-15,100820.0
2017-02-16,100835.0
2017-02-17,100840.0
2017-02-20,100840.0
2017-02-21,100850.0
2017-02-22,100850.0
2017-02-23,100855.0
2017-02-24,100855.0
2017-02-27,100860.0
2017-02-28,100860.0
2017-03-02,100875.0
2017-03-03,100880.0
2017-03-06,100880.0
2017-03-07,100880.0
2017-03-08,100875.0
2017-03-09,100890.0
2017-03-10,100885.0
2017-03-13,100895.0
2017-03-14,100900.0
2017-03-15,100905.0
2017-03-16,100915.0
2017-03-17,100920.0
2017-03-20,100925.0
2017-03-21,100930.0
2017-03-22,100930.0
2017-03-23,100940.0
2017-03-24,100940.0
2017-03-27,100950.0
2017-03-28,100950.0
2017-03-29,100960.0
2017-03-30,100965.0
2017-03-31,100980.0
2017-04-03,100985.0
2017-04-04,100990.0
2017-04-05,100995.0
2017-04-06,101010.0
2017-04-07,101015.0
2017-04-10,101020.0
2017-04-11,101030.0
2017-04-12,101025.0
2017-04-13,101045.0
2017-04-14,101040.0
2017-04-17,101045.0
2017-04-18,101040.0
2017-04-19,101055.0
2017-04-20,101055.0
2017-04-21,101055.0
2017-04-24,101065.0
2017-04-25,101075.0
2017-04-26,101075.0
2017-04-27,101095.0
2017-04-28,101105.0
2017-05-02,101120.0
2017-05-04,101135.0
2017-05-08,101140.0
2017-05-10,101145.0
2017-05-11,101155.0
2017-05-12,101150.0
2017-05-15,101175.0
2017-05-16,101170.0
2017-05-17,101185.0
2017-05-18,101190.0
2017-05-19,101200.0
2017-05-22,101200.0
2017-05-23,101200.0
2017-05-24,101210.0
2017-05-25,101215.0
2017-05-26,101220.0
2017-05-29,101225.0
2017-05-30,101220.0
2017-05-31,101225.0
2017-06-01,101245.0
2017-06-02,101240.0
2017-06-05,101250.0
2017-06-07,101250.0
2017-06-08,101260.0
2017-06-09,101265.0
2017-06-12,101260.0
2017-06-13,101265.0
2017-06-14,101275.0
2017-06-15,101285.0
2017-06-16,101285.0
2017-06-19,101290.0
2017-06-20,101300.0
2017-06-21,101295.0
2017-06-22,101310.0
2017-06-23,101305.0
2017-06-26,101305.0
2017-06-27,101305.0
2017-06-28,101315.0
2017-06-29,101320.0
2017-06-30,101325.0
2017-07-03,101340.0
2017-07-04,101340.0
2017-07-05,101350.0
2017-07-06,101360.0
2017-07-07,101365.0
2017-07-10,101375.0
2017-07-11,101380.0
2017-07-12,101375.0
2017-07-13,101385.0
2017-07-14,101395.0
2017-07-17,101395.0
2017-07-18,101395.0
2017-07-19,101405.0
2017-07-20,101420.0
2017-07-21,101420.0
2017-07-24,101425.0
2017-07-25,101420.0
2017-07-26,101430.0
2017-07-27,101440.0
2017-07-28,101445.0
2017-07-31,101445.0
2017-08-01,101450.0
2017-08-02,101460.0
2017-08-03,101470.0
2017-08-04,101470.0
2017-08-07,101470.0
2017-08-08,101475.0
2017-08-09,101470.0
2017-08-10,101475.0
2017-08-11,101475.0
2017-08-14,101470.0
2017-08-16,101470.0
2017-08-17,101480.0
2017-08-18,101485.0
2017-08-21,101490.0
2017-08-22,101490.0
2017-08-23,101505.0
2017-08-24,101510.0
2017-08-25,101520.0
2017-08-28,101525.0
2017-08-29,101525.0
2017-08-30,101530.0
2017-08-31,101545.0
2017-09-01,101550.0
2017-09-04,101560.0
2017-09-05,101565.0
2017-09-06,101570.0
2017-09-07,101585.0
2017-09-08,101580.0
2017-09-11,101590.0
2017-09-12,101590.0
2017-09-13,101595.0
2017-09-14,101595.0
2017-09-15,101605.0
2017-09-18,101605.0
2017-09-19,101600.0
2017-09-20,101610.0
2017-09-21,101615.0
2017-09-22,101620.0
2017-09-25,101625.0
2017-09-26,101620.0
2017-09-27,101615.0
2017-09-28,101640.0
2017-09-29,101655.0
2017-10-10,101650.0
2017-10-11,101655.0
2017-10-12,101660.0
2017-10-13,101660.0
2017-10-16,101675.0
2017-10-17,101665.0
2017-10-18,101665.0
2017-10-19,101655.0
2017-10-20,101615.0
2017-10-23,101630.0
2017-10-24,101650.0
2017-10-25,101650.0
2017-10-26,101655.0
2017-10-27,101650.0
2017-10-30,101640.0
2017-10-31,101645.0
2017-11-01,101650.0
2017-11-02,101665.0
2017-11-03,101660.0
2017-11-06,101680.0
2017-11-07,101690.0
2017-11-08,101695.0
2017-11-09,101715.0
2017-11-10,101710.0
2017-11-13,101715.0
2017-11-14,101710.0
2017-11-15,101720.0
2017-11-16,101715.0
2017-11-17,101725.0
2017-11-20,101725.0
2017-11-21,101730.0
2017-11-22,101735.0
2017-11-23,101745.0
2017-11-24,101750.0
2017-11-27,101750.0
2017-11-28,101755.0
2017-11-29,101765.0
2017-11-30,101785.0
2017-12-01,101790.0
2017-12-04,101800.0
2017-12-05,101805.0
2017-12-06,101810.0
2017-12-07,101825.0
2017-12-08,101840.0
2017-12-11,101845.0
2017-12-12,101860.0
2017-12-13,101860.0
2017-12-14,101870.0
2017-12-15,101870.0
2017-12-18,101870.0
2017-12-19,101870.0
2017-12-20,101875.0
2017-12-21,101890.0
2017-12-22,101890.0
2017-12-26,101895.0
2017-12-27,100620.0
2017-12-28,100625.0
2018-01-02,100655.0
2018-01-03,100650.0
2018-01-04,100670.0
2018-01-05,100685.0
2018-01-08,100685.0
2018-01-09,100700.0
2018-01-10,100700.0
2018-01-11,100720.0
2018-01-12,100725.0
2018-01-15,100720.0
2018-01-16,100725.0
2018-01-17,100730.0
2018-01-18,100750.0
2018-01-19,100760.0
2018-01-22,100765.0
2018-01-23,100770.0
2018-01-24,100775.0
2018-01-25,100795.0
2018-01-26,100795.0
2018-01-29,100795.0
2018-01-30,100790.0
2018-01-31,100795.0
2018-02-01,100810.0
2018-02-02,100825.0
2018-02-05,100820.0
2018-02-06,100825.0
2018-02-07,100835.0
2018-02-08,100855.0
2018-02-09,100845.0
2018-02-12,100850.0
2018-02-13,100870.0
2018-02-14,100875.0
2018-02-19,100875.0
2018-02-20,100885.0
2018-02-21,100885.0
2018-02-22,100895.0
2018-02-23,100910.0
2018-02-26,100915.0
2018-02-27,100925.0
2018-02-28,100930.0
2018-03-02,100935.0
2018-03-05,100940.0
2018-03-06,100940.0
2018-03-07,100950.0
2018-03-08,100950.0
2018-03-09,100955.0
2018-03-12,100960.0
2018-03-13,100965.0
2018-03-14,100965.0
2018-03-15,100980.0
2018-03-16,100990.0
2018-03-19,100985.0
2018-03-20,100995.0
2018-03-21,100990.0
2018-03-22,101010.0
2018-03-23,101015.0
2018-03-26,101025.0
2018-03-27,101020.0
2018-03-28,101035.0
2018-03-29,101050.0
2018-03-30,101055.0
2018-04-02,101055.0
2018-04-03,101065.0
2018-04-04,101075.0
2018-04-05,101095.0
2018-04-06,101105.0
2018-04-09,101115.0
2018-04-10,101120.0
2018-04-11,101125.0
2018-04-12,101140.0
2018-04-13,101140.0
2018-04-16,101150.0
2018-04-17,101155.0
2018-04-18,101155.0
2018-04-19,101175.0
2018-04-20,101185.0
2018-04-23,101180.0
2018-04-24,101185.0
2018-04-25,101195.0
2018-04-26,101200.0
2018-04-27,101215.0
2018-04-30,101225.0
2018-05-02,101240.0
2018-05-03,101250.0
2018-05-04,101255.0
2018-05-08,101250.0
2018-05-09,101250.0
2018-05-10,101270.0
2018-05-11,101275.0
2018-05-14,101270.0
2018-05-15,101275.0
2018-05-16,101285.0
2018-05-17,101300.0
2018-05-18,101315.0
2018-05-21,101325.0
2018-05-23,101325.0
2018-05-24,101345.0
2018-05-25,101345.0
2018-05-28,101350.0
2018-05-29,101355.0
2018-05-30,101360.0
2018-05-31,101370.0
2018-06-01,101375.0
2018-06-04,101390.0
2018-06-05,101400.0
2018-06-07,101415.0
2018-06-08,101420.0
2018-06-11,101420.0
2018-06-12,101430.0
2018-06-14,101440.0
2018-06-15,101435.0
2018-06-18,101445.0
2018-06-19,101445.0
2018-06-20,101450.0
2018-06-21,101460.0
2018-06-22,101465.0
2018-06-25,101470.0
2018-06-26,101475.0
2018-06-27,101480.0
2018-06-28,101500.0
2018-06-29,101500.0
2018-07-02,101505.0
2018-07-03,101510.0
2018-07-04,101530.0
2018-07-05,101545.0
2018-07-06,101550.0
2018-07-09,101555.0
2018-07-10,101560.0
2018-07-11,101570.0
2018-07-12,101580.0
2018-07-13,101580.0
2018-07-16,101585.0
2018-07-17,101595.0
