Date,KINDEX 200
2016-03-30,25055.0
2016-03-31,25025.0
2016-04-01,24600.0
2016-04-04,24620.0
2016-04-05,24430.0
2016-04-06,24575.0
2016-04-07,24550.0
2016-04-08,24540.0
2016-04-11,24560.0
2016-04-12,24730.0
2016-04-14,25220.0
2016-04-15,25225.0
2016-04-18,25140.0
2016-04-19,25170.0
2016-04-20,25105.0
2016-04-21,25285.0
2016-04-22,25195.0
2016-04-25,25145.0
2016-04-26,25230.0
2016-04-27,25215.0
2016-04-28,24620.0
2016-04-29,24490.0
2016-05-02,24310.0
2016-05-03,24385.0
2016-05-04,24220.0
2016-05-09,24190.0
2016-05-10,24310.0
2016-05-11,24305.0
2016-05-12,24215.0
2016-05-13,24025.0
2016-05-16,24070.0
2016-05-17,24055.0
2016-05-18,23895.0
2016-05-19,23875.0
2016-05-20,23870.0
2016-05-23,23925.0
2016-05-24,23750.0
2016-05-25,24090.0
2016-05-26,24045.0
2016-05-27,24175.0
2016-05-30,24140.0
2016-05-31,24400.0
2016-06-01,24315.0
2016-06-02,24365.0
2016-06-03,24400.0
2016-06-07,24740.0
2016-06-08,24990.0
2016-06-09,24955.0
2016-06-10,24875.0
2016-06-13,24405.0
2016-06-14,24300.0
2016-06-15,24270.0
2016-06-16,24105.0
2016-06-17,24150.0
2016-06-20,24475.0
2016-06-21,24465.0
2016-06-22,24590.0
2016-06-23,24615.0
2016-06-24,23835.0
2016-06-27,23865.0
2016-06-28,23940.0
2016-06-29,24225.0
2016-06-30,24450.0
2016-07-01,24605.0
2016-07-04,24695.0
2016-07-05,24650.0
2016-07-06,24195.0
2016-07-07,24425.0
2016-07-08,24310.0
2016-07-11,24675.0
2016-07-12,24695.0
2016-07-13,24845.0
2016-07-14,24935.0
2016-07-15,25015.0
2016-07-18,25070.0
2016-07-19,25035.0
2016-07-20,24975.0
2016-07-21,25010.0
2016-07-22,25000.0
2016-07-25,25000.0
2016-07-26,25215.0
2016-07-27,25220.0
2016-07-28,25155.0
2016-07-29,25200.0
2016-08-01,25350.0
