Date,파워 코스피100
2015-12-24,18470.0
2015-12-28,18200.0
2015-12-29,18395.0
2015-12-30,18345.0
2016-01-04,17905.0
2016-01-05,18000.0
2016-01-06,17835.0
2016-01-07,17620.0
2016-01-08,17730.0
2016-01-11,17525.0
2016-01-12,17515.0
2016-01-13,17730.0
2016-01-14,17585.0
2016-01-15,17390.0
2016-01-18,17355.0
2016-01-19,17460.0
2016-01-20,17040.0
2016-01-21,16980.0
2016-01-22,17360.0
2016-01-25,17465.0
2016-01-26,17230.0
2016-01-27,17530.0
2016-01-28,17570.0
2016-01-29,17615.0
2016-02-01,17715.0
2016-02-02,17520.0
2016-02-03,17345.0
2016-02-04,17670.0
2016-02-05,17715.0
2016-02-11,17250.0
2016-02-12,17110.0
2016-02-15,17405.0
2016-02-16,17625.0
2016-02-17,17680.0
2016-02-18,17880.0
2016-02-19,17940.0
2016-02-22,17875.0
2016-02-23,17890.0
2016-02-24,17880.0
2016-02-25,17910.0
2016-02-26,17885.0
2016-02-29,17900.0
2016-03-02,18150.0
2016-03-03,18250.0
2016-03-04,18275.0
2016-03-07,18300.0
2016-03-08,18165.0
2016-03-09,18230.0
2016-03-10,18315.0
2016-03-11,18450.0
2016-03-14,18480.0
2016-03-15,18410.0
2016-03-16,18480.0
2016-03-17,18550.0
2016-03-18,18630.0
2016-03-21,18580.0
2016-03-22,18665.0
2016-03-23,18665.0
2016-03-24,18580.0
2016-03-25,18560.0
2016-03-28,18540.0
2016-03-29,18640.0
2016-03-30,18730.0
2016-03-31,18780.0
2016-04-01,18485.0
2016-04-04,18450.0
2016-04-05,18300.0
2016-04-06,18370.0
2016-04-07,18370.0
2016-04-08,18380.0
2016-04-11,18410.0
2016-04-12,18520.0
2016-04-14,18945.0
2016-04-15,18920.0
2016-04-18,18850.0
2016-04-19,18855.0
2016-04-20,18875.0
2016-04-21,19025.0
2016-04-22,18945.0
2016-04-25,18910.0
2016-04-26,18975.0
2016-04-27,18980.0
2016-04-28,18460.0
2016-04-29,18405.0
2016-05-02,18275.0
2016-05-03,18320.0
