Date,TIGER 금은선물(H)
2017-03-21,7560.0
2017-03-22,7610.0
2017-03-23,7625.0
2017-03-24,7615.0
2017-03-27,7710.0
2017-03-28,7725.0
2017-03-29,7695.0
2017-03-30,7690.0
2017-03-31,7660.0
2017-04-03,7650.0
2017-04-04,7710.0
2017-04-05,7750.0
2017-04-06,7735.0
2017-04-07,7755.0
2017-04-10,7730.0
2017-04-11,7730.0
2017-04-12,7855.0
2017-04-13,7870.0
2017-04-14,7740.0
2017-04-17,7915.0
2017-04-18,7875.0
2017-04-19,7870.0
2017-04-20,7850.0
2017-04-21,7835.0
2017-04-24,7810.0
2017-04-25,7780.0
2017-04-26,7740.0
2017-04-27,7740.0
2017-04-28,7740.0
2017-05-02,7670.0
2017-05-04,7500.0
2017-05-08,7455.0
2017-05-10,7435.0
2017-05-11,7465.0
2017-05-12,7500.0
2017-05-15,7475.0
2017-05-16,7515.0
2017-05-17,7600.0
2017-05-18,7655.0
2017-05-19,7580.0
2017-05-22,7630.0
2017-05-23,7690.0
2017-05-24,7570.0
2017-05-25,7695.0
2017-05-26,7695.0
2017-05-29,7695.0
2017-05-30,7760.0
2017-05-31,7695.0
2017-06-01,7690.0
2017-06-02,7690.0
2017-06-05,7780.0
2017-06-07,7850.0
2017-06-08,7875.0
2017-06-09,7790.0
2017-06-12,7735.0
2017-06-13,7695.0
2017-06-14,7675.0
2017-06-15,7680.0
2017-06-16,7630.0
2017-06-19,7625.0
2017-06-20,7530.0
2017-06-21,7545.0
2017-06-22,7565.0
2017-06-23,7590.0
2017-06-26,7595.0
2017-06-27,7560.0
2017-06-28,7575.0
2017-06-29,7575.0
2017-06-30,7570.0
2017-07-03,7520.0
2017-07-04,7440.0
2017-07-05,7385.0
2017-07-06,7395.0
2017-07-07,7395.0
2017-07-10,7325.0
2017-07-11,7305.0
2017-07-12,7365.0
2017-07-13,7385.0
2017-07-14,7365.0
2017-07-17,7455.0
2017-07-18,7475.0
2017-07-19,7445.0
2017-07-20,7445.0
2017-07-21,7495.0
2017-07-24,7595.0
2017-07-25,7555.0
2017-07-26,7545.0
2017-07-27,7620.0
2017-07-28,7580.0
2017-07-31,7625.0
2017-08-01,7655.0
2017-08-02,7645.0
2017-08-03,7585.0
2017-08-04,7645.0
2017-08-07,7550.0
2017-08-08,7575.0
2017-08-09,7605.0
2017-08-10,7720.0
2017-08-11,7800.0
2017-08-14,7770.0
2017-08-16,7685.0
2017-08-17,7750.0
2017-08-18,7775.0
2017-08-21,7740.0
2017-08-22,7770.0
2017-08-23,7775.0
2017-08-24,7810.0
2017-08-25,7770.0
2017-08-28,7810.0
2017-08-29,7960.0
2017-08-30,7920.0
2017-08-31,7855.0
2017-09-01,7955.0
2017-09-04,8090.0
2017-09-05,8085.0
2017-09-06,8115.0
2017-09-07,8100.0
2017-09-08,8155.0
2017-09-11,8075.0
2017-09-12,7995.0
2017-09-13,8050.0
2017-09-14,7990.0
2017-09-15,8010.0
2017-09-18,7945.0
2017-09-19,7905.0
2017-09-20,7900.0
2017-09-21,7840.0
2017-09-22,7775.0
2017-09-25,7815.0
2017-09-26,7900.0
2017-09-27,7790.0
2017-09-28,7710.0
2017-09-29,7765.0
2017-10-10,7770.0
2017-10-11,7740.0
2017-10-12,7810.0
2017-10-13,7835.0
2017-10-16,7880.0
2017-10-17,7790.0
2017-10-18,7755.0
2017-10-19,7730.0
2017-10-20,7755.0
2017-10-23,7685.0
2017-10-24,7695.0
2017-10-25,7650.0
2017-10-26,7695.0
2017-10-27,7645.0
2017-10-30,7650.0
2017-10-31,7680.0
2017-11-01,7685.0
2017-11-02,7685.0
2017-11-03,7650.0
2017-11-06,7650.0
2017-11-07,7680.0
2017-11-08,7660.0
2017-11-09,7740.0
2017-11-10,7745.0
2017-11-13,7695.0
2017-11-14,7680.0
2017-11-15,7670.0
2017-11-16,7640.0
2017-11-17,7700.0
2017-11-20,7730.0
2017-11-21,7695.0
2017-11-22,7685.0
2017-11-23,7775.0
2017-11-24,7780.0
2017-11-27,7770.0
2017-11-28,7775.0
2017-11-29,7730.0
2017-11-30,7650.0
2017-12-01,7660.0
2017-12-04,7635.0
2017-12-05,7610.0
2017-12-06,7530.0
2017-12-07,7505.0
2017-12-08,7455.0
2017-12-11,7415.0
2017-12-12,7405.0
2017-12-13,7400.0
2017-12-14,7480.0
2017-12-15,7500.0
2017-12-18,7510.0
2017-12-19,7520.0
2017-12-20,7540.0
2017-12-21,7590.0
2017-12-22,7590.0
2017-12-26,7630.0
2017-12-27,7640.0
2017-12-28,7720.0
2018-01-02,7825.0
2018-01-03,7830.0
2018-01-04,7800.0
2018-01-05,7865.0
2018-01-08,7835.0
2018-01-09,7850.0
2018-01-10,7780.0
2018-01-11,7850.0
2018-01-12,7945.0
2018-01-15,7975.0
2018-01-16,7985.0
2018-01-17,7925.0
2018-01-18,7880.0
2018-01-19,7900.0
2018-01-22,7895.0
2018-01-23,7930.0
2018-01-24,7950.0
2018-01-25,8115.0
2018-01-26,8080.0
2018-01-29,8035.0
2018-01-30,7955.0
2018-01-31,7970.0
2018-02-01,7995.0
2018-02-02,8035.0
2018-02-05,7915.0
2018-02-06,7995.0
2018-02-07,7855.0
2018-02-08,7725.0
2018-02-09,7835.0
2018-02-12,7815.0
2018-02-13,7865.0
2018-02-14,7870.0
2018-02-19,7945.0
2018-02-20,7950.0
2018-02-21,7805.0
2018-02-22,7805.0
2018-02-23,7875.0
2018-02-26,7890.0
2018-02-27,7920.0
2018-02-28,7820.0
2018-03-02,7810.0
2018-03-05,7865.0
2018-03-06,7835.0
2018-03-07,7850.0
2018-03-08,7810.0
2018-03-09,7750.0
2018-03-12,7835.0
2018-03-13,7840.0
2018-03-14,7870.0
2018-03-15,7870.0
2018-03-16,7760.0
2018-03-19,7690.0
2018-03-20,7745.0
2018-03-21,7760.0
2018-03-22,7830.0
2018-03-23,7895.0
2018-03-26,7905.0
2018-03-27,7970.0
2018-03-28,7945.0
2018-03-29,7845.0
2018-03-30,7780.0
2018-04-02,7805.0
2018-04-03,7860.0
2018-04-04,7820.0
2018-04-05,7845.0
2018-04-06,7840.0
2018-04-09,7820.0
2018-04-10,7825.0
2018-04-11,7870.0
2018-04-12,7920.0
2018-04-13,7850.0
2018-04-16,7935.0
2018-04-17,7935.0
2018-04-18,7895.0
2018-04-19,7995.0
2018-04-20,7955.0
2018-04-23,7880.0
2018-04-24,7845.0
2018-04-25,7840.0
2018-04-26,7770.0
2018-04-27,7770.0
2018-04-30,7795.0
2018-05-02,7740.0
2018-05-03,7725.0
2018-05-04,7700.0
2018-05-08,7750.0
2018-05-09,7730.0
2018-05-10,7750.0
2018-05-11,7775.0
2018-05-14,7775.0
2018-05-15,7730.0
2018-05-16,7635.0
2018-05-17,7620.0
2018-05-18,7575.0
2018-05-21,7575.0
2018-05-23,7595.0
2018-05-24,7640.0
2018-05-25,7690.0
2018-05-28,7655.0
2018-05-29,7660.0
2018-05-30,7650.0
2018-05-31,7645.0
2018-06-01,7645.0
2018-06-04,7600.0
2018-06-05,7620.0
2018-06-07,7615.0
2018-06-08,7640.0
2018-06-11,7625.0
2018-06-12,7615.0
