Date,KODEX 콩선물(H)
2016-11-01,11530.0
2016-11-02,11275.0
2016-11-03,11255.0
2016-11-04,11230.0
2016-11-07,11395.0
2016-11-08,11410.0
2016-11-09,11265.0
2016-11-10,11555.0
2016-11-11,11605.0
2016-11-14,11170.0
2016-11-15,11195.0
2016-11-16,11330.0
2016-11-17,11205.0
2016-11-18,11240.0
2016-11-21,11425.0
2016-11-22,11625.0
2016-11-23,11695.0
2016-11-24,11725.0
2016-11-25,11765.0
2016-11-28,12130.0
2016-11-29,11960.0
2016-11-30,11825.0
2016-12-01,11720.0
2016-12-02,11700.0
2016-12-05,11800.0
2016-12-06,11870.0
2016-12-07,11920.0
2016-12-08,11930.0
2016-12-09,11700.0
2016-12-12,11900.0
2016-12-13,11715.0
2016-12-14,11655.0
2016-12-15,11655.0
2016-12-16,11715.0
2016-12-19,11800.0
2016-12-20,11525.0
2016-12-21,11475.0
2016-12-22,11410.0
2016-12-23,11255.0
2016-12-26,11195.0
2016-12-27,11570.0
2016-12-28,11500.0
2016-12-29,11455.0
2017-01-02,11375.0
2017-01-03,11340.0
2017-01-04,11245.0
2017-01-05,11410.0
2017-01-06,11330.0
2017-01-09,11210.0
2017-01-10,11260.0
2017-01-11,11410.0
2017-01-12,11365.0
2017-01-13,11600.0
2017-01-16,11620.0
2017-01-17,11885.0
2017-01-18,12020.0
2017-01-19,12025.0
2017-01-20,11930.0
2017-01-23,11930.0
2017-01-24,11950.0
2017-01-25,11805.0
2017-01-26,11820.0
2017-01-31,11510.0
2017-02-01,11515.0
2017-02-02,11595.0
2017-02-03,11675.0
2017-02-06,11630.0
2017-02-07,11700.0
2017-02-08,11725.0
2017-02-09,11825.0
2017-02-10,11805.0
2017-02-13,11825.0
2017-02-14,11800.0
2017-02-15,11750.0
2017-02-16,11860.0
2017-02-17,11655.0
2017-02-20,11630.0
2017-02-21,11640.0
2017-02-22,11505.0
2017-02-23,11450.0
2017-02-24,11340.0
2017-02-27,11380.0
2017-02-28,11400.0
2017-03-02,11595.0
2017-03-03,11525.0
2017-03-06,11490.0
2017-03-07,11465.0
2017-03-08,11380.0
2017-03-09,11350.0
2017-03-10,11250.0
2017-03-13,11220.0
2017-03-14,11160.0
2017-03-15,11170.0
2017-03-16,11110.0
2017-03-17,11120.0
2017-03-20,11140.0
2017-03-21,11095.0
2017-03-22,11145.0
2017-03-23,11120.0
2017-03-24,10985.0
2017-03-27,10870.0
2017-03-28,10860.0
2017-03-29,10860.0
2017-03-30,10770.0
2017-03-31,10715.0
2017-04-03,10565.0
2017-04-04,10455.0
2017-04-05,10540.0
2017-04-06,10495.0
2017-04-07,10450.0
2017-04-10,10540.0
2017-04-11,10475.0
2017-04-12,10490.0
2017-04-13,10610.0
2017-04-14,10650.0
2017-04-17,10620.0
2017-04-18,10540.0
2017-04-19,10490.0
2017-04-20,10530.0
2017-04-21,10535.0
2017-04-24,10605.0
2017-04-25,10605.0
2017-04-26,10545.0
2017-04-27,10490.0
2017-04-28,10480.0
2017-05-02,10685.0
2017-05-04,10670.0
2017-05-08,10620.0
2017-05-10,10665.0
2017-05-11,10635.0
2017-05-12,10585.0
2017-05-15,10570.0
2017-05-16,10585.0
2017-05-17,10700.0
2017-05-18,10575.0
2017-05-19,10385.0
2017-05-22,10520.0
2017-05-23,10450.0
2017-05-24,10410.0
2017-05-25,10395.0
2017-05-26,10315.0
2017-05-29,10205.0
2017-05-30,10135.0
2017-05-31,10005.0
2017-06-01,10080.0
2017-06-02,10020.0
2017-06-05,10135.0
2017-06-07,10165.0
2017-06-08,10220.0
2017-06-09,10240.0
2017-06-12,10295.0
2017-06-13,10185.0
2017-06-14,10205.0
2017-06-15,10200.0
2017-06-16,10265.0
2017-06-19,10385.0
2017-06-20,10290.0
2017-06-21,10245.0
2017-06-22,10115.0
2017-06-23,9970.0
2017-06-26,9995.0
2017-06-27,9975.0
2017-06-28,9995.0
2017-06-29,10035.0
2017-06-30,10085.0
2017-07-03,10510.0
2017-07-04,10500.0
2017-07-05,10465.0
2017-07-06,10720.0
2017-07-07,10820.0
2017-07-10,11195.0
2017-07-11,11180.0
2017-07-12,11235.0
2017-07-13,10975.0
2017-07-14,10760.0
2017-07-17,10815.0
2017-07-18,10875.0
2017-07-19,10835.0
2017-07-20,10950.0
2017-07-21,11035.0
2017-07-24,10845.0
2017-07-25,11035.0
2017-07-26,10780.0
2017-07-27,10850.0
2017-07-28,10860.0
2017-07-31,10810.0
2017-08-01,10785.0
2017-08-02,10600.0
2017-08-03,10485.0
2017-08-04,10400.0
2017-08-07,10455.0
2017-08-08,10595.0
2017-08-09,10555.0
2017-08-10,10575.0
2017-08-11,10225.0
2017-08-14,10180.0
2017-08-16,10015.0
2017-08-17,10060.0
2017-08-18,10120.0
2017-08-21,10100.0
2017-08-22,10200.0
2017-08-23,10190.0
2017-08-24,10195.0
2017-08-25,10230.0
2017-08-28,10265.0
2017-08-29,10185.0
