Date,TIGER 인버스
2016-04-14,8565.0
2016-04-15,8570.0
2016-04-18,8600.0
2016-04-19,8585.0
2016-04-20,8610.0
2016-04-21,8545.0
2016-04-22,8580.0
2016-04-25,8595.0
2016-04-26,8560.0
2016-04-27,8570.0
2016-04-28,8660.0
2016-04-29,8690.0
2016-05-02,8750.0
2016-05-03,8730.0
2016-05-04,8780.0
2016-05-09,8795.0
2016-05-10,8760.0
2016-05-11,8780.0
2016-05-12,8775.0
2016-05-13,8860.0
2016-05-16,8850.0
2016-05-17,8840.0
2016-05-18,8910.0
2016-05-19,8915.0
2016-05-20,8915.0
2016-05-23,8895.0
2016-05-24,8965.0
2016-05-25,8845.0
2016-05-26,8855.0
2016-05-27,8800.0
2016-05-30,8815.0
2016-05-31,8770.0
2016-06-01,8745.0
2016-06-02,8735.0
2016-06-03,8730.0
2016-06-07,8610.0
2016-06-08,8530.0
2016-06-09,8535.0
2016-06-10,8560.0
2016-06-13,8725.0
2016-06-14,8755.0
2016-06-15,8765.0
2016-06-16,8815.0
2016-06-17,8810.0
2016-06-20,8695.0
2016-06-21,8690.0
2016-06-22,8655.0
2016-06-23,8650.0
2016-06-24,8940.0
2016-06-27,8905.0
2016-06-28,8895.0
2016-06-29,8780.0
2016-06-30,8745.0
2016-07-01,8640.0
2016-07-04,8620.0
2016-07-05,8625.0
2016-07-06,8790.0
2016-07-07,8715.0
2016-07-08,8755.0
2016-07-11,8620.0
2016-07-12,8625.0
2016-07-13,8565.0
2016-07-14,8545.0
2016-07-15,8510.0
2016-07-18,8480.0
2016-07-19,8500.0
2016-07-20,8520.0
2016-07-21,8510.0
2016-07-22,8520.0
2016-07-25,8515.0
2016-07-26,8430.0
2016-07-27,8435.0
2016-07-28,8450.0
2016-07-29,8460.0
2016-08-01,8405.0
2016-08-02,8450.0
2016-08-03,8560.0
2016-08-04,8545.0
2016-08-05,8460.0
2016-08-08,8400.0
2016-08-09,8330.0
2016-08-10,8355.0
2016-08-11,8340.0
2016-08-12,8325.0
2016-08-16,8325.0
2016-08-17,8340.0
2016-08-18,8280.0
2016-08-19,8255.0
2016-08-22,8295.0
2016-08-23,8265.0
2016-08-24,8300.0
2016-08-25,8290.0
2016-08-26,8315.0
2016-08-29,8315.0
2016-08-30,8280.0
2016-08-31,8320.0
2016-09-01,8350.0
2016-09-02,8320.0
2016-09-05,8215.0
2016-09-06,8190.0
2016-09-07,8190.0
2016-09-08,8195.0
2016-09-09,8290.0
2016-09-12,8500.0
2016-09-13,8480.0
2016-09-19,8405.0
2016-09-20,8395.0
2016-09-21,8335.0
2016-09-22,8270.0
2016-09-23,8275.0
2016-09-26,8295.0
2016-09-27,8240.0
2016-09-28,8270.0
2016-09-29,8205.0
2016-09-30,8295.0
2016-10-04,8255.0
2016-10-05,8255.0
2016-10-06,8200.0
2016-10-07,8225.0
2016-10-10,8205.0
2016-10-11,8330.0
2016-10-12,8335.0
2016-10-13,8405.0
2016-10-14,8360.0
2016-10-17,8345.0
2016-10-18,8290.0
2016-10-19,8275.0
2016-10-20,8270.0
2016-10-21,8315.0
2016-10-24,8255.0
2016-10-25,8265.0
2016-10-26,8360.0
2016-10-27,8330.0
2016-10-28,8330.0
2016-10-31,8350.0
2016-11-01,8350.0
2016-11-02,8450.0
2016-11-03,8430.0
2016-11-04,8450.0
2016-11-07,8375.0
2016-11-08,8360.0
2016-11-09,8520.0
2016-11-10,8365.0
2016-11-11,8460.0
2016-11-14,8510.0
2016-11-15,8540.0
2016-11-16,8520.0
2016-11-17,8525.0
2016-11-18,8520.0
2016-11-21,8545.0
2016-11-22,8460.0
2016-11-23,8425.0
2016-11-24,8455.0
2016-11-25,8470.0
2016-11-28,8435.0
2016-11-29,8435.0
2016-11-30,8400.0
2016-12-01,8390.0
2016-12-02,8445.0
2016-12-05,8465.0
2016-12-06,8360.0
2016-12-07,8340.0
2016-12-08,8190.0
2016-12-09,8190.0
2016-12-12,8195.0
2016-12-13,8175.0
2016-12-14,8165.0
2016-12-15,8170.0
2016-12-16,8160.0
2016-12-19,8155.0
2016-12-20,8140.0
2016-12-21,8145.0
2016-12-22,8160.0
2016-12-23,8170.0
2016-12-26,8155.0
2016-12-27,8150.0
2016-12-28,8125.0
2016-12-29,8115.0
2017-01-02,8085.0
2017-01-03,8030.0
2017-01-04,8020.0
2017-01-05,8050.0
2017-01-06,8015.0
2017-01-09,7995.0
2017-01-10,8010.0
2017-01-11,7860.0
2017-01-12,7845.0
2017-01-13,7865.0
2017-01-16,7905.0
2017-01-17,7885.0
2017-01-18,7885.0
2017-01-19,7870.0
2017-01-20,7900.0
2017-01-23,7895.0
2017-01-24,7895.0
2017-01-25,7870.0
2017-01-26,7800.0
2017-01-31,7855.0
2017-02-01,7830.0
2017-02-02,7860.0
2017-02-03,7850.0
2017-02-06,7825.0
2017-02-07,7850.0
2017-02-08,7885.0
2017-02-09,7860.0
2017-02-10,7850.0
2017-02-13,7850.0
2017-02-14,7875.0
2017-02-15,7850.0
2017-02-16,7850.0
2017-02-17,7860.0
2017-02-20,7835.0
2017-02-21,7765.0
2017-02-22,7750.0
2017-02-23,7745.0
2017-02-24,7810.0
2017-02-27,7835.0
2017-02-28,7825.0
2017-03-02,7750.0
2017-03-03,7830.0
2017-03-06,7820.0
2017-03-07,7770.0
2017-03-08,7755.0
2017-03-09,7780.0
2017-03-10,7770.0
2017-03-13,7685.0
2017-03-14,7625.0
2017-03-15,7610.0
2017-03-16,7545.0
2017-03-17,7515.0
2017-03-20,7525.0
2017-03-21,7455.0
2017-03-22,7495.0
2017-03-23,7485.0
2017-03-24,7490.0
2017-03-27,7540.0
2017-03-28,7525.0
2017-03-29,7505.0
2017-03-30,7510.0
2017-03-31,7515.0
2017-04-03,7510.0
2017-04-04,7530.0
2017-04-05,7545.0
2017-04-06,7575.0
2017-04-07,7585.0
2017-04-10,7635.0
2017-04-11,7660.0
2017-04-12,7660.0
2017-04-13,7590.0
2017-04-14,7625.0
2017-04-17,7605.0
2017-04-18,7610.0
2017-04-19,7640.0
2017-04-20,7615.0
2017-04-21,7550.0
2017-04-24,7515.0
2017-04-25,7430.0
2017-04-26,7380.0
2017-04-27,7365.0
2017-04-28,7370.0
2017-05-02,7300.0
2017-05-04,7240.0
2017-05-08,7045.0
2017-05-10,7135.0
2017-05-11,7050.0
2017-05-12,7090.0
2017-05-15,7075.0
2017-05-16,7055.0
2017-05-17,7060.0
2017-05-18,7075.0
2017-05-19,7090.0
2017-05-22,7035.0
2017-05-23,7025.0
2017-05-24,7015.0
2017-05-25,6935.0
2017-05-26,6885.0
2017-05-29,6895.0
2017-05-30,6935.0
2017-05-31,6945.0
2017-06-01,6960.0
2017-06-02,6880.0
2017-06-05,6875.0
2017-06-07,6920.0
2017-06-08,6915.0
2017-06-09,6840.0
2017-06-12,6920.0
2017-06-13,6880.0
2017-06-14,6875.0
2017-06-15,6900.0
2017-06-16,6905.0
2017-06-19,6870.0
2017-06-20,6845.0
2017-06-21,6885.0
2017-06-22,6845.0
2017-06-23,6820.0
2017-06-26,6795.0
2017-06-27,6795.0
2017-06-28,6810.0
2017-06-29,6760.0
