Date,TIGER 헬스케어
2018-03-05,47195.0
2018-03-06,47395.0
2018-03-07,44845.0
2018-03-08,46305.0
2018-03-09,45695.0
2018-03-12,46420.0
2018-03-13,46200.0
2018-03-14,46050.0
2018-03-15,46855.0
2018-03-16,46965.0
2018-03-19,46480.0
2018-03-20,47480.0
2018-03-21,47570.0
2018-03-22,46520.0
2018-03-23,44185.0
2018-03-26,45090.0
2018-03-27,45220.0
2018-03-28,44100.0
2018-03-29,46185.0
2018-03-30,46025.0
2018-04-02,45790.0
2018-04-03,45820.0
2018-04-04,46065.0
2018-04-05,46110.0
2018-04-06,46390.0
2018-04-09,47765.0
2018-04-10,48300.0
2018-04-11,48285.0
2018-04-12,47165.0
2018-04-13,47215.0
2018-04-16,47230.0
2018-04-17,46750.0
2018-04-18,45750.0
2018-04-19,43895.0
2018-04-20,44090.0
2018-04-23,42010.0
2018-04-24,41590.0
2018-04-25,41900.0
2018-04-26,42740.0
2018-04-27,43830.0
2018-04-30,42700.0
2018-05-02,41335.0
2018-05-03,40995.0
2018-05-04,39310.0
2018-05-08,37670.0
2018-05-09,40165.0
2018-05-10,39930.0
2018-05-11,40495.0
2018-05-14,39500.0
2018-05-15,40370.0
2018-05-16,41030.0
2018-05-17,40880.0
2018-05-18,41335.0
2018-05-21,41495.0
2018-05-23,40540.0
2018-05-24,41345.0
2018-05-25,42365.0
2018-05-28,42060.0
2018-05-29,41755.0
2018-05-30,41885.0
2018-05-31,41760.0
2018-06-01,42550.0
2018-06-04,41390.0
2018-06-05,41085.0
2018-06-07,41605.0
2018-06-08,41230.0
2018-06-11,41140.0
2018-06-12,41680.0
2018-06-14,42020.0
2018-06-15,42670.0
2018-06-18,42040.0
2018-06-19,39970.0
2018-06-20,41595.0
2018-06-21,40770.0
2018-06-22,41450.0
2018-06-25,41530.0
2018-06-26,41695.0
2018-06-27,41820.0
2018-06-28,40995.0
2018-06-29,41330.0
2018-07-02,40590.0
2018-07-03,40605.0
2018-07-04,40505.0
2018-07-05,40105.0
2018-07-06,40955.0
2018-07-09,41155.0
2018-07-10,40845.0
2018-07-11,39950.0
2018-07-12,40635.0
2018-07-13,40800.0
2018-07-16,41150.0
2018-07-17,40965.0
2018-07-18,40505.0
2018-07-19,39955.0
2018-07-20,39660.0
2018-07-23,37705.0
2018-07-24,37505.0
2018-07-25,35730.0
2018-07-26,36360.0
2018-07-27,36450.0
2018-07-30,36400.0
2018-07-31,37545.0
2018-08-01,38515.0
2018-08-02,38275.0
2018-08-03,38600.0
2018-08-06,38220.0
2018-08-07,38635.0
2018-08-08,38990.0
2018-08-09,39085.0
2018-08-10,38960.0
2018-08-13,37320.0
2018-08-14,37580.0
2018-08-16,37270.0
2018-08-17,38335.0
2018-08-20,38165.0
2018-08-21,39155.0
2018-08-22,39030.0
2018-08-23,39285.0
2018-08-24,39995.0
2018-08-27,40320.0
2018-08-28,39800.0
2018-08-29,39950.0
2018-08-30,39860.0
2018-08-31,41140.0
2018-09-03,41020.0
2018-09-04,42040.0
2018-09-05,41490.0
2018-09-06,41320.0
2018-09-07,41460.0
2018-09-10,41140.0
2018-09-11,41385.0
2018-09-12,42200.0
2018-09-13,43105.0
2018-09-14,43060.0
2018-09-17,43395.0
2018-09-18,43665.0
2018-09-19,43615.0
2018-09-20,43640.0
2018-09-21,44000.0
2018-09-27,44205.0
2018-09-28,43610.0
2018-10-01,42825.0
2018-10-02,41135.0
2018-10-04,41430.0
2018-10-05,40400.0
