Date,TIGER 경기방어
2016-03-22,14545.0
2016-03-23,14540.0
2016-03-24,14610.0
2016-03-25,14660.0
2016-03-28,14600.0
2016-03-29,14640.0
2016-03-30,14655.0
2016-03-31,14580.0
2016-04-01,14670.0
2016-04-04,14675.0
2016-04-05,14640.0
2016-04-06,14710.0
2016-04-07,14705.0
2016-04-08,14815.0
2016-04-11,14615.0
2016-04-12,14610.0
2016-04-14,14690.0
2016-04-15,14765.0
2016-04-18,14885.0
2016-04-19,14805.0
2016-04-20,14800.0
2016-04-21,14935.0
2016-04-22,15050.0
2016-04-25,15005.0
2016-04-26,15105.0
2016-04-27,15160.0
2016-04-28,14830.0
2016-04-29,14780.0
2016-05-02,14825.0
2016-05-03,14975.0
2016-05-04,14950.0
2016-05-09,15230.0
2016-05-10,15280.0
2016-05-11,15130.0
2016-05-12,15170.0
2016-05-13,15225.0
2016-05-16,15240.0
2016-05-17,15250.0
2016-05-18,15115.0
2016-05-19,14980.0
2016-05-20,14995.0
2016-05-23,15070.0
2016-05-24,15035.0
2016-05-25,15165.0
2016-05-26,15030.0
2016-05-27,15105.0
2016-05-30,15215.0
2016-05-31,15260.0
2016-06-01,15170.0
2016-06-02,15185.0
2016-06-03,15225.0
2016-06-07,15270.0
2016-06-08,15415.0
2016-06-09,15420.0
2016-06-10,15295.0
2016-06-13,15055.0
2016-06-14,15055.0
2016-06-15,14920.0
2016-06-16,14750.0
2016-06-17,14705.0
2016-06-20,14880.0
2016-06-21,14965.0
2016-06-22,14955.0
2016-06-23,14870.0
2016-06-24,14550.0
2016-06-27,14665.0
2016-06-28,14990.0
2016-06-29,15195.0
2016-06-30,15205.0
2016-07-01,15220.0
2016-07-04,15235.0
2016-07-05,15190.0
2016-07-06,15160.0
2016-07-07,15240.0
2016-07-08,15095.0
2016-07-11,15060.0
2016-07-12,15045.0
2016-07-13,15000.0
2016-07-14,14970.0
2016-07-15,15025.0
2016-07-18,15065.0
2016-07-19,15015.0
2016-07-20,15000.0
2016-07-21,14870.0
2016-07-22,14930.0
2016-07-25,14820.0
2016-07-26,14980.0
2016-07-27,14745.0
2016-07-28,14730.0
2016-07-29,14575.0
2016-08-01,14395.0
2016-08-02,14455.0
2016-08-03,14400.0
2016-08-04,14380.0
2016-08-05,14175.0
2016-08-08,14395.0
2016-08-09,14430.0
2016-08-10,14690.0
2016-08-11,14570.0
2016-08-12,14525.0
2016-08-16,14605.0
2016-08-17,14425.0
2016-08-18,14280.0
2016-08-19,14120.0
2016-08-22,13945.0
2016-08-23,14145.0
2016-08-24,14095.0
2016-08-25,14070.0
2016-08-26,14155.0
2016-08-29,14100.0
2016-08-30,14075.0
2016-08-31,13980.0
2016-09-01,13995.0
2016-09-02,14095.0
2016-09-05,14190.0
2016-09-06,14105.0
2016-09-07,14045.0
2016-09-08,14145.0
2016-09-09,14050.0
2016-09-12,13980.0
2016-09-13,13870.0
2016-09-19,13940.0
2016-09-20,14055.0
2016-09-21,14090.0
2016-09-22,14275.0
2016-09-23,14365.0
2016-09-26,14380.0
2016-09-27,14505.0
