Date,TIGER KRX100
2016-05-27,38615.0
2016-05-30,38620.0
2016-05-31,39095.0
2016-06-01,38950.0
2016-06-02,38950.0
2016-06-03,38910.0
2016-06-07,39270.0
2016-06-08,39590.0
2016-06-09,39550.0
2016-06-10,39505.0
2016-06-13,38730.0
2016-06-14,38590.0
2016-06-15,38560.0
2016-06-16,38150.0
2016-06-17,38340.0
2016-06-20,38545.0
2016-06-21,38670.0
2016-06-22,38980.0
2016-06-23,38990.0
2016-06-24,37805.0
2016-06-27,37895.0
2016-06-28,37885.0
2016-06-29,38725.0
2016-06-30,38845.0
2016-07-01,39250.0
2016-07-04,39220.0
2016-07-05,39220.0
2016-07-06,38435.0
2016-07-07,38845.0
2016-07-08,38580.0
2016-07-11,39150.0
2016-07-12,39045.0
2016-07-13,39410.0
2016-07-14,39435.0
2016-07-15,39805.0
2016-07-18,39670.0
2016-07-19,39730.0
2016-07-20,39410.0
2016-07-21,39600.0
2016-07-22,39645.0
2016-07-25,39645.0
2016-07-26,39905.0
2016-07-27,39925.0
2016-07-28,39945.0
2016-07-29,39875.0
2016-08-01,39885.0
2016-08-02,39810.0
2016-08-03,39400.0
2016-08-04,39385.0
2016-08-05,39735.0
2016-08-08,40035.0
2016-08-09,40045.0
2016-08-10,40435.0
2016-08-11,40225.0
2016-08-12,40285.0
2016-08-16,40515.0
2016-08-17,40280.0
2016-08-18,40480.0
2016-08-19,40550.0
2016-08-22,40320.0
2016-08-23,40405.0
2016-08-24,40405.0
2016-08-25,40265.0
2016-08-26,40430.0
2016-08-29,40375.0
2016-08-30,40605.0
2016-08-31,40420.0
2016-09-01,40480.0
2016-09-02,40515.0
2016-09-05,40850.0
2016-09-06,41065.0
2016-09-07,41150.0
2016-09-08,40950.0
2016-09-09,40700.0
2016-09-12,40070.0
2016-09-13,39995.0
2016-09-19,40170.0
2016-09-20,40285.0
2016-09-21,40525.0
2016-09-22,40825.0
2016-09-23,40885.0
2016-09-26,40890.0
2016-09-27,40955.0
2016-09-28,40850.0
2016-09-29,41030.0
2016-09-30,40830.0
2016-10-04,40800.0
2016-10-05,40755.0
2016-10-06,40940.0
2016-10-07,40940.0
2016-10-10,40790.0
2016-10-11,40790.0
2016-10-12,40345.0
2016-10-13,40190.0
2016-10-14,40190.0
2016-10-17,40100.0
2016-10-18,40645.0
2016-10-19,40595.0
2016-10-20,40625.0
2016-10-21,40625.0
2016-10-24,40835.0
2016-10-25,40820.0
2016-10-26,40475.0
2016-10-27,40525.0
2016-10-28,40525.0
2016-10-31,40425.0
2016-11-01,40420.0
2016-11-02,39905.0
2016-11-03,39905.0
2016-11-04,39820.0
2016-11-07,40000.0
2016-11-08,40105.0
2016-11-09,39195.0
2016-11-10,40265.0
2016-11-11,39750.0
2016-11-14,39750.0
2016-11-15,39485.0
2016-11-16,39430.0
2016-11-17,39265.0
2016-11-18,39465.0
2016-11-21,39050.0
2016-11-22,39525.0
2016-11-23,39795.0
2016-11-24,39720.0
2016-11-25,39740.0
2016-11-28,39860.0
2016-11-29,39775.0
2016-11-30,39790.0
2016-12-01,39830.0
2016-12-02,39595.0
2016-12-05,39500.0
2016-12-06,39850.0
2016-12-07,39935.0
2016-12-08,40900.0
2016-12-09,40750.0
2016-12-12,40940.0
2016-12-13,40940.0
2016-12-14,41050.0
2016-12-15,41040.0
2016-12-16,41040.0
2016-12-19,41040.0
2016-12-20,41040.0
2016-12-21,41170.0
2016-12-22,40980.0
2016-12-23,40980.0
2016-12-26,40980.0
2016-12-27,40990.0
2016-12-28,41255.0
2016-12-29,41440.0
2017-01-02,41440.0
