Date,KINDEX 인버스
2017-05-11,7880.0
2017-05-12,7910.0
2017-05-15,7885.0
2017-05-16,7880.0
2017-05-17,7895.0
2017-05-18,7910.0
2017-05-19,7915.0
2017-05-22,7865.0
2017-05-23,7850.0
2017-05-24,7830.0
2017-05-25,7730.0
2017-05-26,7695.0
2017-05-29,7700.0
2017-05-30,7750.0
2017-05-31,7750.0
2017-06-01,7765.0
2017-06-02,7675.0
2017-06-05,7685.0
2017-06-07,7720.0
2017-06-08,7720.0
2017-06-09,7625.0
2017-06-12,7720.0
2017-06-13,7675.0
2017-06-14,7660.0
2017-06-15,7705.0
2017-06-16,7705.0
2017-06-19,7655.0
2017-06-20,7630.0
2017-06-21,7690.0
2017-06-22,7635.0
2017-06-23,7625.0
2017-06-26,7570.0
2017-06-27,7585.0
2017-06-28,7590.0
2017-06-29,7550.0
2017-06-30,7570.0
2017-07-03,7570.0
2017-07-04,7600.0
2017-07-05,7585.0
2017-07-06,7585.0
2017-07-07,7600.0
2017-07-10,7590.0
2017-07-11,7545.0
2017-07-12,7545.0
2017-07-13,7470.0
2017-07-14,7455.0
2017-07-17,7415.0
2017-07-18,7420.0
2017-07-19,7415.0
2017-07-20,7380.0
2017-07-21,7350.0
2017-07-24,7345.0
2017-07-25,7380.0
2017-07-26,7395.0
2017-07-27,7370.0
2017-07-28,7510.0
2017-07-31,7510.0
2017-08-01,7460.0
2017-08-02,7425.0
2017-08-03,7550.0
2017-08-04,7535.0
2017-08-07,7520.0
2017-08-08,7530.0
2017-08-09,7620.0
2017-08-10,7665.0
2017-08-11,7800.0
2017-08-14,7745.0
2017-08-16,7690.0
2017-08-17,7645.0
2017-08-18,7665.0
2017-08-21,7660.0
2017-08-22,7640.0
2017-08-23,7630.0
2017-08-24,7605.0
2017-08-25,7595.0
2017-08-28,7640.0
2017-08-29,7665.0
2017-08-30,7635.0
2017-08-31,7680.0
2017-09-01,7685.0
2017-09-04,7755.0
2017-09-05,7775.0
2017-09-06,7795.0
2017-09-07,7705.0
2017-09-08,7680.0
2017-09-11,7625.0
2017-09-12,7620.0
2017-09-13,7630.0
2017-09-14,7600.0
2017-09-15,7550.0
2017-09-18,7420.0
2017-09-19,7425.0
2017-09-20,7425.0
2017-09-21,7430.0
2017-09-22,7475.0
2017-09-25,7480.0
2017-09-26,7520.0
2017-09-27,7530.0
2017-09-28,7535.0
2017-09-29,7480.0
2017-10-10,7340.0
2017-10-11,7260.0
2017-10-12,7210.0
2017-10-13,7220.0
2017-10-16,7200.0
2017-10-17,7200.0
2017-10-18,7210.0
2017-10-19,7225.0
2017-10-20,7200.0
