Date,KBSTAR 채권혼합
2017-08-09,55685.0
2017-08-10,55610.0
2017-08-11,55320.0
2017-08-14,55365.0
2017-08-16,55545.0
2017-08-17,55690.0
2017-08-18,55695.0
2017-08-21,55655.0
2017-08-22,55700.0
2017-08-23,55710.0
2017-08-24,55780.0
2017-08-25,55830.0
2017-08-28,55655.0
2017-08-29,55585.0
2017-08-30,55665.0
2017-08-31,55695.0
2017-09-01,55700.0
2017-09-04,55470.0
2017-09-05,55445.0
2017-09-06,55425.0
2017-09-07,55560.0
2017-09-08,55585.0
2017-09-11,55725.0
2017-09-12,55750.0
2017-09-13,55790.0
2017-09-14,55835.0
2017-09-15,56040.0
2017-09-18,56285.0
2017-09-19,56190.0
2017-09-20,56230.0
2017-09-21,56185.0
2017-09-22,56075.0
2017-09-25,56140.0
2017-09-26,56000.0
2017-09-27,55930.0
2017-09-28,55850.0
2017-09-29,56065.0
2017-10-10,56340.0
2017-10-11,56510.0
2017-10-12,56595.0
2017-10-13,56540.0
2017-10-16,56565.0
2017-10-17,56685.0
2017-10-18,56670.0
2017-10-19,56540.0
2017-10-20,56530.0
2017-10-23,56600.0
2017-10-24,56570.0
2017-10-25,56550.0
2017-10-26,56290.0
2017-10-27,56470.0
2017-10-30,56440.0
2017-10-31,56745.0
2017-11-01,56970.0
2017-11-02,56980.0
2017-11-03,57000.0
2017-11-06,56950.0
2017-11-07,56930.0
2017-11-08,56930.0
2017-11-09,56960.0
2017-11-10,56820.0
2017-11-13,56790.0
2017-11-14,56705.0
2017-11-15,56680.0
2017-11-16,56805.0
2017-11-17,56750.0
2017-11-20,56750.0
2017-11-21,56800.0
2017-11-22,56860.0
2017-11-23,56850.0
2017-11-24,56800.0
2017-11-27,56630.0
2017-11-28,56620.0
2017-11-29,56715.0
2017-11-30,56480.0
2017-12-01,56480.0
2017-12-04,56615.0
2017-12-05,56660.0
2017-12-06,56470.0
2017-12-07,56290.0
2017-12-08,56330.0
2017-12-11,56365.0
2017-12-12,56320.0
2017-12-13,56440.0
2017-12-14,56560.0
2017-12-15,56370.0
2017-12-18,56460.0
2017-12-19,56460.0
2017-12-20,56420.0
2017-12-21,56105.0
2017-12-22,56160.0
2017-12-26,56070.0
2017-12-27,56275.0
2017-12-28,56555.0
2018-01-02,56625.0
2018-01-03,56700.0
2018-01-04,56560.0
2018-01-05,56775.0
2018-01-08,56885.0
2018-01-09,56800.0
2018-01-10,56640.0
2018-01-11,56630.0
2018-01-12,56550.0
2018-01-15,56600.0
2018-01-16,56760.0
2018-01-17,56710.0
2018-01-18,56765.0
2018-01-19,56770.0
2018-01-22,56600.0
2018-01-23,56795.0
2018-01-24,56825.0
2018-01-25,57010.0
2018-01-26,57020.0
2018-01-29,57110.0
2018-01-30,56880.0
2018-01-31,56875.0
2018-02-01,56945.0
2018-02-02,56585.0
2018-02-05,56410.0
2018-02-06,56165.0
2018-02-07,55795.0
2018-02-08,55865.0
2018-02-09,55435.0
2018-02-12,55640.0
2018-02-13,55705.0
2018-02-14,55965.0
2018-02-19,55990.0
2018-02-20,55875.0
2018-02-21,55965.0
2018-02-22,55875.0
2018-02-23,56115.0
2018-02-26,56180.0
2018-02-27,56140.0
2018-02-28,55955.0
2018-03-02,55695.0
2018-03-05,55490.0
2018-03-06,55790.0
2018-03-07,55845.0
2018-03-08,55910.0
2018-03-09,56205.0
2018-03-12,56315.0
2018-03-13,56485.0
2018-03-14,56490.0
2018-03-15,56565.0
2018-03-16,56440.0
