Date,KBSTAR 주식혼합
2016-01-14,27975.0
2016-01-15,27970.0
2016-01-18,27835.0
2016-01-19,27795.0
2016-01-20,27595.0
2016-01-21,27560.0
2016-01-22,27735.0
2016-01-25,28045.0
2016-01-26,27910.0
2016-01-27,28110.0
2016-01-28,28185.0
2016-01-29,28170.0
2016-02-01,28290.0
2016-02-02,28225.0
2016-02-03,28000.0
2016-02-04,28260.0
2016-02-05,28275.0
2016-02-11,27855.0
2016-02-12,27685.0
2016-02-15,27910.0
2016-02-16,28070.0
2016-02-17,28380.0
2016-02-18,28385.0
2016-02-19,28525.0
2016-02-22,28460.0
2016-02-23,28470.0
2016-02-24,28455.0
2016-02-25,28470.0
2016-02-26,28515.0
2016-02-29,28525.0
2016-03-02,28840.0
2016-03-03,28910.0
2016-03-04,28915.0
2016-03-07,28975.0
2016-03-08,28830.0
2016-03-09,28805.0
2016-03-10,29100.0
2016-03-11,29125.0
2016-03-14,29105.0
2016-03-15,29105.0
2016-03-16,29100.0
2016-03-17,29330.0
2016-03-18,29315.0
2016-03-21,29290.0
2016-03-22,29290.0
2016-03-23,29310.0
2016-03-24,29255.0
2016-03-25,29255.0
2016-03-28,29270.0
2016-03-29,29360.0
2016-03-30,29470.0
2016-03-31,29430.0
2016-04-01,29265.0
2016-04-04,29195.0
2016-04-05,29055.0
2016-04-06,29065.0
2016-04-07,29195.0
2016-04-08,29035.0
2016-04-11,29050.0
2016-04-12,29245.0
2016-04-14,29530.0
2016-04-15,29620.0
2016-04-18,29545.0
2016-04-19,29610.0
2016-04-20,29585.0
2016-04-21,29710.0
2016-04-22,29650.0
2016-04-25,29635.0
2016-04-26,29660.0
2016-04-27,29635.0
2016-04-28,29645.0
2016-04-29,29400.0
2016-05-02,29265.0
2016-05-03,29315.0
2016-05-04,29160.0
2016-05-09,29140.0
2016-05-10,29140.0
2016-05-11,29190.0
2016-05-12,29165.0
2016-05-13,28975.0
2016-05-16,29030.0
2016-05-17,29000.0
2016-05-18,28875.0
2016-05-19,28845.0
2016-05-20,28860.0
2016-05-23,28910.0
2016-05-24,28800.0
2016-05-25,28835.0
2016-05-26,28945.0
2016-05-27,29150.0
2016-05-30,29085.0
2016-05-31,29230.0
2016-06-01,29205.0
2016-06-02,29325.0
2016-06-03,29265.0
2016-06-07,29555.0
2016-06-08,29515.0
2016-06-09,29615.0
2016-06-10,29565.0
2016-06-13,29225.0
2016-06-14,29170.0
2016-06-15,29020.0
2016-06-16,28990.0
2016-06-17,28980.0
2016-06-20,29120.0
2016-06-21,29245.0
2016-06-22,29390.0
