Date,TIGER 소프트웨어
2017-04-13,6990.0
2017-04-14,6885.0
2017-04-17,6940.0
2017-04-18,6940.0
2017-04-19,6945.0
2017-04-20,7075.0
2017-04-21,7050.0
2017-04-24,7025.0
2017-04-25,7110.0
2017-04-26,7080.0
2017-04-27,6900.0
2017-04-28,6935.0
2017-05-02,6945.0
2017-05-04,7030.0
2017-05-08,7115.0
2017-05-10,7085.0
2017-05-11,7220.0
2017-05-12,7090.0
2017-05-15,7065.0
2017-05-16,7050.0
2017-05-17,7170.0
2017-05-18,7150.0
2017-05-19,7265.0
2017-05-22,7330.0
2017-05-23,7325.0
2017-05-24,7310.0
2017-05-25,7370.0
2017-05-26,7400.0
2017-05-29,7465.0
2017-05-30,7445.0
2017-05-31,7445.0
2017-06-01,7430.0
2017-06-02,7530.0
2017-06-05,7720.0
2017-06-07,7780.0
2017-06-08,7805.0
2017-06-09,8025.0
2017-06-12,7780.0
2017-06-13,7770.0
2017-06-14,7745.0
2017-06-15,7760.0
2017-06-16,7700.0
2017-06-19,7750.0
2017-06-20,7480.0
2017-06-21,7475.0
2017-06-22,7460.0
2017-06-23,7735.0
2017-06-26,7805.0
2017-06-27,7780.0
2017-06-28,7645.0
2017-06-29,7745.0
2017-06-30,7635.0
2017-07-03,7550.0
2017-07-04,7600.0
2017-07-05,7730.0
2017-07-06,7765.0
2017-07-07,7725.0
2017-07-10,7605.0
2017-07-11,7565.0
2017-07-12,7465.0
2017-07-13,7580.0
2017-07-14,7520.0
2017-07-17,7520.0
2017-07-18,7560.0
2017-07-19,7565.0
2017-07-20,7705.0
2017-07-21,7715.0
2017-07-24,7665.0
2017-07-25,7680.0
2017-07-26,7435.0
2017-07-27,7520.0
2017-07-28,7405.0
2017-07-31,7540.0
2017-08-01,7490.0
2017-08-02,7510.0
2017-08-03,7410.0
2017-08-04,7315.0
2017-08-07,7425.0
2017-08-08,7510.0
2017-08-09,7390.0
2017-08-10,7415.0
2017-08-11,7290.0
2017-08-14,7335.0
2017-08-16,7370.0
2017-08-17,7335.0
2017-08-18,7325.0
2017-08-21,7320.0
2017-08-22,7325.0
2017-08-23,7265.0
2017-08-24,7405.0
2017-08-25,7440.0
2017-08-28,7435.0
2017-08-29,7380.0
2017-08-30,7455.0
2017-08-31,7440.0
2017-09-01,7450.0
2017-09-04,7405.0
2017-09-05,7500.0
2017-09-06,7620.0
2017-09-07,7770.0
2017-09-08,7730.0
2017-09-11,7755.0
2017-09-12,7775.0
2017-09-13,7845.0
2017-09-14,7985.0
2017-09-15,8030.0
2017-09-18,8080.0
2017-09-19,8045.0
2017-09-20,8100.0
2017-09-21,7985.0
2017-09-22,7865.0
2017-09-25,7800.0
2017-09-26,7850.0
2017-09-27,7865.0
2017-09-28,7835.0
2017-09-29,7985.0
2017-10-10,7940.0
2017-10-11,8000.0
2017-10-12,8090.0
2017-10-13,8055.0
2017-10-16,8135.0
2017-10-17,8305.0
2017-10-18,8425.0
2017-10-19,8275.0
2017-10-20,8290.0
2017-10-23,8290.0
2017-10-24,8345.0
2017-10-25,8325.0
2017-10-26,8315.0
2017-10-27,8455.0
2017-10-30,8450.0
2017-10-31,8620.0
2017-11-01,8565.0
2017-11-02,8580.0
2017-11-03,8675.0
2017-11-06,8820.0
2017-11-07,8740.0
2017-11-08,8735.0
2017-11-09,8470.0
2017-11-10,8500.0
2017-11-13,8485.0
2017-11-14,8460.0
2017-11-15,8570.0
2017-11-16,8625.0
2017-11-17,8570.0
2017-11-20,8590.0
2017-11-21,8795.0
2017-11-22,8670.0
2017-11-23,8680.0
2017-11-24,8665.0
2017-11-27,8550.0
2017-11-28,8535.0
2017-11-29,8550.0
2017-11-30,8240.0
2017-12-01,8495.0
2017-12-04,8535.0
2017-12-05,8540.0
2017-12-06,8510.0
2017-12-07,8525.0
2017-12-08,8540.0
2017-12-11,8615.0
2017-12-12,8650.0
2017-12-13,8850.0
2017-12-14,8910.0
2017-12-15,8875.0
2017-12-18,8845.0
2017-12-19,8765.0
2017-12-20,8570.0
2017-12-21,8420.0
2017-12-22,8535.0
2017-12-26,8485.0
2017-12-27,8745.0
2017-12-28,8735.0
2018-01-02,8880.0
2018-01-03,8815.0
2018-01-04,8915.0
2018-01-05,8925.0
2018-01-08,9150.0
2018-01-09,9090.0
2018-01-10,9130.0
2018-01-11,8990.0
2018-01-12,8915.0
2018-01-15,9020.0
2018-01-16,9035.0
2018-01-17,9060.0
2018-01-18,9160.0
2018-01-19,9040.0
2018-01-22,8960.0
2018-01-23,9075.0
2018-01-24,9070.0
2018-01-25,9125.0
2018-01-26,9425.0
2018-01-29,9370.0
