Date,TIGER 200 IT
2016-09-19,15155.0
2016-09-20,15100.0
2016-09-21,15205.0
2016-09-22,15415.0
2016-09-23,15300.0
2016-09-26,15215.0
2016-09-27,15440.0
2016-09-28,15425.0
2016-09-29,15560.0
2016-09-30,15400.0
2016-10-04,15515.0
2016-10-05,15660.0
2016-10-06,15785.0
2016-10-07,15675.0
2016-10-10,15700.0
2016-10-11,15410.0
2016-10-12,15340.0
2016-10-13,15220.0
2016-10-14,15380.0
2016-10-17,15420.0
2016-10-18,15370.0
2016-10-19,15235.0
2016-10-20,15310.0
2016-10-21,15225.0
2016-10-24,15275.0
2016-10-25,15310.0
2016-10-26,15350.0
2016-10-27,15395.0
2016-10-28,15445.0
2016-10-31,15350.0
2016-11-01,15360.0
2016-11-02,15135.0
2016-11-03,15085.0
2016-11-04,14990.0
2016-11-07,15200.0
2016-11-08,15205.0
2016-11-09,14840.0
2016-11-10,15180.0
2016-11-11,14655.0
2016-11-14,14465.0
2016-11-15,14440.0
2016-11-16,14730.0
2016-11-17,14815.0
2016-11-18,14915.0
2016-11-21,14895.0
2016-11-22,15235.0
2016-11-23,15295.0
2016-11-24,15090.0
2016-11-25,15115.0
2016-11-28,15235.0
2016-11-29,15275.0
2016-11-30,15390.0
2016-12-01,15340.0
2016-12-02,15145.0
2016-12-05,15120.0
2016-12-06,15350.0
2016-12-07,15405.0
2016-12-08,15720.0
2016-12-09,15760.0
2016-12-12,15645.0
2016-12-13,15695.0
2016-12-14,15760.0
2016-12-15,15815.0
2016-12-16,16010.0
2016-12-19,15940.0
2016-12-20,15975.0
2016-12-21,15990.0
2016-12-22,15980.0
2016-12-23,15900.0
2016-12-26,15990.0
2016-12-27,16010.0
2016-12-28,16025.0
2016-12-29,16105.0
2017-01-02,16205.0
2017-01-03,16475.0
2017-01-04,16435.0
2017-01-05,16430.0
2017-01-06,16555.0
2017-01-09,16830.0
2017-01-10,16815.0
2017-01-11,17130.0
2017-01-12,17210.0
2017-01-13,17000.0
2017-01-16,16765.0
2017-01-17,16815.0
2017-01-18,16765.0
2017-01-19,16945.0
2017-01-20,16895.0
2017-01-23,17030.0
2017-01-24,17050.0
2017-01-25,17200.0
2017-01-26,17410.0
2017-01-31,17410.0
2017-02-01,17590.0
2017-02-02,17440.0
2017-02-03,17620.0
2017-02-06,17620.0
2017-02-07,17575.0
2017-02-08,17630.0
2017-02-09,17515.0
2017-02-10,17230.0
2017-02-13,17185.0
2017-02-14,16960.0
2017-02-15,16965.0
2017-02-16,17170.0
2017-02-17,17125.0
2017-02-20,17250.0
2017-02-21,17485.0
2017-02-22,17560.0
2017-02-23,17555.0
2017-02-24,17145.0
2017-02-27,16910.0
2017-02-28,16870.0
2017-03-02,17270.0
2017-03-03,17195.0
2017-03-06,17400.0
2017-03-07,17465.0
2017-03-08,17490.0
