Date,KODEX 자동차
2016-02-19,17900.0
2016-02-22,17815.0
2016-02-23,17910.0
2016-02-24,17970.0
2016-02-25,17835.0
2016-02-26,17835.0
2016-02-29,17810.0
2016-03-02,17930.0
2016-03-03,17825.0
2016-03-04,17745.0
2016-03-07,17855.0
2016-03-08,17880.0
2016-03-09,18160.0
2016-03-10,18110.0
2016-03-11,17960.0
2016-03-14,17900.0
2016-03-15,17760.0
2016-03-16,17710.0
2016-03-17,17945.0
2016-03-18,17995.0
2016-03-21,18240.0
2016-03-22,18730.0
2016-03-23,18535.0
2016-03-24,18385.0
2016-03-25,18220.0
2016-03-28,18240.0
2016-03-29,18380.0
2016-03-30,18420.0
2016-03-31,18145.0
2016-04-01,17660.0
2016-04-04,17305.0
2016-04-05,17275.0
2016-04-06,17290.0
2016-04-07,17395.0
2016-04-08,17350.0
2016-04-11,17485.0
2016-04-12,17530.0
2016-04-14,17960.0
2016-04-15,17965.0
2016-04-18,18225.0
2016-04-19,18290.0
2016-04-20,18105.0
2016-04-21,18240.0
2016-04-22,18200.0
2016-04-25,18050.0
2016-04-26,18445.0
2016-04-27,18125.0
2016-04-28,17850.0
2016-04-29,17745.0
2016-05-02,17620.0
2016-05-03,17515.0
2016-05-04,17360.0
2016-05-09,17125.0
2016-05-10,17510.0
2016-05-11,17510.0
2016-05-12,17460.0
2016-05-13,17375.0
2016-05-16,17180.0
2016-05-17,17190.0
2016-05-18,17015.0
2016-05-19,17055.0
2016-05-20,17010.0
2016-05-23,17020.0
2016-05-24,17065.0
2016-05-25,17300.0
2016-05-26,17450.0
2016-05-27,17535.0
2016-05-30,17380.0
2016-05-31,17680.0
2016-06-01,17660.0
2016-06-02,17440.0
2016-06-03,17565.0
2016-06-07,17605.0
2016-06-08,17900.0
2016-06-09,17680.0
2016-06-10,17800.0
2016-06-13,17480.0
2016-06-14,17555.0
2016-06-15,17490.0
2016-06-16,17300.0
2016-06-17,17245.0
2016-06-20,17550.0
2016-06-21,17500.0
2016-06-22,17575.0
2016-06-23,17560.0
2016-06-24,17085.0
2016-06-27,17200.0
2016-06-28,17165.0
2016-06-29,17280.0
2016-06-30,17040.0
2016-07-01,17135.0
2016-07-04,17100.0
2016-07-05,16940.0
2016-07-06,16585.0
2016-07-07,16770.0
2016-07-08,16575.0
2016-07-11,16895.0
2016-07-12,17100.0
2016-07-13,17165.0
2016-07-14,17045.0
2016-07-15,17185.0
2016-07-18,16935.0
2016-07-19,16835.0
2016-07-20,16875.0
2016-07-21,16815.0
2016-07-22,16955.0
2016-07-25,17135.0
2016-07-26,17230.0
2016-07-27,17410.0
2016-07-28,17650.0
2016-07-29,17250.0
2016-08-01,17400.0
2016-08-02,17170.0
2016-08-03,16975.0
2016-08-04,16915.0
2016-08-05,17095.0
2016-08-08,17015.0
2016-08-09,17220.0
2016-08-10,17255.0
2016-08-11,17150.0
2016-08-12,17290.0
2016-08-16,17130.0
2016-08-17,17255.0
2016-08-18,17100.0
2016-08-19,17175.0
2016-08-22,17115.0
2016-08-23,17045.0
2016-08-24,17235.0
2016-08-25,17425.0
2016-08-26,17360.0
2016-08-29,17220.0
2016-08-30,17370.0
2016-08-31,17470.0
2016-09-01,17405.0
2016-09-02,17505.0
2016-09-05,17910.0
2016-09-06,18160.0
2016-09-07,18270.0
2016-09-08,18460.0
2016-09-09,18260.0
2016-09-12,18225.0
2016-09-13,18225.0
2016-09-19,18315.0
2016-09-20,18305.0
2016-09-21,18230.0
2016-09-22,18375.0
2016-09-23,18550.0
2016-09-26,18500.0
2016-09-27,18720.0
2016-09-28,18495.0
2016-09-29,18430.0
2016-09-30,17945.0
2016-10-04,18080.0
2016-10-05,18090.0
2016-10-06,17845.0
2016-10-07,17790.0
2016-10-10,17805.0
2016-10-11,17850.0
2016-10-12,17885.0
2016-10-13,17555.0
2016-10-14,17450.0
2016-10-17,17425.0
2016-10-18,17345.0
2016-10-19,17160.0
2016-10-20,17140.0
2016-10-21,17155.0
2016-10-24,17120.0
2016-10-25,17500.0
2016-10-26,17275.0
2016-10-27,17330.0
2016-10-28,17385.0
2016-10-31,17385.0
2016-11-01,17295.0
2016-11-02,17190.0
