Date,KODEX 미국S&P바이오(합성)
2016-03-22,13155.0
2016-03-23,13575.0
2016-03-24,13080.0
2016-03-25,13145.0
2016-03-28,13080.0
2016-03-29,12930.0
2016-03-30,13050.0
2016-03-31,12820.0
2016-04-01,13240.0
2016-04-04,13620.0
2016-04-05,13845.0
2016-04-06,13810.0
2016-04-07,14710.0
2016-04-08,14460.0
2016-04-11,14265.0
2016-04-12,13775.0
2016-04-14,14445.0
2016-04-15,14490.0
2016-04-18,14465.0
2016-04-19,14595.0
2016-04-20,14245.0
2016-04-21,14305.0
2016-04-22,14545.0
2016-04-25,14715.0
2016-04-26,14660.0
2016-04-27,14370.0
2016-04-28,14125.0
2016-04-29,14090.0
2016-05-02,13780.0
2016-05-03,14000.0
2016-05-04,13685.0
2016-05-09,13185.0
2016-05-10,13725.0
2016-05-11,13730.0
2016-05-12,13290.0
2016-05-13,13030.0
2016-05-16,13270.0
2016-05-17,13695.0
2016-05-18,13710.0
2016-05-19,14080.0
2016-05-20,14005.0
2016-05-23,14295.0
2016-05-24,14505.0
2016-05-25,14750.0
2016-05-26,14865.0
2016-05-27,14720.0
2016-05-30,15115.0
2016-05-31,15170.0
2016-06-01,15400.0
2016-06-02,15465.0
2016-06-03,15845.0
2016-06-07,15425.0
2016-06-08,15060.0
2016-06-09,15190.0
2016-06-10,14840.0
2016-06-13,14525.0
2016-06-14,14350.0
2016-06-15,14325.0
2016-06-16,14345.0
2016-06-17,14385.0
2016-06-20,13920.0
2016-06-21,14015.0
2016-06-22,13790.0
2016-06-23,13800.0
2016-06-24,13530.0
2016-06-27,13720.0
2016-06-28,13245.0
2016-06-29,13585.0
2016-06-30,13845.0
2016-07-01,13910.0
2016-07-04,14195.0
2016-07-05,14295.0
2016-07-06,14095.0
2016-07-07,14520.0
2016-07-08,14660.0
2016-07-11,14815.0
2016-07-12,14750.0
2016-07-13,14820.0
2016-07-14,14355.0
2016-07-15,14250.0
2016-07-18,14520.0
2016-07-19,14565.0
2016-07-20,14310.0
2016-07-21,14800.0
2016-07-22,14830.0
2016-07-25,15060.0
2016-07-26,15010.0
2016-07-27,15070.0
2016-07-28,15335.0
2016-07-29,15320.0
2016-08-01,15315.0
2016-08-02,15630.0
2016-08-03,15605.0
2016-08-04,15970.0
2016-08-05,15775.0
2016-08-08,15920.0
2016-08-09,15545.0
2016-08-10,15350.0
2016-08-11,14995.0
2016-08-12,15205.0
2016-08-16,15500.0
2016-08-17,15410.0
2016-08-18,15320.0
2016-08-19,15490.0
2016-08-22,15530.0
2016-08-23,15805.0
2016-08-24,15895.0
2016-08-25,15175.0
2016-08-26,15000.0
2016-08-29,15355.0
2016-08-30,15195.0
2016-08-31,15130.0
2016-09-01,15070.0
2016-09-02,15055.0
2016-09-05,14865.0
2016-09-06,14850.0
2016-09-07,14990.0
2016-09-08,15285.0
2016-09-09,15550.0
2016-09-12,15180.0
2016-09-13,15710.0
2016-09-19,16035.0
2016-09-20,16360.0
2016-09-21,16790.0
2016-09-22,16780.0
2016-09-23,16960.0
2016-09-26,16715.0
2016-09-27,16610.0
2016-09-28,16745.0
2016-09-29,16550.0
2016-09-30,16060.0
2016-10-04,16275.0
2016-10-05,16305.0
2016-10-06,16505.0
2016-10-07,16110.0
2016-10-10,15910.0
2016-10-11,16300.0
2016-10-12,15910.0
2016-10-13,15530.0
2016-10-14,15530.0
2016-10-17,15135.0
2016-10-18,14935.0
2016-10-19,15035.0
2016-10-20,14825.0
2016-10-21,15205.0
2016-10-24,15125.0
2016-10-25,14985.0
2016-10-26,14800.0
2016-10-27,14805.0
2016-10-28,14640.0
2016-10-31,14505.0
2016-11-01,14290.0
2016-11-02,14540.0
2016-11-03,14150.0
2016-11-04,13605.0
2016-11-07,14050.0
2016-11-08,14560.0
2016-11-09,14800.0
2016-11-10,16325.0
2016-11-11,16910.0
2016-11-14,17170.0
2016-11-15,17680.0
2016-11-16,17490.0
2016-11-17,17095.0
2016-11-18,17465.0
2016-11-21,17340.0
2016-11-22,17350.0
2016-11-23,16860.0
2016-11-24,17300.0
2016-11-25,17270.0
2016-11-28,17335.0
2016-11-29,16690.0
2016-11-30,16740.0
2016-12-01,16325.0
2016-12-02,15905.0
2016-12-05,16225.0
2016-12-06,16450.0
2016-12-07,16740.0
2016-12-08,15985.0
2016-12-09,16055.0
2016-12-12,16090.0
2016-12-13,15890.0
2016-12-14,15900.0
2016-12-15,16025.0
2016-12-16,16355.0
2016-12-19,16390.0
2016-12-20,16265.0
2016-12-21,16385.0
2016-12-22,16180.0
2016-12-23,15860.0
2016-12-26,16415.0
2016-12-27,16550.0
2016-12-28,16450.0
2016-12-29,16190.0
2017-01-02,15950.0
2017-01-03,15890.0
2017-01-04,16050.0
2017-01-05,16535.0
2017-01-06,16540.0
2017-01-09,17070.0
2017-01-10,17405.0
2017-01-11,17415.0
2017-01-12,16730.0
2017-01-13,16900.0
2017-01-16,17035.0
2017-01-17,17045.0
2017-01-18,16500.0
2017-01-19,16800.0
2017-01-20,16600.0
2017-01-23,16400.0
2017-01-24,16180.0
2017-01-25,16240.0
2017-01-26,16200.0
2017-01-31,16160.0
2017-02-01,16700.0
2017-02-02,16640.0
2017-02-03,16605.0
2017-02-06,16735.0
2017-02-07,16800.0
2017-02-08,16620.0
2017-02-09,16770.0
