Date,KBSTAR 국고채3년
2016-07-19,112570.0
2016-07-20,112560.0
2016-07-21,112530.0
2016-07-22,112550.0
2016-07-25,112560.0
2016-07-26,112580.0
2016-07-27,112580.0
2016-07-28,112655.0
2016-07-29,112615.0
2016-08-01,112660.0
2016-08-02,112660.0
2016-08-03,112545.0
2016-08-04,112565.0
2016-08-05,112635.0
2016-08-08,112605.0
2016-08-09,112575.0
2016-08-10,112650.0
2016-08-11,112660.0
2016-08-12,112630.0
2016-08-16,112630.0
2016-08-17,112625.0
2016-08-18,112660.0
2016-08-19,112655.0
2016-08-22,112650.0
2016-08-23,112665.0
2016-08-24,112660.0
2016-08-25,112640.0
2016-08-26,112620.0
2016-08-29,112550.0
2016-08-30,112535.0
2016-08-31,112435.0
2016-09-01,112365.0
2016-09-02,112355.0
2016-09-05,112420.0
2016-09-06,112450.0
2016-09-07,112195.0
2016-09-08,112230.0
2016-09-09,112060.0
2016-09-12,111960.0
2016-09-13,111970.0
2016-09-19,111955.0
2016-09-20,111985.0
2016-09-21,111995.0
2016-09-22,112165.0
2016-09-23,112170.0
2016-09-26,112140.0
2016-09-27,112135.0
2016-09-28,112150.0
2016-09-29,112190.0
2016-09-30,112365.0
2016-10-04,112195.0
2016-10-05,112135.0
2016-10-06,112115.0
2016-10-07,112090.0
2016-10-10,112075.0
2016-10-11,111940.0
2016-10-12,111925.0
2016-10-13,112110.0
2016-10-14,112140.0
2016-10-17,112020.0
2016-10-18,112005.0
2016-10-19,112020.0
2016-10-20,112015.0
2016-10-21,111945.0
2016-10-24,111935.0
2016-10-25,111890.0
2016-10-26,111870.0
2016-10-27,111830.0
2016-10-28,111735.0
2016-10-31,111740.0
2016-11-01,111740.0
2016-11-02,111715.0
2016-11-03,111845.0
2016-11-04,111840.0
2016-11-07,111815.0
2016-11-08,111840.0
2016-11-09,111870.0
2016-11-10,111710.0
2016-11-11,111540.0
2016-11-14,111245.0
2016-11-15,111100.0
2016-11-16,110950.0
2016-11-17,110830.0
2016-11-18,110835.0
2016-11-21,110880.0
2016-11-22,110775.0
2016-11-23,110735.0
2016-11-24,110625.0
2016-11-25,110600.0
2016-11-28,110710.0
2016-11-29,110790.0
2016-11-30,110865.0
2016-12-01,110755.0
2016-12-02,110730.0
2016-12-05,110795.0
2016-12-06,110900.0
2016-12-07,110330.0
2016-12-08,110415.0
2016-12-09,110400.0
2016-12-12,110280.0
2016-12-13,110495.0
2016-12-14,110650.0
2016-12-15,110545.0
2016-12-16,110585.0
2016-12-19,110515.0
2016-12-20,110485.0
2016-12-21,110565.0
2016-12-22,110645.0
2016-12-23,110675.0
2016-12-26,110655.0
2016-12-27,110610.0
2016-12-28,110725.0
2016-12-29,110770.0
2017-01-02,110790.0
2017-01-03,110855.0
2017-01-04,110830.0
2017-01-05,110910.0
2017-01-06,110915.0
2017-01-09,110775.0
2017-01-10,110815.0
2017-01-11,110840.0
2017-01-12,110930.0
2017-01-13,110945.0
2017-01-16,110930.0
2017-01-17,110930.0
2017-01-18,110905.0
2017-01-19,110815.0
2017-01-20,110865.0
2017-01-23,110930.0
2017-01-24,110955.0
2017-01-25,110930.0
2017-01-26,110800.0
2017-01-31,110855.0
2017-02-01,110835.0
2017-02-02,110870.0
2017-02-03,110830.0
2017-02-06,110890.0
2017-02-07,111010.0
2017-02-08,110985.0
2017-02-09,111090.0
2017-02-10,110935.0
2017-02-13,110960.0
2017-02-14,110950.0
2017-02-15,110990.0
2017-02-16,110985.0
2017-02-17,111025.0
2017-02-20,110990.0
2017-02-21,110950.0
2017-02-22,110890.0
2017-02-23,110930.0
2017-02-24,111025.0
2017-02-27,111060.0
2017-02-28,111045.0
2017-03-02,110935.0
2017-03-03,110895.0
2017-03-06,110850.0
2017-03-07,110795.0
2017-03-08,110465.0
2017-03-09,110485.0
2017-03-10,110485.0
2017-03-13,110595.0
2017-03-14,110640.0
2017-03-15,110650.0
2017-03-16,110825.0
2017-03-17,110945.0
2017-03-20,110980.0
2017-03-21,110985.0
2017-03-22,110995.0
