Date,TIGER 차이나항셍25
2017-03-16,14730.0
2017-03-17,14765.0
2017-03-20,14790.0
2017-03-21,14840.0
2017-03-22,14590.0
2017-03-23,14540.0
2017-03-24,14610.0
2017-03-27,14455.0
2017-03-28,14530.0
2017-03-29,14610.0
2017-03-30,14525.0
2017-03-31,14440.0
2017-04-03,14305.0
2017-04-04,14510.0
2017-04-05,14550.0
2017-04-06,14730.0
2017-04-07,14600.0
2017-04-10,14745.0
2017-04-11,14745.0
2017-04-12,14580.0
2017-04-13,14550.0
2017-04-14,14740.0
2017-04-17,14600.0
2017-04-18,14550.0
2017-04-19,14420.0
2017-04-20,14460.0
2017-04-21,14505.0
2017-04-24,14405.0
2017-04-25,14635.0
2017-04-26,14685.0
2017-04-27,14690.0
2017-04-28,14745.0
2017-05-02,14530.0
2017-05-04,14420.0
2017-05-08,14465.0
2017-05-10,14825.0
2017-05-11,14705.0
2017-05-12,14680.0
2017-05-15,14860.0
2017-05-16,14965.0
2017-05-17,14785.0
2017-05-18,14830.0
2017-05-19,14800.0
2017-05-22,14815.0
2017-05-23,15010.0
2017-05-24,14890.0
2017-05-25,15065.0
2017-05-26,15055.0
2017-05-29,15070.0
2017-05-30,15075.0
2017-05-31,15170.0
2017-06-01,15130.0
2017-06-02,15195.0
2017-06-05,15170.0
2017-06-07,15270.0
2017-06-08,15270.0
2017-06-09,15240.0
2017-06-12,15150.0
2017-06-13,15245.0
2017-06-14,15145.0
2017-06-15,14960.0
2017-06-16,15180.0
2017-06-19,15260.0
2017-06-20,15330.0
2017-06-21,15330.0
2017-06-22,15195.0
2017-06-23,15305.0
2017-06-26,15365.0
2017-06-27,15365.0
2017-06-28,15310.0
2017-06-29,15300.0
2017-06-30,15300.0
2017-07-03,15295.0
2017-07-04,15400.0
2017-07-05,15415.0
2017-07-06,15340.0
2017-07-07,15440.0
2017-07-10,15440.0
2017-07-11,15500.0
2017-07-12,15665.0
2017-07-13,15720.0
2017-07-14,15835.0
2017-07-17,15760.0
2017-07-18,15775.0
2017-07-19,15850.0
2017-07-20,15965.0
2017-07-21,15695.0
2017-07-24,15770.0
2017-07-25,15790.0
2017-07-26,15920.0
2017-07-27,15920.0
2017-07-28,15810.0
2017-07-31,16035.0
2017-08-01,16205.0
2017-08-02,16440.0
2017-08-03,16330.0
2017-08-04,16285.0
2017-08-07,16300.0
2017-08-08,16375.0
2017-08-09,16425.0
2017-08-10,16400.0
2017-08-11,16140.0
2017-08-14,16180.0
2017-08-16,16410.0
2017-08-17,16395.0
2017-08-18,16285.0
2017-08-21,16375.0
2017-08-22,16640.0
2017-08-23,16570.0
2017-08-24,16665.0
2017-08-25,16780.0
2017-08-28,16965.0
2017-08-29,16900.0
2017-08-30,16985.0
2017-08-31,16855.0
2017-09-01,16865.0
2017-09-04,16860.0
2017-09-05,16950.0
2017-09-06,16775.0
2017-09-07,16705.0
2017-09-08,16880.0
2017-09-11,17010.0
2017-09-12,17045.0
2017-09-13,16905.0
2017-09-14,16960.0
2017-09-15,16905.0
2017-09-18,17105.0
2017-09-19,17200.0
2017-09-20,17190.0
2017-09-21,17275.0
2017-09-22,17120.0
2017-09-25,16780.0
2017-09-26,16750.0
2017-09-27,16970.0
2017-09-28,17060.0
2017-09-29,16960.0
2017-10-10,17605.0
2017-10-11,17645.0
2017-10-12,17600.0
2017-10-13,17510.0
2017-10-16,17700.0
2017-10-17,17790.0
2017-10-18,17730.0
2017-10-19,17745.0
2017-10-20,17635.0
2017-10-23,17585.0
2017-10-24,17420.0
2017-10-25,17475.0
2017-10-26,17435.0
2017-10-27,17700.0
2017-10-30,17620.0
2017-10-31,17425.0
2017-11-01,17485.0
2017-11-02,17610.0
2017-11-03,17590.0
2017-11-06,17555.0
2017-11-07,17895.0
2017-11-08,17895.0
2017-11-09,17990.0
2017-11-10,18125.0
2017-11-13,18140.0
2017-11-14,18035.0
2017-11-15,17695.0
2017-11-16,17610.0
2017-11-17,17760.0
2017-11-20,17760.0
2017-11-21,17995.0
2017-11-22,18105.0
2017-11-23,17870.0
2017-11-24,17870.0
2017-11-27,17750.0
2017-11-28,17565.0
2017-11-29,17560.0
2017-11-30,17335.0
2017-12-01,17200.0
2017-12-04,17415.0
2017-12-05,17270.0
2017-12-06,16900.0
2017-12-07,16875.0
2017-12-08,17080.0
2017-12-11,17185.0
2017-12-12,17160.0
2017-12-13,17395.0
2017-12-14,17280.0
2017-12-15,17090.0
2017-12-18,17200.0
2017-12-19,17325.0
2017-12-20,17600.0
2017-12-21,17350.0
2017-12-22,17350.0
2017-12-26,17715.0
2017-12-27,17350.0
2017-12-28,17390.0
2018-01-02,17760.0
2018-01-03,17870.0
2018-01-04,18020.0
2018-01-05,17975.0
2018-01-08,18095.0
2018-01-09,18175.0
2018-01-10,18360.0
2018-01-11,18300.0
2018-01-12,18420.0
2018-01-15,18560.0
2018-01-16,18665.0
2018-01-17,18705.0
2018-01-18,19055.0
2018-01-19,19200.0
2018-01-22,19410.0
2018-01-23,19805.0
2018-01-24,19825.0
2018-01-25,19620.0
2018-01-26,19915.0
2018-01-29,19810.0
2018-01-30,19680.0
2018-01-31,19525.0
2018-02-01,19860.0
2018-02-02,19915.0
2018-02-05,19900.0
2018-02-06,18995.0
2018-02-07,18440.0
2018-02-08,18435.0
2018-02-09,17635.0
2018-02-12,17740.0
2018-02-13,17800.0
2018-02-14,17940.0
2018-02-19,18520.0
2018-02-20,18385.0
2018-02-21,18615.0
2018-02-22,18690.0
2018-02-23,18860.0
2018-02-26,18785.0
2018-02-27,18570.0
2018-02-28,18345.0
2018-03-02,18100.0
2018-03-05,17765.0
2018-03-06,17865.0
2018-03-07,17695.0
2018-03-08,17955.0
2018-03-09,18260.0
2018-03-12,18420.0
2018-03-13,18600.0
2018-03-14,18335.0
2018-03-15,18580.0
2018-03-16,18600.0
2018-03-19,18680.0
2018-03-20,18675.0
2018-03-21,18875.0
2018-03-22,18640.0
2018-03-23,17940.0
2018-03-26,17925.0
2018-03-27,18290.0
2018-03-28,17910.0
2018-03-29,17715.0
2018-03-30,17900.0
2018-04-02,17905.0
2018-04-03,17485.0
2018-04-04,17490.0
2018-04-05,17695.0
2018-04-06,17470.0
2018-04-09,17715.0
2018-04-10,18235.0
2018-04-11,18270.0
2018-04-12,18125.0
2018-04-13,18150.0
2018-04-16,17945.0
2018-04-17,17735.0
2018-04-18,17700.0
2018-04-19,17905.0
2018-04-20,17865.0
2018-04-23,17760.0
2018-04-24,18090.0
2018-04-25,17980.0
2018-04-26,17685.0
2018-04-27,17685.0
2018-04-30,17995.0
2018-05-02,18000.0
2018-05-03,17700.0
2018-05-04,17590.0
2018-05-08,18050.0
2018-05-09,18095.0
2018-05-10,18120.0
2018-05-11,18270.0
2018-05-14,18470.0
2018-05-15,18345.0
2018-05-16,18435.0
2018-05-17,18430.0
2018-05-18,18450.0
2018-05-21,18690.0
2018-05-23,18315.0
2018-05-24,18125.0
2018-05-25,18030.0
2018-05-28,18075.0
2018-05-29,17920.0
2018-05-30,17740.0
2018-05-31,17800.0
2018-06-01,17910.0
2018-06-04,18245.0
2018-06-05,18295.0
2018-06-07,18505.0
2018-06-08,18445.0
2018-06-11,18400.0
2018-06-12,18580.0
2018-06-14,18180.0
2018-06-15,18340.0
2018-06-18,18410.0
2018-06-19,17875.0
2018-06-20,18120.0
2018-06-21,17870.0
2018-06-22,17650.0
2018-06-25,17615.0
2018-06-26,17520.0
2018-06-27,17140.0
2018-06-28,17150.0
2018-06-29,17490.0
2018-07-02,17595.0
2018-07-03,17200.0
2018-07-04,16950.0
2018-07-05,16840.0
2018-07-06,17245.0
2018-07-09,17355.0
2018-07-10,17435.0
2018-07-11,17200.0
2018-07-12,17645.0
2018-07-13,17535.0
2018-07-16,17650.0
2018-07-17,17130.0
2018-07-18,17210.0
2018-07-19,17200.0
2018-07-20,17180.0
2018-07-23,17435.0
2018-07-24,17775.0
2018-07-25,17770.0
2018-07-26,17550.0
2018-07-27,17535.0
2018-07-30,17365.0
2018-07-31,17380.0
2018-08-01,17370.0
2018-08-02,16895.0
2018-08-03,16995.0
2018-08-06,16985.0
2018-08-07,17295.0
2018-08-08,17170.0
2018-08-09,17410.0
2018-08-10,17515.0
2018-08-13,17250.0
2018-08-14,16915.0
2018-08-16,16630.0
2018-08-17,16620.0
2018-08-20,16735.0
2018-08-21,17000.0
2018-08-22,17185.0
2018-08-23,17165.0
2018-08-24,17200.0
2018-08-27,17455.0
2018-08-28,17315.0
2018-08-29,17465.0
2018-08-30,17220.0
2018-08-31,17130.0
2018-09-03,16975.0
2018-09-04,17320.0
2018-09-05,17000.0
2018-09-06,16750.0
2018-09-07,16750.0
2018-09-10,16750.0
2018-09-11,16640.0
2018-09-12,16505.0
2018-09-13,16680.0
2018-09-14,16895.0
2018-09-17,16900.0
2018-09-18,16800.0
2018-09-19,17130.0
2018-09-20,17165.0
2018-09-21,17555.0
2018-09-27,17235.0
2018-09-28,17260.0
2018-10-01,17310.0
2018-10-02,17010.0
2018-10-04,16830.0
2018-10-05,16800.0
