Date,TIGER 미국나스닥100
2016-11-01,24795.0
2016-11-02,24525.0
2016-11-03,24100.0
2016-11-04,24180.0
2016-11-07,24425.0
2016-11-08,24445.0
2016-11-09,23775.0
2016-11-10,25245.0
2016-11-11,24865.0
2016-11-14,25275.0
2016-11-15,24880.0
2016-11-16,25200.0
2016-11-17,25500.0
2016-11-18,25740.0
2016-11-21,25760.0
2016-11-22,25875.0
2016-11-23,25935.0
2016-11-24,25885.0
2016-11-25,25885.0
2016-11-28,25750.0
2016-11-29,25650.0
2016-11-30,25760.0
2016-12-01,25370.0
2016-12-02,25040.0
2016-12-05,25085.0
2016-12-06,25240.0
2016-12-07,25305.0
2016-12-08,25485.0
2016-12-09,25610.0
2016-12-12,25780.0
2016-12-13,25715.0
2016-12-14,26115.0
2016-12-15,26225.0
2016-12-16,26410.0
2016-12-19,26340.0
2016-12-20,26485.0
2016-12-21,26675.0
2016-12-22,26780.0
2016-12-23,26780.0
2016-12-26,26775.0
2016-12-27,26960.0
2016-12-28,27130.0
2016-12-29,26790.0
2017-01-02,26665.0
2017-01-03,26735.0
2017-01-04,26815.0
2017-01-05,26505.0
2017-01-06,26640.0
2017-01-09,27300.0
2017-01-10,27005.0
2017-01-11,27235.0
2017-01-12,26965.0
2017-01-13,26835.0
2017-01-16,26910.0
2017-01-17,26805.0
2017-01-18,26595.0
2017-01-19,26855.0
2017-01-20,26770.0
2017-01-23,26550.0
2017-01-24,26625.0
2017-01-25,26910.0
2017-01-26,27050.0
2017-01-31,26860.0
2017-02-01,26850.0
2017-02-02,26595.0
2017-02-03,26695.0
2017-02-06,26535.0
2017-02-07,26745.0
2017-02-08,26870.0
2017-02-09,26890.0
2017-02-10,27150.0
2017-02-13,27240.0
2017-02-14,27020.0
2017-02-15,27150.0
2017-02-16,27370.0
2017-02-17,27415.0
2017-02-20,27675.0
2017-02-21,27625.0
2017-02-22,27670.0
2017-02-23,27510.0
2017-02-24,27240.0
2017-02-27,27415.0
2017-02-28,27335.0
2017-03-02,27810.0
2017-03-03,27975.0
2017-03-06,28075.0
2017-03-07,27830.0
2017-03-08,27720.0
2017-03-09,28090.0
2017-03-10,28120.0
2017-03-13,27885.0
2017-03-14,27985.0
2017-03-15,27895.0
2017-03-16,27825.0
2017-03-17,27730.0
2017-03-20,27420.0
2017-03-21,27395.0
2017-03-22,27015.0
2017-03-23,27255.0
2017-03-24,27255.0
2017-03-27,26785.0
2017-03-28,27100.0
2017-03-29,27315.0
2017-03-30,27470.0
2017-03-31,27455.0
2017-04-03,27505.0
2017-04-04,27350.0
2017-04-05,27600.0
2017-04-06,27560.0
2017-04-07,27750.0
2017-04-10,28030.0
2017-04-11,28080.0
2017-04-12,27855.0
2017-04-13,27515.0
2017-04-14,27490.0
2017-04-17,27500.0
2017-04-18,27930.0
2017-04-19,27840.0
2017-04-20,27885.0
2017-04-21,27965.0
2017-04-24,28070.0
2017-04-25,28115.0
2017-04-26,28245.0
2017-04-27,28375.0
2017-04-28,28580.0
2017-05-02,28800.0
2017-05-04,28805.0
2017-05-08,28880.0
2017-05-10,29160.0
2017-05-11,28985.0
2017-05-12,28900.0
2017-05-15,28960.0
2017-05-16,28800.0
2017-05-17,28735.0
2017-05-18,28425.0
2017-05-19,28735.0
2017-05-22,28690.0
2017-05-23,28940.0
2017-05-24,29075.0
2017-05-25,29100.0
2017-05-26,29350.0
2017-05-29,29435.0
2017-05-30,29490.0
2017-05-31,29415.0
2017-06-01,29385.0
2017-06-02,29650.0
2017-06-05,29765.0
2017-06-07,29790.0
2017-06-08,29905.0
2017-06-09,29930.0
2017-06-12,29195.0
2017-06-13,29260.0
2017-06-14,29255.0
2017-06-15,29045.0
2017-06-16,29270.0
2017-06-19,29260.0
2017-06-20,29695.0
2017-06-21,29545.0
2017-06-22,29855.0
2017-06-23,29825.0
2017-06-26,29925.0
2017-06-27,29665.0
2017-06-28,29305.0
2017-06-29,29705.0
2017-06-30,29220.0
2017-07-03,29350.0
2017-07-04,29120.0
2017-07-05,29075.0
2017-07-06,29435.0
2017-07-07,29315.0
2017-07-10,29495.0
2017-07-11,29620.0
2017-07-12,29550.0
2017-07-13,29770.0
2017-07-14,29700.0
2017-07-17,29835.0
2017-07-18,29675.0
2017-07-19,29750.0
2017-07-20,30140.0
2017-07-21,29905.0
2017-07-24,29795.0
2017-07-25,29945.0
2017-07-26,30010.0
2017-07-27,30130.0
2017-07-28,29810.0
2017-07-31,29890.0
2017-08-01,29930.0
2017-08-02,30250.0
2017-08-03,30180.0
2017-08-04,30005.0
2017-08-07,30180.0
2017-08-08,30215.0
2017-08-09,30245.0
2017-08-10,30400.0
2017-08-11,29835.0
2017-08-14,30270.0
2017-08-16,30430.0
2017-08-17,30425.0
2017-08-18,30045.0
2017-08-21,29835.0
2017-08-22,29865.0
2017-08-23,30075.0
2017-08-24,29860.0
2017-08-25,29810.0
2017-08-28,29485.0
2017-08-29,29560.0
2017-08-30,29890.0
2017-08-31,30325.0
2017-09-01,30475.0
2017-09-04,30420.0
2017-09-05,30480.0
2017-09-06,30530.0
2017-09-07,30410.0
2017-09-08,30405.0
2017-09-11,30460.0
2017-09-12,30580.0
2017-09-13,30570.0
2017-09-14,30790.0
2017-09-15,30590.0
2017-09-18,30640.0
2017-09-19,30625.0
2017-09-20,30590.0
2017-09-21,30570.0
2017-09-22,30460.0
2017-09-25,30400.0
2017-09-26,30225.0
2017-09-27,30350.0
2017-09-28,30935.0
2017-09-29,30790.0
2017-10-10,31205.0
2017-10-11,31200.0
2017-10-12,31220.0
2017-10-13,31055.0
2017-10-16,31170.0
2017-10-17,31355.0
2017-10-18,31345.0
2017-10-19,31325.0
2017-10-20,31320.0
2017-10-23,31285.0
2017-10-24,31015.0
2017-10-25,31030.0
2017-10-26,30835.0
2017-10-27,31060.0
2017-10-30,31700.0
2017-10-31,31580.0
