Date,KOSEF 국고채10년
2018-01-18,114770.0
2018-01-19,114650.0
2018-01-22,114530.0
2018-01-23,114515.0
2018-01-24,114735.0
2018-01-25,114560.0
2018-01-26,114635.0
2018-01-29,113900.0
2018-01-30,113550.0
2018-01-31,113530.0
2018-02-01,113640.0
2018-02-02,113635.0
2018-02-05,113290.0
2018-02-06,113635.0
2018-02-07,114130.0
2018-02-08,113980.0
2018-02-09,113675.0
2018-02-12,113400.0
2018-02-13,113620.0
2018-02-14,113895.0
2018-02-19,113485.0
2018-02-20,113610.0
2018-02-21,113710.0
2018-02-22,113600.0
2018-02-23,113610.0
2018-02-26,113840.0
2018-02-27,114065.0
2018-02-28,114185.0
2018-03-02,114320.0
2018-03-05,114105.0
2018-03-06,114205.0
2018-03-07,114285.0
2018-03-08,114345.0
2018-03-09,114350.0
2018-03-12,114180.0
2018-03-13,114050.0
2018-03-14,114410.0
2018-03-15,114540.0
2018-03-16,114535.0
2018-03-19,114435.0
2018-03-20,114410.0
2018-03-21,114500.0
2018-03-22,114625.0
2018-03-23,115155.0
2018-03-26,114970.0
2018-03-27,114950.0
2018-03-28,115405.0
2018-03-29,115320.0
2018-03-30,115500.0
2018-04-02,115350.0
2018-04-03,115315.0
2018-04-04,115405.0
2018-04-05,115530.0
2018-04-06,115675.0
2018-04-09,115625.0
2018-04-10,115600.0
2018-04-11,115805.0
2018-04-12,115950.0
2018-04-13,115850.0
2018-04-16,115630.0
2018-04-17,115560.0
2018-04-18,115415.0
2018-04-19,115315.0
2018-04-20,115295.0
2018-04-23,114885.0
2018-04-24,114870.0
2018-04-25,114535.0
2018-04-26,114530.0
2018-04-27,115000.0
2018-04-30,115015.0
2018-05-02,114645.0
2018-05-03,114640.0
2018-05-04,114510.0
2018-05-08,114305.0
2018-05-09,114325.0
2018-05-10,114475.0
2018-05-11,114400.0
2018-05-14,114280.0
2018-05-15,114140.0
2018-05-16,114230.0
2018-05-17,114375.0
2018-05-18,114330.0
2018-05-21,114530.0
2018-05-23,114700.0
2018-05-24,115045.0
2018-05-25,115145.0
2018-05-28,115045.0
2018-05-29,115275.0
2018-05-30,115455.0
2018-05-31,115420.0
2018-06-01,115380.0
2018-06-04,115200.0
2018-06-05,115080.0
2018-06-07,114955.0
2018-06-08,114915.0
2018-06-11,115070.0
2018-06-12,115135.0
2018-06-14,115275.0
2018-06-15,115565.0
2018-06-18,115840.0
2018-06-19,116055.0
2018-06-20,116215.0
2018-06-21,116300.0
2018-06-22,116340.0
2018-06-25,116315.0
2018-06-26,116325.0
2018-06-27,116625.0
2018-06-28,116905.0
2018-06-29,116820.0
2018-07-02,117105.0
2018-07-03,116830.0
2018-07-04,116925.0
2018-07-05,117125.0
2018-07-06,116970.0
2018-07-09,116850.0
2018-07-10,116920.0
2018-07-11,117170.0
2018-07-12,117215.0
2018-07-13,117050.0
2018-07-16,117160.0
2018-07-17,117115.0
2018-07-18,117225.0
2018-07-19,117200.0
2018-07-20,117320.0
2018-07-23,117300.0
2018-07-24,116910.0
2018-07-25,117050.0
2018-07-26,117050.0
2018-07-27,116965.0
2018-07-30,116965.0
2018-07-31,117150.0
2018-08-01,116810.0
2018-08-02,116895.0
2018-08-03,117000.0
2018-08-06,116970.0
2018-08-07,117195.0
2018-08-08,117150.0
2018-08-09,117460.0
2018-08-10,117700.0
2018-08-13,117765.0
2018-08-14,117610.0
2018-08-16,117940.0
2018-08-17,118345.0
2018-08-20,118495.0
2018-08-21,118945.0
2018-08-22,118945.0
2018-08-23,118755.0
2018-08-24,118840.0
2018-08-27,119095.0
2018-08-28,119205.0
2018-08-29,119225.0
2018-08-30,119160.0
