Date,파워 200
2017-03-14,28500.0
2017-03-15,28555.0
2017-03-16,28750.0
2017-03-17,28930.0
2017-03-20,28860.0
2017-03-21,29160.0
2017-03-22,29045.0
2017-03-23,29055.0
2017-03-24,29050.0
2017-03-27,28845.0
2017-03-28,28940.0
2017-03-29,29025.0
2017-03-30,28980.0
2017-03-31,28970.0
2017-04-03,29010.0
2017-04-04,28920.0
2017-04-05,28870.0
2017-04-06,28755.0
2017-04-07,28710.0
2017-04-10,28560.0
2017-04-11,28440.0
2017-04-12,28440.0
2017-04-13,28700.0
2017-04-14,28600.0
2017-04-17,28680.0
2017-04-18,28645.0
2017-04-19,28550.0
2017-04-20,28630.0
2017-04-21,28875.0
2017-04-24,29015.0
2017-04-25,29300.0
2017-04-26,29525.0
2017-04-27,29075.0
2017-04-28,29165.0
2017-05-02,29345.0
2017-05-04,29650.0
2017-05-08,30365.0
2017-05-10,30185.0
2017-05-11,30430.0
2017-05-12,30305.0
2017-05-15,30390.0
2017-05-16,30445.0
2017-05-17,30405.0
2017-05-18,30335.0
2017-05-19,30275.0
2017-05-22,30540.0
2017-05-23,30635.0
2017-05-24,30630.0
2017-05-25,31010.0
2017-05-26,31200.0
2017-05-29,31170.0
2017-05-30,30985.0
2017-05-31,30975.0
2017-06-01,30920.0
2017-06-02,31280.0
2017-06-05,31250.0
2017-06-07,31100.0
2017-06-08,31205.0
2017-06-09,31435.0
2017-06-12,31100.0
2017-06-13,31260.0
2017-06-14,31275.0
2017-06-15,31115.0
2017-06-16,31165.0
2017-06-19,31345.0
2017-06-20,31390.0
2017-06-21,31190.0
2017-06-22,31430.0
2017-06-23,31530.0
2017-06-26,31715.0
2017-06-27,31710.0
2017-06-28,31610.0
2017-06-29,31800.0
2017-06-30,31745.0
2017-07-03,31770.0
2017-07-04,31585.0
2017-07-05,31730.0
2017-07-06,31725.0
2017-07-07,31595.0
2017-07-10,31685.0
2017-07-11,31870.0
2017-07-12,31885.0
2017-07-13,32245.0
2017-07-14,32275.0
2017-07-17,32395.0
2017-07-18,32375.0
2017-07-19,32425.0
2017-07-20,32620.0
2017-07-21,32720.0
2017-07-24,32740.0
2017-07-25,32560.0
2017-07-26,32500.0
2017-07-27,32595.0
2017-07-28,31940.0
2017-07-31,31995.0
2017-08-01,32240.0
2017-08-02,32320.0
2017-08-03,31780.0
2017-08-04,31870.0
2017-08-07,31900.0
2017-08-08,31865.0
2017-08-09,31510.0
2017-08-10,31330.0
2017-08-11,30755.0
2017-08-14,30990.0
2017-08-16,31190.0
2017-08-17,31405.0
2017-08-18,31340.0
2017-08-21,31310.0
2017-08-22,31460.0
2017-08-23,31455.0
2017-08-24,31590.0
2017-08-25,31645.0
2017-08-28,31465.0
2017-08-29,31365.0
