Date,KOSEF 미국달러선물
2016-02-01,12315.0
2016-02-02,12390.0
2016-02-03,12525.0
2016-02-04,12360.0
2016-02-05,12300.0
2016-02-11,12360.0
2016-02-12,12435.0
2016-02-15,12395.0
2016-02-16,12470.0
2016-02-17,12615.0
2016-02-18,12585.0
2016-02-19,12660.0
2016-02-22,12665.0
2016-02-23,12625.0
2016-02-24,12665.0
2016-02-25,12700.0
2016-02-26,12695.0
2016-02-29,12720.0
2016-03-02,12600.0
2016-03-03,12480.0
2016-03-04,12360.0
2016-03-07,12315.0
2016-03-08,12370.0
2016-03-09,12490.0
2016-03-10,12355.0
2016-03-11,12255.0
2016-03-14,12160.0
2016-03-15,12200.0
2016-03-16,12235.0
2016-03-17,12040.0
2016-03-18,11935.0
2016-03-21,11955.0
2016-03-22,11840.0
2016-03-23,11925.0
2016-03-24,11960.0
2016-03-25,12010.0
2016-03-28,11970.0
2016-03-29,11950.0
2016-03-30,11820.0
2016-03-31,11745.0
2016-04-01,11855.0
2016-04-04,11775.0
2016-04-05,11870.0
2016-04-06,11870.0
2016-04-07,11830.0
2016-04-08,11850.0
2016-04-11,11775.0
2016-04-12,11760.0
2016-04-14,11860.0
2016-04-15,11770.0
2016-04-18,11815.0
2016-04-19,11670.0
2016-04-20,11655.0
2016-04-21,11635.0
2016-04-22,11715.0
2016-04-25,11785.0
2016-04-26,11800.0
2016-04-27,11785.0
2016-04-28,11695.0
2016-04-29,11695.0
2016-05-02,11670.0
2016-05-03,11715.0
2016-05-04,11845.0
2016-05-09,11960.0
2016-05-10,12025.0
2016-05-11,11975.0
2016-05-12,11920.0
2016-05-13,12020.0
2016-05-16,12105.0
2016-05-17,12040.0
2016-05-18,12130.0
2016-05-19,12215.0
2016-05-20,12210.0
2016-05-23,12130.0
2016-05-24,12230.0
2016-05-25,12150.0
2016-05-26,12125.0
2016-05-27,12115.0
2016-05-30,12230.0
2016-05-31,12235.0
2016-06-01,12230.0
2016-06-02,12190.0
2016-06-03,12150.0
2016-06-07,11940.0
2016-06-08,11870.0
2016-06-09,11865.0
2016-06-10,11960.0
2016-06-13,12050.0
2016-06-14,12045.0
2016-06-15,12070.0
2016-06-16,12020.0
2016-06-17,12040.0
2016-06-20,11925.0
2016-06-21,11875.0
2016-06-22,11870.0
2016-06-23,11825.0
2016-06-24,12135.0
2016-06-27,12145.0
2016-06-28,12035.0
2016-06-29,11940.0
2016-06-30,11840.0
2016-07-01,11775.0
2016-07-04,11785.0
2016-07-05,11890.0
2016-07-06,11995.0
2016-07-07,11880.0
2016-07-08,11935.0
2016-07-11,11805.0
2016-07-12,11815.0
2016-07-13,11790.0
2016-07-14,11715.0
2016-07-15,11670.0
2016-07-18,11690.0
2016-07-19,11690.0
2016-07-20,11735.0
2016-07-21,11695.0
2016-07-22,11680.0
2016-07-25,11705.0
2016-07-26,11675.0
2016-07-27,11665.0
2016-07-28,11570.0
2016-07-29,11540.0
2016-08-01,11415.0
2016-08-02,11425.0
2016-08-03,11490.0
2016-08-04,11460.0
2016-08-05,11425.0
2016-08-08,11405.0
2016-08-09,11370.0
2016-08-10,11265.0
2016-08-11,11305.0
2016-08-12,11330.0
2016-08-16,11235.0
2016-08-17,11395.0
2016-08-18,11400.0
2016-08-19,11500.0
2016-08-22,11590.0
2016-08-23,11470.0
2016-08-24,11535.0
2016-08-25,11475.0
2016-08-26,11450.0
2016-08-29,11580.0
2016-08-30,11525.0
2016-08-31,11480.0
2016-09-01,11530.0
2016-09-02,11485.0
2016-09-05,11370.0
2016-09-06,11355.0
2016-09-07,11210.0
2016-09-08,11240.0
2016-09-09,11295.0
2016-09-12,11435.0
2016-09-13,11515.0
2016-09-19,11500.0
2016-09-20,11520.0
2016-09-21,11535.0
2016-09-22,11350.0
2016-09-23,11340.0
2016-09-26,11390.0
2016-09-27,11280.0
2016-09-28,11280.0
2016-09-29,11300.0
2016-09-30,11335.0
2016-10-04,11395.0
2016-10-05,11460.0
2016-10-06,11450.0
2016-10-07,11475.0
2016-10-10,11405.0
2016-10-11,11530.0
2016-10-12,11560.0
2016-10-13,11670.0
2016-10-14,11645.0
2016-10-17,11720.0
2016-10-18,11630.0
2016-10-19,11575.0
2016-10-20,11605.0
2016-10-21,11670.0
2016-10-24,11645.0
2016-10-25,11670.0
2016-10-26,11670.0
2016-10-27,11745.0
2016-10-28,11775.0
2016-10-31,11760.0
2016-11-01,11735.0
2016-11-02,11815.0
2016-11-03,11715.0
2016-11-04,11770.0
2016-11-07,11760.0
2016-11-08,11670.0
2016-11-09,11820.0
2016-11-10,11845.0
2016-11-11,11975.0
2016-11-14,12045.0
2016-11-15,12030.0
2016-11-16,12020.0
2016-11-17,12085.0
2016-11-18,12145.0
2016-11-21,12180.0
2016-11-22,12070.0
2016-11-23,12085.0
2016-11-24,12115.0
2016-11-25,12085.0
2016-11-28,12010.0
2016-11-29,12000.0
2016-11-30,12005.0
2016-12-01,11995.0
2016-12-02,12040.0
2016-12-05,12075.0
2016-12-06,12020.0
2016-12-07,12010.0
2016-12-08,11910.0
2016-12-09,11980.0
2016-12-12,12000.0
2016-12-13,11990.0
2016-12-14,12025.0
2016-12-15,12120.0
2016-12-16,12170.0
2016-12-19,12205.0
2016-12-20,12270.0
2016-12-21,12255.0
2016-12-22,12320.0
2016-12-23,12370.0
2016-12-26,12345.0
2016-12-27,12415.0
2016-12-28,12305.0
2016-12-29,12290.0
2017-01-02,12300.0
2017-01-03,12240.0
2017-01-04,12265.0
2017-01-05,12075.0
2017-01-06,12140.0
2017-01-09,12300.0
2017-01-10,12165.0
2017-01-11,12170.0
2017-01-12,12060.0
2017-01-13,11950.0
2017-01-16,12040.0
2017-01-17,11960.0
2017-01-18,11880.0
2017-01-19,11980.0
2017-01-20,11910.0
2017-01-23,11865.0
2017-01-24,11865.0
2017-01-25,11875.0
2017-01-26,11805.0
2017-01-31,11825.0
2017-02-01,11790.0
2017-02-02,11680.0
2017-02-03,11685.0
2017-02-06,11590.0
2017-02-07,11650.0
2017-02-08,11680.0
