Date,TREX 200
2016-04-21,25655.0
2016-04-22,25550.0
2016-04-25,25505.0
2016-04-26,25600.0
2016-04-27,25585.0
2016-04-28,24885.0
2016-04-29,24865.0
2016-05-02,24605.0
2016-05-03,24685.0
2016-05-04,24550.0
2016-05-09,24505.0
2016-05-10,24625.0
2016-05-11,24575.0
2016-05-12,24540.0
2016-05-13,24330.0
2016-05-16,24370.0
2016-05-17,24375.0
2016-05-18,24235.0
2016-05-19,24165.0
2016-05-20,24170.0
2016-05-23,24240.0
2016-05-24,24070.0
2016-05-25,24380.0
2016-05-26,24370.0
2016-05-27,24490.0
2016-05-30,24455.0
2016-05-31,24690.0
2016-06-01,24630.0
2016-06-02,24680.0
2016-06-03,24715.0
2016-06-07,25055.0
2016-06-08,25250.0
2016-06-09,25275.0
2016-06-10,25180.0
2016-06-13,24680.0
2016-06-14,24590.0
2016-06-15,24555.0
2016-06-16,24400.0
2016-06-17,24440.0
2016-06-20,24770.0
2016-06-21,24765.0
2016-06-22,24915.0
2016-06-23,24930.0
2016-06-24,24140.0
2016-06-27,24235.0
2016-06-28,24275.0
2016-06-29,24550.0
2016-06-30,24770.0
2016-07-01,24955.0
2016-07-04,25040.0
2016-07-05,24990.0
2016-07-06,24490.0
2016-07-07,24770.0
2016-07-08,24645.0
2016-07-11,25015.0
2016-07-12,25020.0
2016-07-13,25150.0
2016-07-14,25220.0
2016-07-15,25360.0
2016-07-18,25405.0
2016-07-19,25355.0
2016-07-20,25315.0
2016-07-21,25345.0
2016-07-22,25320.0
2016-07-25,25340.0
2016-07-26,25560.0
2016-07-27,25560.0
2016-07-28,25420.0
2016-07-29,25515.0
2016-08-01,25675.0
2016-08-02,25500.0
2016-08-03,25175.0
2016-08-04,25225.0
2016-08-05,25510.0
2016-08-08,25690.0
2016-08-09,25890.0
2016-08-10,25810.0
2016-08-11,25840.0
2016-08-12,25900.0
2016-08-16,25935.0
2016-08-17,25875.0
2016-08-18,26070.0
2016-08-19,26130.0
2016-08-22,25985.0
2016-08-23,26115.0
2016-08-24,26000.0
2016-08-25,25995.0
2016-08-26,25940.0
2016-08-29,25920.0
2016-08-30,26050.0
2016-08-31,26060.0
2016-09-01,25880.0
2016-09-02,25905.0
2016-09-05,26255.0
2016-09-06,26365.0
2016-09-07,26365.0
2016-09-08,26305.0
2016-09-09,25980.0
2016-09-12,25345.0
2016-09-13,25430.0
2016-09-19,25680.0
2016-09-20,25730.0
2016-09-21,25880.0
2016-09-22,26100.0
2016-09-23,26110.0
2016-09-26,26020.0
2016-09-27,26190.0
2016-09-28,26085.0
2016-09-29,26315.0
2016-09-30,26375.0
2016-10-04,26165.0
2016-10-05,26170.0
2016-10-06,26350.0
2016-10-07,26265.0
2016-10-10,26315.0
2016-10-11,25925.0
2016-10-12,25915.0
2016-10-13,25685.0
2016-10-14,25810.0
2016-10-17,25865.0
2016-10-18,26045.0
2016-10-19,26080.0
2016-10-20,26080.0
2016-10-21,25995.0
2016-10-24,26185.0
2016-10-25,26135.0
2016-10-26,25830.0
2016-10-27,25955.0
2016-10-28,25955.0
2016-10-31,25955.0
2016-11-01,25905.0
2016-11-02,25585.0
2016-11-03,25640.0
2016-11-04,25580.0
2016-11-07,25800.0
2016-11-08,25830.0
2016-11-09,25310.0
2016-11-10,25820.0
2016-11-11,25565.0
2016-11-14,25365.0
2016-11-15,25265.0
2016-11-16,25355.0
2016-11-17,25330.0
2016-11-18,25335.0
2016-11-21,25270.0
2016-11-22,25565.0
2016-11-23,25675.0
2016-11-24,25560.0
2016-11-25,25545.0
2016-11-28,25640.0
2016-11-29,25635.0
2016-11-30,25775.0
2016-12-01,25780.0
2016-12-02,25615.0
2016-12-05,25575.0
2016-12-06,25880.0
2016-12-07,25955.0
2016-12-08,26410.0
2016-12-09,26415.0
2016-12-12,26385.0
2016-12-13,26445.0
2016-12-14,26475.0
2016-12-15,26445.0
2016-12-16,26495.0
2016-12-19,26500.0
2016-12-20,26565.0
2016-12-21,26540.0
2016-12-22,26525.0
2016-12-23,26490.0
2016-12-26,26515.0
2016-12-27,26545.0
2016-12-28,26650.0
2016-12-29,26780.0
2017-01-02,26750.0
2017-01-03,26960.0
2017-01-04,27000.0
2017-01-05,26900.0
2017-01-06,27005.0
2017-01-09,27070.0
2017-01-10,27045.0
2017-01-11,27545.0
2017-01-12,27595.0
2017-01-13,27535.0
2017-01-16,27365.0
2017-01-17,27465.0
2017-01-18,27460.0
2017-01-19,27475.0
2017-01-20,27425.0
2017-01-23,27430.0
2017-01-24,27450.0
2017-01-25,27520.0
2017-01-26,27750.0
2017-01-31,27615.0
2017-02-01,27700.0
2017-02-02,27570.0
2017-02-03,27620.0
2017-02-06,27685.0
2017-02-07,27625.0
2017-02-08,27495.0
2017-02-09,27545.0
2017-02-10,27590.0
2017-02-13,27605.0
2017-02-14,27535.0
2017-02-15,27605.0
2017-02-16,27605.0
2017-02-17,27600.0
2017-02-20,27690.0
2017-02-21,27950.0
2017-02-22,28010.0
2017-02-23,28005.0
2017-02-24,27780.0
2017-02-27,27680.0
2017-02-28,27800.0
2017-03-02,27985.0
2017-03-03,27710.0
2017-03-06,27750.0
2017-03-07,27910.0
2017-03-08,27950.0
2017-03-09,27905.0
2017-03-10,27945.0
2017-03-13,28245.0
2017-03-14,28500.0
2017-03-15,28555.0
2017-03-16,28735.0
2017-03-17,28885.0
2017-03-20,28840.0
2017-03-21,29110.0
2017-03-22,29005.0
2017-03-23,29050.0
2017-03-24,29025.0
2017-03-27,28835.0
2017-03-28,28900.0
2017-03-29,28980.0
2017-03-30,28965.0
2017-03-31,28965.0
2017-04-03,28965.0
2017-04-04,28900.0
2017-04-05,28850.0
2017-04-06,28735.0
2017-04-07,28700.0
2017-04-10,28535.0
2017-04-11,28410.0
2017-04-12,28420.0
2017-04-13,28680.0
2017-04-14,28565.0
2017-04-17,28625.0
2017-04-18,28625.0
