Date,TIGER 반도체
2016-08-01,19905.0
2016-08-02,19710.0
2016-08-03,19825.0
2016-08-04,19665.0
2016-08-05,20000.0
2016-08-08,19850.0
2016-08-09,19940.0
2016-08-10,19610.0
2016-08-11,19570.0
2016-08-12,19540.0
2016-08-16,19205.0
2016-08-17,19110.0
2016-08-18,19690.0
2016-08-19,20035.0
2016-08-22,19830.0
2016-08-23,19995.0
2016-08-24,19825.0
2016-08-25,19750.0
2016-08-26,19580.0
2016-08-29,19350.0
2016-08-30,19340.0
2016-08-31,19265.0
2016-09-01,19095.0
2016-09-02,19210.0
2016-09-05,19270.0
2016-09-06,19430.0
2016-09-07,19180.0
2016-09-08,19145.0
2016-09-09,18915.0
2016-09-12,18355.0
2016-09-13,18600.0
2016-09-19,18810.0
2016-09-20,19240.0
2016-09-21,19200.0
2016-09-22,19760.0
2016-09-23,19560.0
2016-09-26,19535.0
2016-09-27,19610.0
2016-09-28,19685.0
2016-09-29,19710.0
2016-09-30,19695.0
2016-10-04,20015.0
2016-10-05,20015.0
2016-10-06,20010.0
2016-10-07,19860.0
2016-10-10,19635.0
2016-10-11,19515.0
2016-10-12,19400.0
2016-10-13,19010.0
2016-10-14,19360.0
2016-10-17,19220.0
2016-10-18,19230.0
2016-10-19,19080.0
2016-10-20,18865.0
2016-10-21,18755.0
2016-10-24,18660.0
2016-10-25,18515.0
2016-10-26,18625.0
2016-10-27,19375.0
2016-10-28,19290.0
2016-10-31,18915.0
2016-11-01,18980.0
2016-11-02,18470.0
2016-11-03,18585.0
2016-11-04,18580.0
2016-11-07,18990.0
2016-11-08,18905.0
2016-11-09,18415.0
2016-11-10,18550.0
2016-11-11,18425.0
2016-11-14,18310.0
2016-11-15,18355.0
2016-11-16,18625.0
2016-11-17,18775.0
2016-11-18,18640.0
2016-11-21,18310.0
2016-11-22,18615.0
2016-11-23,18515.0
2016-11-24,18445.0
2016-11-25,18555.0
2016-11-28,18465.0
2016-11-29,18590.0
2016-11-30,18655.0
2016-12-01,18660.0
2016-12-02,18545.0
2016-12-05,18430.0
2016-12-06,18635.0
2016-12-07,18530.0
2016-12-08,18900.0
2016-12-09,18860.0
2016-12-12,19020.0
2016-12-13,19490.0
2016-12-14,19775.0
2016-12-15,20080.0
2016-12-16,20215.0
2016-12-19,20025.0
2016-12-20,19840.0
2016-12-21,20090.0
2016-12-22,20160.0
2016-12-23,20395.0
2016-12-26,20025.0
2016-12-27,20230.0
2016-12-28,20410.0
2016-12-29,20570.0
2017-01-02,20695.0
2017-01-03,20895.0
2017-01-04,20580.0
2017-01-05,20520.0
2017-01-06,20745.0
2017-01-09,21195.0
2017-01-10,20975.0
2017-01-11,21360.0
2017-01-12,21125.0
2017-01-13,21055.0
2017-01-16,20520.0
2017-01-17,20525.0
2017-01-18,20680.0
2017-01-19,20685.0
2017-01-20,20470.0
2017-01-23,20650.0
2017-01-24,20570.0
2017-01-25,20770.0
2017-01-26,21110.0
2017-01-31,21265.0
2017-02-01,21225.0
2017-02-02,20915.0
2017-02-03,20895.0
2017-02-06,20705.0
2017-02-07,20350.0
2017-02-08,20730.0
2017-02-09,20580.0
2017-02-10,20085.0
2017-02-13,20245.0
2017-02-14,19975.0
2017-02-15,19955.0
2017-02-16,20400.0
2017-02-17,20695.0
2017-02-20,20845.0
2017-02-21,20940.0
2017-02-22,20915.0
2017-02-23,20585.0
2017-02-24,20175.0
2017-02-27,20030.0
2017-02-28,20170.0
2017-03-02,20160.0
2017-03-03,19955.0
2017-03-06,20570.0
2017-03-07,20575.0
2017-03-08,20550.0
2017-03-09,20565.0
2017-03-10,20760.0
2017-03-13,21020.0
