Date,KBSTAR 5대그룹주
2017-10-12,5975.0
2017-10-13,5955.0
2017-10-16,5950.0
2017-10-17,5930.0
2017-10-18,5915.0
2017-10-19,5905.0
2017-10-20,5950.0
2017-10-23,6000.0
2017-10-24,5975.0
2017-10-25,5960.0
2017-10-26,5955.0
2017-10-27,5990.0
2017-10-30,6010.0
2017-10-31,6105.0
2017-11-01,6200.0
2017-11-02,6180.0
2017-11-03,6190.0
2017-11-06,6175.0
2017-11-07,6110.0
2017-11-08,6155.0
2017-11-09,6145.0
2017-11-10,6135.0
2017-11-13,6090.0
2017-11-14,6075.0
2017-11-15,6055.0
2017-11-16,6080.0
2017-11-17,6100.0
2017-11-20,6055.0
2017-11-21,6065.0
2017-11-22,6130.0
2017-11-23,6120.0
2017-11-24,6110.0
2017-11-27,6040.0
2017-11-28,6045.0
2017-11-29,6060.0
2017-11-30,5985.0
2017-12-01,5975.0
2017-12-04,6030.0
2017-12-05,6020.0
2017-12-06,5950.0
2017-12-07,5935.0
2017-12-08,5940.0
2017-12-11,5925.0
2017-12-12,5855.0
2017-12-13,5920.0
2017-12-14,5975.0
2017-12-15,5930.0
2017-12-18,5945.0
2017-12-19,5945.0
2017-12-20,5965.0
2017-12-21,5845.0
2017-12-22,5860.0
2017-12-26,5815.0
2017-12-27,5935.0
2017-12-28,6015.0
2018-01-02,5995.0
2018-01-03,6000.0
2018-01-04,5950.0
2018-01-05,6030.0
2018-01-08,6085.0
2018-01-09,6095.0
2018-01-10,6085.0
2018-01-11,6085.0
2018-01-12,6090.0
2018-01-15,6085.0
2018-01-16,6140.0
2018-01-17,6150.0
2018-01-18,6120.0
2018-01-19,6165.0
2018-01-22,6125.0
2018-01-23,6150.0
2018-01-24,6145.0
2018-01-25,6225.0
2018-01-26,6160.0
2018-01-29,6240.0
2018-01-30,6175.0
2018-01-31,6195.0
2018-02-01,6180.0
2018-02-02,6085.0
2018-02-05,6010.0
2018-02-06,5910.0
2018-02-07,5815.0
2018-02-08,5875.0
2018-02-09,5735.0
2018-02-12,5765.0
2018-02-13,5820.0
2018-02-14,5860.0
2018-02-19,5890.0
2018-02-20,5835.0
2018-02-21,5885.0
2018-02-22,5855.0
2018-02-23,5935.0
2018-02-26,5985.0
2018-02-27,5975.0
2018-02-28,5920.0
2018-03-02,5840.0
2018-03-05,5800.0
2018-03-06,5920.0
2018-03-07,5890.0
2018-03-08,5920.0
2018-03-09,6010.0
2018-03-12,6080.0
2018-03-13,6125.0
2018-03-14,6150.0
2018-03-15,6175.0
2018-03-16,6185.0
2018-03-19,6135.0
2018-03-20,6150.0
2018-03-21,6150.0
2018-03-22,6135.0
2018-03-23,5970.0
2018-03-26,6025.0
2018-03-27,6070.0
2018-03-28,6020.0
2018-03-29,6005.0
2018-03-30,6025.0
2018-04-02,6030.0
2018-04-03,6060.0
2018-04-04,6020.0
2018-04-05,6080.0
2018-04-06,6020.0
2018-04-09,6070.0
2018-04-10,6080.0
2018-04-11,6030.0
2018-04-12,6080.0
2018-04-13,6060.0
2018-04-16,6040.0
2018-04-17,6070.0
2018-04-18,6110.0
2018-04-19,6105.0
2018-04-20,6105.0
2018-04-23,6090.0
2018-04-24,6050.0
2018-04-25,5970.0
2018-04-26,6030.0
2018-04-27,6000.0
2018-04-30,6055.0
2018-05-02,5985.0
2018-05-03,5970.0
2018-05-04,5885.0
2018-05-08,5840.0
2018-05-09,5865.0
2018-05-10,5885.0
2018-05-11,5935.0
2018-05-14,5940.0
2018-05-15,5875.0
2018-05-16,5905.0
2018-05-17,5880.0
2018-05-18,5905.0
2018-05-21,5930.0
2018-05-23,5965.0
2018-05-24,5920.0
2018-05-25,5930.0
2018-05-28,5960.0
2018-05-29,5930.0
2018-05-30,5835.0
2018-05-31,5820.0
2018-06-01,5835.0
2018-06-04,5890.0
2018-06-05,5925.0
