Date,TIGER 200커버드콜5%OTM
2016-01-12,9880.0
2016-01-13,10015.0
2016-01-14,9930.0
2016-01-15,9935.0
2016-01-18,9820.0
2016-01-19,9850.0
2016-01-20,9685.0
2016-01-21,9635.0
2016-01-22,9830.0
2016-01-25,9890.0
2016-01-26,9780.0
2016-01-27,9895.0
2016-01-28,9915.0
2016-01-29,9895.0
2016-02-01,9990.0
2016-02-02,9950.0
2016-02-03,9850.0
2016-02-04,9995.0
2016-02-05,10025.0
2016-02-11,9770.0
2016-02-12,9705.0
2016-02-15,9820.0
2016-02-16,9950.0
2016-02-17,9970.0
2016-02-18,10040.0
2016-02-19,10040.0
2016-02-22,10065.0
2016-02-23,10080.0
2016-02-24,10080.0
2016-02-25,10095.0
2016-02-26,10105.0
2016-02-29,10105.0
2016-03-02,10220.0
2016-03-03,10235.0
2016-03-04,10260.0
2016-03-07,10260.0
2016-03-08,10205.0
2016-03-09,10245.0
2016-03-10,10240.0
2016-03-11,10325.0
2016-03-14,10330.0
2016-03-15,10320.0
2016-03-16,10340.0
2016-03-17,10415.0
2016-03-18,10410.0
2016-03-21,10410.0
2016-03-22,10435.0
2016-03-23,10435.0
2016-03-24,10425.0
2016-03-25,10400.0
2016-03-28,10435.0
2016-03-29,10460.0
2016-03-30,10505.0
2016-03-31,10505.0
2016-04-01,10350.0
2016-04-04,10325.0
2016-04-05,10275.0
2016-04-06,10310.0
2016-04-07,10375.0
2016-04-08,10315.0
2016-04-11,10315.0
2016-04-12,10380.0
2016-04-14,10575.0
2016-04-15,10595.0
2016-04-18,10535.0
2016-04-19,10580.0
2016-04-20,10555.0
2016-04-21,10625.0
2016-04-22,10585.0
2016-04-25,10560.0
2016-04-26,10600.0
2016-04-27,10600.0
2016-04-28,10560.0
2016-04-29,10535.0
2016-05-02,10460.0
2016-05-03,10460.0
2016-05-04,10335.0
2016-05-09,10355.0
2016-05-10,10360.0
2016-05-11,10360.0
2016-05-12,10360.0
2016-05-13,10275.0
2016-05-16,10280.0
2016-05-17,10285.0
2016-05-18,10235.0
2016-05-19,10205.0
2016-05-20,10205.0
2016-05-23,10230.0
2016-05-24,10170.0
2016-05-25,10295.0
2016-05-26,10295.0
2016-05-27,10310.0
2016-05-30,10320.0
2016-05-31,10385.0
2016-06-01,10395.0
2016-06-02,10405.0
2016-06-03,10435.0
2016-06-07,10570.0
2016-06-08,10670.0
2016-06-09,10690.0
2016-06-10,10690.0
2016-06-13,10495.0
2016-06-14,10400.0
2016-06-15,10395.0
2016-06-16,10325.0
2016-06-17,10325.0
2016-06-20,10485.0
2016-06-21,10465.0
2016-06-22,10525.0
2016-06-23,10530.0
2016-06-24,10210.0
2016-06-27,10245.0
2016-06-28,10265.0
2016-06-29,10305.0
2016-06-30,10435.0
2016-07-01,10560.0
2016-07-04,10575.0
2016-07-05,10570.0
2016-07-06,10350.0
2016-07-07,10480.0
2016-07-08,10410.0
2016-07-11,10585.0
2016-07-12,10585.0
2016-07-13,10630.0
2016-07-14,10660.0
2016-07-15,10715.0
2016-07-18,10735.0
2016-07-19,10730.0
2016-07-20,10715.0
2016-07-21,10710.0
2016-07-22,10710.0
2016-07-25,10710.0
2016-07-26,10805.0
2016-07-27,10805.0
2016-07-28,10805.0
2016-07-29,10805.0
2016-08-01,10870.0
2016-08-02,10870.0
2016-08-03,10730.0
2016-08-04,10680.0
2016-08-05,10785.0
2016-08-08,10860.0
