Date,KODEX 에너지화학
2018-04-16,13560.0
2018-04-17,13595.0
2018-04-18,13760.0
2018-04-19,13715.0
2018-04-20,13670.0
2018-04-23,13695.0
2018-04-24,13660.0
2018-04-25,13240.0
2018-04-26,13360.0
2018-04-27,13010.0
2018-04-30,13270.0
2018-05-02,13275.0
2018-05-03,13265.0
2018-05-04,12955.0
2018-05-08,12800.0
2018-05-09,12985.0
2018-05-10,13050.0
2018-05-11,13160.0
2018-05-14,13275.0
2018-05-15,13160.0
2018-05-16,13005.0
2018-05-17,13055.0
2018-05-18,13205.0
2018-05-21,13205.0
2018-05-23,13130.0
2018-05-24,12975.0
2018-05-25,12935.0
2018-05-28,13145.0
2018-05-29,13010.0
2018-05-30,12680.0
2018-05-31,12890.0
2018-06-01,12805.0
2018-06-04,13100.0
2018-06-05,13155.0
2018-06-07,13230.0
2018-06-08,13305.0
2018-06-11,13410.0
2018-06-12,13485.0
2018-06-14,13230.0
2018-06-15,13265.0
2018-06-18,13120.0
2018-06-19,12700.0
2018-06-20,12770.0
2018-06-21,12685.0
2018-06-22,12620.0
2018-06-25,12810.0
2018-06-26,12865.0
2018-06-27,12515.0
2018-06-28,12540.0
2018-06-29,12540.0
2018-07-02,11945.0
2018-07-03,11875.0
2018-07-04,11875.0
2018-07-05,11915.0
2018-07-06,12105.0
2018-07-09,12145.0
2018-07-10,12190.0
2018-07-11,12100.0
2018-07-12,12130.0
2018-07-13,12335.0
2018-07-16,12305.0
2018-07-17,12095.0
2018-07-18,12100.0
2018-07-19,12240.0
2018-07-20,12150.0
2018-07-23,12100.0
2018-07-24,12095.0
2018-07-25,12375.0
2018-07-26,12685.0
2018-07-27,12700.0
2018-07-30,12800.0
2018-07-31,12790.0
2018-08-01,12650.0
2018-08-02,12460.0
2018-08-03,12700.0
2018-08-06,12580.0
2018-08-07,12680.0
2018-08-08,12585.0
2018-08-09,12685.0
2018-08-10,12625.0
2018-08-13,12505.0
2018-08-14,12685.0
2018-08-16,12640.0
2018-08-17,12665.0
2018-08-20,12705.0
2018-08-21,12640.0
2018-08-22,12355.0
2018-08-23,12315.0
2018-08-24,12490.0
2018-08-27,12590.0
2018-08-28,12560.0
2018-08-29,12645.0
2018-08-30,12445.0
2018-08-31,12515.0
2018-09-03,12520.0
2018-09-04,12500.0
2018-09-05,12335.0
2018-09-06,12250.0
2018-09-07,12240.0
2018-09-10,12320.0
2018-09-11,12325.0
2018-09-12,12315.0
2018-09-13,12345.0
2018-09-14,12445.0
2018-09-17,12320.0
2018-09-18,12450.0
2018-09-19,12325.0
2018-09-20,12245.0
2018-09-21,12330.0
2018-09-27,12515.0
2018-09-28,12605.0
2018-10-01,12655.0
2018-10-02,12565.0
2018-10-04,12185.0
2018-10-05,12200.0
