Date,KODEX China H
2016-03-25,15570.0
2016-03-28,15640.0
2016-03-29,15505.0
2016-03-30,15700.0
2016-03-31,15770.0
2016-04-01,15530.0
2016-04-04,15590.0
2016-04-05,15250.0
2016-04-06,15295.0
2016-04-07,15275.0
2016-04-08,15170.0
2016-04-11,15425.0
2016-04-12,15355.0
2016-04-14,16235.0
2016-04-15,16175.0
2016-04-18,15835.0
2016-04-19,15965.0
2016-04-20,15785.0
2016-04-21,16030.0
2016-04-22,15865.0
2016-04-25,15870.0
2016-04-26,15650.0
2016-04-27,15800.0
2016-04-28,15760.0
2016-04-29,15765.0
2016-05-02,15560.0
2016-05-03,15350.0
2016-05-04,15350.0
2016-05-09,15100.0
2016-05-10,15115.0
2016-05-11,15110.0
2016-05-12,15075.0
2016-05-13,14950.0
2016-05-16,15105.0
2016-05-17,14975.0
2016-05-18,14945.0
2016-05-19,15080.0
2016-05-20,15120.0
2016-05-23,15080.0
2016-05-24,15065.0
2016-05-25,15260.0
2016-05-26,15325.0
2016-05-27,15380.0
2016-05-30,15535.0
2016-05-31,16020.0
2016-06-01,15880.0
2016-06-02,15855.0
2016-06-03,15870.0
2016-06-07,15970.0
2016-06-08,15950.0
2016-06-09,15955.0
2016-06-10,15815.0
2016-06-13,15455.0
2016-06-14,15420.0
2016-06-15,15400.0
2016-06-16,15175.0
2016-06-17,15305.0
2016-06-20,15375.0
2016-06-21,15480.0
2016-06-22,15640.0
2016-06-23,15660.0
2016-06-24,15410.0
2016-06-27,15525.0
2016-06-28,15390.0
2016-06-29,15565.0
2016-06-30,15825.0
2016-07-01,15750.0
2016-07-04,15975.0
2016-07-05,15930.0
2016-07-06,15675.0
2016-07-07,15665.0
2016-07-08,15640.0
2016-07-11,15830.0
2016-07-12,15870.0
2016-07-13,16110.0
2016-07-14,15930.0
2016-07-15,16090.0
2016-07-18,16195.0
2016-07-19,16085.0
2016-07-20,16230.0
2016-07-21,16250.0
2016-07-22,16160.0
2016-07-25,16105.0
2016-07-26,16345.0
2016-07-27,16170.0
2016-07-28,16085.0
2016-07-29,16000.0
2016-08-01,15985.0
2016-08-02,15820.0
2016-08-03,15750.0
2016-08-04,15870.0
2016-08-05,16000.0
2016-08-08,16130.0
2016-08-09,16145.0
2016-08-10,16080.0
2016-08-11,16320.0
2016-08-12,16560.0
2016-08-16,16710.0
2016-08-17,16895.0
2016-08-18,16870.0
2016-08-19,16945.0
2016-08-22,16845.0
2016-08-23,16865.0
2016-08-24,16815.0
2016-08-25,16745.0
2016-08-26,16735.0
2016-08-29,16795.0
2016-08-30,16845.0
2016-08-31,16990.0
2016-09-01,16920.0
2016-09-02,16975.0
2016-09-05,17090.0
2016-09-06,17175.0
2016-09-07,17160.0
2016-09-08,17140.0
2016-09-09,17485.0
2016-09-12,17015.0
2016-09-13,17125.0
2016-09-19,17215.0
2016-09-20,17200.0
2016-09-21,17445.0
2016-09-22,17305.0
2016-09-23,17210.0
2016-09-26,16995.0
2016-09-27,16920.0
2016-09-28,16700.0
2016-09-29,16970.0
2016-09-30,16755.0
2016-10-04,16945.0
2016-10-05,17235.0
2016-10-06,17445.0
2016-10-07,17425.0
2016-10-10,17315.0
2016-10-11,17215.0
2016-10-12,17095.0
2016-10-13,17020.0
2016-10-14,17090.0
2016-10-17,17115.0
2016-10-18,17315.0
2016-10-19,17145.0
2016-10-20,17210.0
2016-10-21,17290.0
2016-10-24,17465.0
2016-10-25,17570.0
2016-10-26,17450.0
2016-10-27,17240.0
2016-10-28,17255.0
2016-10-31,17390.0
2016-11-01,17595.0
2016-11-02,17335.0
2016-11-03,17140.0
2016-11-04,17175.0
2016-11-07,17260.0
2016-11-08,17275.0
2016-11-09,16785.0
2016-11-10,17320.0
2016-11-11,17350.0
2016-11-14,17250.0
2016-11-15,17345.0
2016-11-16,17420.0
2016-11-17,17290.0
2016-11-18,17330.0
2016-11-21,17605.0
2016-11-22,17830.0
2016-11-23,17980.0
2016-11-24,17980.0
2016-11-25,18130.0
2016-11-28,18300.0
2016-11-29,18215.0
2016-11-30,18220.0
2016-12-01,18340.0
2016-12-02,18155.0
2016-12-05,17975.0
2016-12-06,18065.0
2016-12-07,18130.0
2016-12-08,18200.0
2016-12-09,18250.0
2016-12-12,18020.0
2016-12-13,17910.0
2016-12-14,18020.0
2016-12-15,17635.0
2016-12-16,17775.0
2016-12-19,17640.0
2016-12-20,17500.0
2016-12-21,17580.0
2016-12-22,17420.0
2016-12-23,17300.0
2016-12-26,17300.0
2016-12-27,17450.0
2016-12-28,17680.0
2016-12-29,17700.0
2017-01-02,17785.0
2017-01-03,18000.0
2017-01-04,17980.0
2017-01-05,18020.0
2017-01-06,18040.0
2017-01-09,18235.0
2017-01-10,18200.0
2017-01-11,18320.0
2017-01-12,18150.0
2017-01-13,18190.0
2017-01-16,18035.0
2017-01-17,18045.0
2017-01-18,18055.0
2017-01-19,18120.0
2017-01-20,17960.0
2017-01-23,17975.0
2017-01-24,17920.0
2017-01-25,17980.0
2017-01-26,18070.0
