Date,파워 중기국고채
2016-01-05,105400.0
2016-01-06,105420.0
2016-01-07,105410.0
2016-01-08,105395.0
2016-01-11,105470.0
2016-01-12,105475.0
2016-01-13,105500.0
2016-01-14,105555.0
2016-01-15,105445.0
2016-01-18,105500.0
2016-01-19,105460.0
2016-01-20,105540.0
2016-01-21,105540.0
2016-01-22,105610.0
2016-01-25,105555.0
2016-01-26,105635.0
2016-01-27,105635.0
2016-01-28,105615.0
2016-01-29,105740.0
2016-02-01,105905.0
2016-02-02,105945.0
2016-02-03,105990.0
2016-02-04,105995.0
2016-02-05,105990.0
2016-02-11,106260.0
2016-02-12,106180.0
2016-02-15,106070.0
2016-02-16,106255.0
2016-02-17,106245.0
2016-02-18,106235.0
2016-02-19,106170.0
2016-02-22,106140.0
2016-02-23,106165.0
2016-02-24,106165.0
2016-02-25,106215.0
2016-02-26,106230.0
2016-02-29,106265.0
2016-03-02,106240.0
2016-03-03,106140.0
2016-03-04,106100.0
2016-03-07,106115.0
2016-03-08,105155.0
2016-03-09,105205.0
2016-03-10,105130.0
2016-03-11,105100.0
2016-03-14,105015.0
2016-03-15,105055.0
2016-03-16,104995.0
2016-03-17,105130.0
2016-03-18,105195.0
2016-03-21,105225.0
2016-03-22,105180.0
2016-03-23,105130.0
2016-03-24,105260.0
2016-03-25,105230.0
2016-03-28,105250.0
2016-03-29,105370.0
2016-03-30,105455.0
2016-03-31,105395.0
2016-04-01,105420.0
2016-04-04,105420.0
2016-04-05,105445.0
2016-04-06,105420.0
2016-04-07,105415.0
2016-04-08,105430.0
2016-04-11,105390.0
2016-04-12,105385.0
2016-04-14,105360.0
2016-04-15,105300.0
2016-04-18,105370.0
2016-04-19,105310.0
2016-04-20,105390.0
2016-04-21,105385.0
2016-04-22,105445.0
2016-04-25,105470.0
2016-04-26,105475.0
2016-04-27,105465.0
2016-04-28,105525.0
2016-04-29,105505.0
2016-05-02,105485.0
2016-05-03,105535.0
2016-05-04,105600.0
2016-05-09,105660.0
2016-05-10,105665.0
