Date,TIGER 국채3년
2017-05-19,109710.0
2017-05-22,109680.0
2017-05-23,109740.0
2017-05-24,109690.0
2017-05-25,109755.0
2017-05-26,109750.0
2017-05-29,109785.0
2017-05-30,109785.0
2017-05-31,109880.0
2017-06-01,109805.0
2017-06-02,109885.0
2017-06-05,109920.0
2017-06-07,109480.0
2017-06-08,109465.0
2017-06-09,109445.0
2017-06-12,109345.0
2017-06-13,109500.0
2017-06-14,109405.0
2017-06-15,109475.0
2017-06-16,109385.0
2017-06-19,109460.0
2017-06-20,109435.0
2017-06-21,109450.0
2017-06-22,109430.0
2017-06-23,109465.0
2017-06-26,109435.0
2017-06-27,109415.0
2017-06-28,109365.0
2017-06-29,109320.0
2017-06-30,109400.0
2017-07-03,109320.0
2017-07-04,109335.0
2017-07-05,109245.0
2017-07-06,109305.0
2017-07-07,109140.0
2017-07-10,109200.0
2017-07-11,109225.0
2017-07-12,109230.0
2017-07-13,109310.0
2017-07-14,109290.0
2017-07-17,109290.0
2017-07-18,109320.0
2017-07-19,109310.0
2017-07-20,109375.0
2017-07-21,109400.0
2017-07-24,109425.0
2017-07-25,109460.0
2017-07-26,109415.0
2017-07-27,109580.0
2017-07-28,109560.0
2017-07-31,109540.0
2017-08-01,109455.0
2017-08-02,109470.0
2017-08-03,109480.0
2017-08-04,109485.0
2017-08-07,109410.0
2017-08-08,109370.0
2017-08-09,109275.0
2017-08-10,109275.0
2017-08-11,109250.0
2017-08-14,109370.0
2017-08-16,109305.0
2017-08-17,109330.0
2017-08-18,109430.0
2017-08-21,109425.0
2017-08-22,109390.0
2017-08-23,109380.0
2017-08-24,109425.0
2017-08-25,109540.0
2017-08-28,109530.0
2017-08-29,109510.0
2017-08-30,109515.0
2017-08-31,109605.0
2017-09-01,109535.0
2017-09-04,109400.0
2017-09-05,109410.0
2017-09-06,109505.0
2017-09-07,109195.0
2017-09-08,109325.0
2017-09-11,109335.0
2017-09-12,109260.0
2017-09-13,109345.0
2017-09-14,109335.0
2017-09-15,109400.0
2017-09-18,109385.0
2017-09-19,109270.0
2017-09-20,109225.0
2017-09-21,109255.0
2017-09-22,109190.0
2017-09-25,109290.0
2017-09-26,109165.0
2017-09-27,108975.0
2017-09-28,108910.0
2017-09-29,108925.0
2017-10-10,108800.0
2017-10-11,108865.0
2017-10-12,108925.0
2017-10-13,109025.0
2017-10-16,108955.0
2017-10-17,108925.0
2017-10-18,108950.0
2017-10-19,108660.0
2017-10-20,108535.0
2017-10-23,108580.0
2017-10-24,108460.0
2017-10-25,108435.0
2017-10-26,108185.0
2017-10-27,108090.0
2017-10-30,108225.0
2017-10-31,108280.0
2017-11-01,108215.0
2017-11-02,108315.0
2017-11-03,108330.0
2017-11-06,108330.0
2017-11-07,108395.0
2017-11-08,108365.0
2017-11-09,108405.0
2017-11-10,108400.0
2017-11-13,108250.0
2017-11-14,108265.0
2017-11-15,108150.0
2017-11-16,108370.0
2017-11-17,108340.0
2017-11-20,108400.0
2017-11-21,108390.0
2017-11-22,108410.0
2017-11-23,108505.0
2017-11-24,108500.0
2017-11-27,108425.0
2017-11-28,108530.0
2017-11-29,108630.0
2017-11-30,108765.0
2017-12-01,108780.0
2017-12-04,108755.0
2017-12-05,108745.0
2017-12-06,108700.0
2017-12-07,108280.0
2017-12-08,108185.0
2017-12-11,108195.0
2017-12-12,108275.0
2017-12-13,108340.0
2017-12-14,108410.0
2017-12-15,108235.0
2017-12-18,108250.0
2017-12-19,108185.0
2017-12-20,108315.0
2017-12-21,108195.0
2017-12-22,108095.0
2017-12-26,108180.0
2017-12-27,108120.0
2017-12-28,108205.0
2018-01-02,108175.0
2018-01-03,108200.0
2018-01-04,108235.0
2018-01-05,108260.0
2018-01-08,108190.0
2018-01-09,108200.0
2018-01-10,107980.0
2018-01-11,108090.0
2018-01-12,108105.0
2018-01-15,107855.0
2018-01-16,107995.0
2018-01-17,108000.0
2018-01-18,108140.0
2018-01-19,108150.0
2018-01-22,108050.0
2018-01-23,108115.0
2018-01-24,108025.0
2018-01-25,108090.0
2018-01-26,107980.0
2018-01-29,107880.0
2018-01-30,107790.0
2018-01-31,107860.0
2018-02-01,107890.0
2018-02-02,107830.0
2018-02-05,107965.0
2018-02-06,107930.0
2018-02-07,107970.0
2018-02-08,107955.0
2018-02-09,107990.0
2018-02-12,107970.0
2018-02-13,107990.0
2018-02-14,108125.0
2018-02-19,108030.0
2018-02-20,108010.0
2018-02-21,108025.0
2018-02-22,108060.0
2018-02-23,108110.0
2018-02-26,108130.0
2018-02-27,108255.0
2018-02-28,108195.0
2018-03-02,108260.0
2018-03-05,108065.0
2018-03-06,108095.0
2018-03-07,107810.0
2018-03-08,107865.0
2018-03-09,107895.0
2018-03-12,107870.0
2018-03-13,107895.0
2018-03-14,107920.0
2018-03-15,108020.0
2018-03-16,107975.0
2018-03-19,107980.0
2018-03-20,107990.0
2018-03-21,108015.0
2018-03-22,108035.0
2018-03-23,108270.0
2018-03-26,108215.0
2018-03-27,108160.0
2018-03-28,108300.0
2018-03-29,108240.0
2018-03-30,108265.0
2018-04-02,108290.0
2018-04-03,108350.0
2018-04-04,108410.0
2018-04-05,108485.0
2018-04-06,108505.0
2018-04-09,108480.0
2018-04-10,108490.0
2018-04-11,108485.0
2018-04-12,108525.0
2018-04-13,108550.0
2018-04-16,108565.0
2018-04-17,108450.0
2018-04-18,108485.0
2018-04-19,108420.0
2018-04-20,108420.0
2018-04-23,108335.0
2018-04-24,108405.0
2018-04-25,108295.0
2018-04-26,108370.0
2018-04-27,108500.0
2018-04-30,108455.0
2018-05-02,108400.0
2018-05-03,108360.0
2018-05-04,108285.0
2018-05-08,108160.0
2018-05-09,108245.0
2018-05-10,108350.0
2018-05-11,108340.0
2018-05-14,108265.0
2018-05-15,108270.0
2018-05-16,108280.0
2018-05-17,108360.0
2018-05-18,108450.0
2018-05-21,108520.0
2018-05-23,108480.0
2018-05-24,108715.0
2018-05-25,108700.0
2018-05-28,108640.0
2018-05-29,108665.0
2018-05-30,108735.0
2018-05-31,108760.0
2018-06-01,108750.0
