Date,KODEX 반도체
2016-09-09,18900.0
2016-09-12,18330.0
2016-09-13,18465.0
2016-09-19,19030.0
2016-09-20,19095.0
2016-09-21,19120.0
2016-09-22,19600.0
2016-09-23,19500.0
2016-09-26,19435.0
2016-09-27,19600.0
2016-09-28,19605.0
2016-09-29,19630.0
2016-09-30,19685.0
2016-10-04,19880.0
2016-10-05,20030.0
2016-10-06,19940.0
2016-10-07,19835.0
2016-10-10,19500.0
2016-10-11,19460.0
2016-10-12,19325.0
2016-10-13,19015.0
2016-10-14,19220.0
2016-10-17,19225.0
2016-10-18,19155.0
2016-10-19,18995.0
2016-10-20,18800.0
2016-10-21,18715.0
2016-10-24,18500.0
2016-10-25,18480.0
2016-10-26,18555.0
2016-10-27,19195.0
2016-10-28,19145.0
2016-10-31,18775.0
2016-11-01,18820.0
2016-11-02,18395.0
2016-11-03,18370.0
2016-11-04,18485.0
2016-11-07,18795.0
2016-11-08,18810.0
2016-11-09,18235.0
2016-11-10,18550.0
2016-11-11,18310.0
2016-11-14,18250.0
2016-11-15,18255.0
2016-11-16,18550.0
2016-11-17,18655.0
2016-11-18,18505.0
2016-11-21,18180.0
2016-11-22,18470.0
2016-11-23,18400.0
2016-11-24,18355.0
2016-11-25,18420.0
2016-11-28,18325.0
2016-11-29,18490.0
2016-11-30,18540.0
2016-12-01,18530.0
2016-12-02,18390.0
2016-12-05,18280.0
2016-12-06,18525.0
2016-12-07,18350.0
2016-12-08,18805.0
2016-12-09,18780.0
2016-12-12,18905.0
2016-12-13,19360.0
2016-12-14,19590.0
2016-12-15,19900.0
2016-12-16,20025.0
2016-12-19,19875.0
2016-12-20,19685.0
2016-12-21,19960.0
2016-12-22,20080.0
2016-12-23,20225.0
2016-12-26,19955.0
2016-12-27,20075.0
2016-12-28,20220.0
2016-12-29,20455.0
2017-01-02,20650.0
2017-01-03,20840.0
2017-01-04,20500.0
2017-01-05,20480.0
2017-01-06,20660.0
2017-01-09,21065.0
2017-01-10,20850.0
2017-01-11,21150.0
