Date,KOSEF 200
2016-05-19,23910.0
2016-05-20,23925.0
2016-05-23,23990.0
2016-05-24,23815.0
2016-05-25,24135.0
2016-05-26,24125.0
2016-05-27,24235.0
2016-05-30,24180.0
2016-05-31,24370.0
2016-06-01,24395.0
2016-06-02,24430.0
2016-06-03,24475.0
2016-06-07,24815.0
2016-06-08,25045.0
2016-06-09,25050.0
2016-06-10,24925.0
2016-06-13,24425.0
2016-06-14,24350.0
2016-06-15,24330.0
2016-06-16,24160.0
2016-06-17,24205.0
2016-06-20,24525.0
2016-06-21,24520.0
2016-06-22,24690.0
2016-06-23,24675.0
2016-06-24,23915.0
2016-06-27,23995.0
2016-06-28,24025.0
2016-06-29,24315.0
2016-06-30,24565.0
2016-07-01,24745.0
2016-07-04,24810.0
2016-07-05,24760.0
2016-07-06,24260.0
2016-07-07,24535.0
2016-07-08,24410.0
2016-07-11,24770.0
2016-07-12,24780.0
2016-07-13,24925.0
2016-07-14,25010.0
2016-07-15,25105.0
2016-07-18,25165.0
2016-07-19,25100.0
2016-07-20,25080.0
2016-07-21,25110.0
2016-07-22,25075.0
2016-07-25,25075.0
2016-07-26,25295.0
2016-07-27,25290.0
2016-07-28,25205.0
2016-07-29,25230.0
2016-08-01,25390.0
2016-08-02,25220.0
2016-08-03,24905.0
2016-08-04,24950.0
2016-08-05,25230.0
2016-08-08,25385.0
2016-08-09,25605.0
2016-08-10,25520.0
2016-08-11,25545.0
2016-08-12,25650.0
2016-08-16,25665.0
2016-08-17,25620.0
2016-08-18,25770.0
2016-08-19,25885.0
2016-08-22,25745.0
2016-08-23,25850.0
2016-08-24,25760.0
2016-08-25,25775.0
2016-08-26,25685.0
2016-08-29,25625.0
2016-08-30,25805.0
2016-08-31,25830.0
2016-09-01,25625.0
2016-09-02,25675.0
2016-09-05,25985.0
2016-09-06,26025.0
2016-09-07,26025.0
2016-09-08,26050.0
2016-09-09,25740.0
2016-09-12,25125.0
2016-09-13,25180.0
2016-09-19,25405.0
2016-09-20,25505.0
2016-09-21,25655.0
2016-09-22,25870.0
2016-09-23,25855.0
2016-09-26,25840.0
2016-09-27,25990.0
2016-09-28,25885.0
2016-09-29,26105.0
2016-09-30,25815.0
2016-10-04,25915.0
2016-10-05,25930.0
2016-10-06,26110.0
2016-10-07,26050.0
2016-10-10,26065.0
2016-10-11,25700.0
2016-10-12,25675.0
2016-10-13,25450.0
2016-10-14,25585.0
2016-10-17,25625.0
2016-10-18,25785.0
2016-10-19,25825.0
2016-10-20,25860.0
2016-10-21,25755.0
2016-10-24,25945.0
2016-10-25,25900.0
2016-10-26,25575.0
2016-10-27,25675.0
2016-10-28,25690.0
2016-10-31,25675.0
2016-11-01,25660.0
2016-11-02,25340.0
2016-11-03,25350.0
2016-11-04,25330.0
2016-11-07,25550.0
2016-11-08,25565.0
2016-11-09,25060.0
2016-11-10,25565.0
2016-11-11,25285.0
2016-11-14,25115.0
2016-11-15,25025.0
2016-11-16,25115.0
2016-11-17,25090.0
2016-11-18,25060.0
2016-11-21,25015.0
2016-11-22,25260.0
2016-11-23,25370.0
2016-11-24,25290.0
2016-11-25,25300.0
2016-11-28,25370.0
2016-11-29,25340.0
2016-11-30,25530.0
2016-12-01,25535.0
2016-12-02,25355.0
2016-12-05,25310.0
2016-12-06,25605.0
2016-12-07,25700.0
2016-12-08,26150.0
2016-12-09,26180.0
2016-12-12,26135.0
2016-12-13,26200.0
2016-12-14,26265.0
2016-12-15,26225.0
2016-12-16,26265.0
2016-12-19,26260.0
2016-12-20,26295.0
2016-12-21,26285.0
2016-12-22,26300.0
2016-12-23,26230.0
2016-12-26,26275.0
2016-12-27,26355.0
2016-12-28,26420.0
2016-12-29,26430.0
2017-01-02,26470.0
2017-01-03,26695.0
2017-01-04,26780.0
2017-01-05,26645.0
2017-01-06,26740.0
2017-01-09,26825.0
2017-01-10,26795.0
2017-01-11,27300.0
2017-01-12,27340.0
2017-01-13,27275.0
2017-01-16,27120.0
2017-01-17,27215.0
2017-01-18,27215.0
2017-01-19,27225.0
2017-01-20,27170.0
2017-01-23,27170.0
2017-01-24,27180.0
2017-01-25,27260.0
2017-01-26,27470.0
2017-01-31,27390.0
2017-02-01,27460.0
2017-02-02,27320.0
2017-02-03,27375.0
2017-02-06,27415.0
2017-02-07,27365.0
2017-02-08,27245.0
2017-02-09,27280.0
2017-02-10,27340.0
2017-02-13,27350.0
2017-02-14,27265.0
2017-02-15,27370.0
2017-02-16,27345.0
2017-02-17,27340.0
2017-02-20,27435.0
2017-02-21,27685.0
2017-02-22,27730.0
2017-02-23,27755.0
2017-02-24,27520.0
2017-02-27,27435.0
2017-02-28,27580.0
2017-03-02,27730.0
2017-03-03,27465.0
2017-03-06,27500.0
2017-03-07,27655.0
2017-03-08,27695.0
2017-03-09,27635.0
2017-03-10,27680.0
2017-03-13,27995.0
2017-03-14,28210.0
2017-03-15,28290.0
2017-03-16,28480.0
2017-03-17,28605.0
2017-03-20,28565.0
2017-03-21,28830.0
2017-03-22,28755.0
2017-03-23,28765.0
2017-03-24,28750.0
2017-03-27,28545.0
2017-03-28,28635.0
2017-03-29,28705.0
2017-03-30,28700.0
2017-03-31,28660.0
2017-04-03,28725.0
2017-04-04,28620.0
2017-04-05,28565.0
2017-04-06,28450.0
2017-04-07,28410.0
2017-04-10,28240.0
2017-04-11,28110.0
2017-04-12,28125.0
2017-04-13,28425.0
2017-04-14,28280.0
2017-04-17,28370.0
2017-04-18,28350.0
2017-04-19,28215.0
2017-04-20,28315.0
2017-04-21,28565.0
2017-04-24,28695.0
2017-04-25,29010.0
2017-04-26,29195.0
2017-04-27,28740.0
2017-04-28,28870.0
2017-05-02,29020.0
2017-05-04,29305.0
2017-05-08,30120.0
2017-05-10,29765.0
2017-05-11,30120.0
2017-05-12,30035.0
2017-05-15,30115.0
2017-05-16,30160.0
2017-05-17,30130.0
2017-05-18,30070.0
2017-05-19,30050.0
2017-05-22,30240.0
2017-05-23,30355.0
2017-05-24,30375.0
2017-05-25,30740.0
2017-05-26,30925.0
2017-05-29,30900.0
2017-05-30,30705.0
2017-05-31,30720.0
2017-06-01,30625.0
2017-06-02,31000.0
2017-06-05,30955.0
2017-06-07,30770.0
2017-06-08,30885.0
2017-06-09,31135.0
2017-06-12,30830.0
2017-06-13,31015.0
2017-06-14,31010.0
2017-06-15,30880.0
2017-06-16,30885.0
2017-06-19,31055.0
2017-06-20,31135.0
2017-06-21,30950.0
2017-06-22,31155.0
2017-06-23,31230.0
2017-06-26,31395.0
2017-06-27,31390.0
2017-06-28,31320.0
2017-06-29,31520.0
2017-06-30,31455.0
2017-07-03,31480.0
2017-07-04,31305.0
2017-07-05,31415.0
2017-07-06,31420.0
2017-07-07,31320.0
2017-07-10,31410.0
2017-07-11,31580.0
2017-07-12,31590.0
2017-07-13,31930.0
2017-07-14,31985.0
2017-07-17,32105.0
2017-07-18,32105.0
2017-07-19,32155.0
2017-07-20,32305.0
2017-07-21,32435.0
2017-07-24,32445.0
2017-07-25,32285.0
2017-07-26,32210.0
2017-07-27,32315.0
2017-07-28,31695.0
2017-07-31,31690.0
2017-08-01,31955.0
2017-08-02,32025.0
2017-08-03,31495.0
2017-08-04,31625.0
2017-08-07,31655.0
2017-08-08,31595.0
2017-08-09,31220.0
2017-08-10,31045.0
2017-08-11,30535.0
2017-08-14,30775.0
2017-08-16,30955.0
2017-08-17,31135.0
2017-08-18,31120.0
2017-08-21,31060.0
2017-08-22,31170.0
2017-08-23,31205.0
2017-08-24,31355.0
2017-08-25,31405.0
2017-08-28,31210.0
2017-08-29,31105.0
2017-08-30,31235.0
2017-08-31,31040.0
2017-09-01,31030.0
2017-09-04,30705.0
2017-09-05,30690.0
2017-09-06,30605.0
2017-09-07,30975.0
2017-09-08,31005.0
2017-09-11,31295.0
2017-09-12,31305.0
2017-09-13,31285.0
2017-09-14,31480.0
2017-09-15,31610.0
2017-09-18,32135.0
2017-09-19,32110.0
2017-09-20,32090.0
2017-09-21,32095.0
2017-09-22,31900.0
2017-09-25,31885.0
2017-09-26,31715.0
2017-09-27,31655.0
2017-09-28,31680.0
2017-09-29,31920.0
2017-10-10,32520.0
2017-10-11,32870.0
2017-10-12,33100.0
2017-10-13,33045.0
2017-10-16,33115.0
2017-10-17,33150.0
2017-10-18,33155.0
2017-10-19,33010.0
2017-10-20,33170.0
2017-10-23,33275.0
2017-10-24,33320.0
2017-10-25,33270.0
2017-10-26,33050.0
2017-10-27,33235.0
2017-10-30,33325.0
2017-10-31,33700.0
2017-11-01,34240.0
2017-11-02,34130.0
2017-11-03,34210.0
2017-11-06,34065.0
2017-11-07,34030.0
2017-11-08,34125.0
2017-11-09,34040.0
2017-11-10,33950.0
2017-11-13,33775.0
2017-11-14,33760.0
2017-11-15,33615.0
2017-11-16,33770.0
2017-11-17,33760.0
2017-11-20,33620.0
2017-11-21,33700.0
2017-11-22,33855.0
2017-11-23,33805.0
2017-11-24,33870.0
2017-11-27,33315.0
2017-11-28,33420.0
2017-11-29,33420.0
2017-11-30,32885.0
2017-12-01,32855.0
2017-12-04,33160.0
2017-12-05,33275.0
2017-12-06,32795.0
2017-12-07,32710.0
2017-12-08,32800.0
2017-12-11,32855.0
2017-12-12,32725.0
2017-12-13,32975.0
2017-12-14,33020.0
2017-12-15,32960.0
2017-12-18,33010.0
2017-12-19,33020.0
2017-12-20,32955.0
2017-12-21,32340.0
2017-12-22,32465.0
2017-12-26,32295.0
2017-12-27,32680.0
2017-12-28,33135.0
2018-01-02,33255.0
2018-01-03,33385.0
2018-01-04,33150.0
