Date,KOSEF 코스피100
2018-01-23,25610.0
2018-01-24,25620.0
2018-01-25,25875.0
2018-01-26,25920.0
2018-01-29,26150.0
2018-01-30,25770.0
2018-01-31,25785.0
2018-02-01,25815.0
2018-02-02,25305.0
2018-02-05,25040.0
2018-02-06,24630.0
2018-02-07,24070.0
2018-02-08,24135.0
2018-02-09,23575.0
2018-02-12,23865.0
2018-02-13,24135.0
2018-02-14,24385.0
2018-02-19,24565.0
2018-02-20,24270.0
2018-02-21,24385.0
2018-02-22,24210.0
2018-02-23,24550.0
2018-02-26,24610.0
2018-02-27,24580.0
2018-02-28,24275.0
2018-03-02,23935.0
2018-03-05,23650.0
2018-03-06,24120.0
2018-03-07,24210.0
2018-03-08,24480.0
2018-03-09,24685.0
2018-03-12,24920.0
2018-03-13,25140.0
2018-03-14,25055.0
2018-03-15,25105.0
2018-03-16,25115.0
2018-03-19,24910.0
2018-03-20,25030.0
2018-03-21,25015.0
2018-03-22,25150.0
2018-03-23,24305.0
2018-03-26,24480.0
2018-03-27,24570.0
2018-03-28,24200.0
2018-03-29,24410.0
2018-03-30,24515.0
2018-04-02,24465.0
2018-04-03,24400.0
2018-04-04,24020.0
2018-04-05,24385.0
2018-04-06,24270.0
2018-04-09,24370.0
2018-04-10,24410.0
2018-04-11,24315.0
2018-04-12,24355.0
2018-04-13,24480.0
2018-04-16,24495.0
2018-04-17,24450.0
2018-04-18,24740.0
2018-04-19,24905.0
2018-04-20,24700.0
2018-04-23,24715.0
2018-04-24,24535.0
2018-04-25,24385.0
2018-04-26,24730.0
2018-04-27,24540.0
2018-04-30,24750.0
2018-05-02,24620.0
2018-05-03,24495.0
2018-05-04,24170.0
2018-05-08,24110.0
2018-05-09,23975.0
2018-05-10,24195.0
2018-05-11,24250.0
2018-05-14,24155.0
2018-05-15,23955.0
2018-05-16,24070.0
2018-05-17,23925.0
2018-05-18,24000.0
2018-05-21,24090.0
2018-05-23,24285.0
2018-05-24,24225.0
2018-05-25,24320.0
2018-05-28,24325.0
2018-05-29,24115.0
2018-05-30,23560.0
2018-05-31,23680.0
2018-06-01,23870.0
2018-06-04,23985.0
2018-06-05,24065.0
2018-06-07,24165.0
2018-06-08,24005.0
2018-06-11,24155.0
2018-06-12,24130.0
2018-06-14,23730.0
2018-06-15,23530.0
2018-06-18,23290.0
2018-06-19,23010.0
2018-06-20,23205.0
2018-06-21,22995.0
2018-06-22,23195.0
2018-06-25,23155.0
2018-06-26,23110.0
2018-06-27,23100.0
2018-06-28,22835.0
2018-06-29,22980.0
2018-07-02,22480.0
2018-07-03,22520.0
2018-07-04,22435.0
2018-07-05,22380.0
2018-07-06,22470.0
2018-07-09,22670.0
2018-07-10,22740.0
2018-07-11,22600.0
2018-07-12,22590.0
2018-07-13,22935.0
2018-07-16,22815.0
2018-07-17,22780.0
2018-07-18,22785.0
2018-07-19,22750.0
2018-07-20,22830.0
2018-07-23,22630.0
2018-07-24,22680.0
2018-07-25,22625.0
2018-07-26,22790.0
2018-07-27,22845.0
2018-07-30,22805.0
2018-07-31,22815.0
2018-08-01,22905.0
