Date,KINDEX 중기국고채
2017-04-11,105770.0
2017-04-12,105810.0
2017-04-13,105905.0
2017-04-14,105945.0
2017-04-17,106015.0
2017-04-18,105825.0
2017-04-19,105960.0
2017-04-20,105935.0
2017-04-21,105935.0
2017-04-24,105810.0
2017-04-25,105830.0
2017-04-26,105885.0
2017-04-27,105920.0
2017-04-28,105960.0
2017-05-02,105895.0
2017-05-04,105910.0
2017-05-08,105880.0
2017-05-10,105835.0
2017-05-11,105790.0
2017-05-12,105820.0
2017-05-15,105885.0
2017-05-16,105865.0
2017-05-17,105950.0
2017-05-18,105985.0
2017-05-19,105985.0
2017-05-22,106025.0
2017-05-23,105970.0
2017-05-24,105985.0
2017-05-25,105985.0
2017-05-26,106030.0
2017-05-29,106030.0
2017-05-30,106075.0
2017-05-31,106110.0
2017-06-01,106100.0
2017-06-02,106140.0
2017-06-05,106275.0
2017-06-07,105820.0
2017-06-08,105775.0
2017-06-09,105770.0
2017-06-12,105755.0
2017-06-13,105640.0
2017-06-14,105670.0
2017-06-15,105690.0
2017-06-16,105720.0
2017-06-19,105685.0
2017-06-20,105720.0
2017-06-21,105755.0
2017-06-22,105740.0
2017-06-23,105685.0
2017-06-26,105730.0
2017-06-27,105745.0
2017-06-28,105620.0
2017-06-29,105645.0
2017-06-30,105670.0
2017-07-03,105660.0
2017-07-04,105590.0
2017-07-05,105595.0
2017-07-06,105585.0
2017-07-07,105510.0
2017-07-10,105480.0
2017-07-11,105580.0
2017-07-12,105585.0
2017-07-13,105615.0
2017-07-14,105810.0
2017-07-17,105645.0
2017-07-18,105575.0
2017-07-19,105695.0
2017-07-20,105665.0
2017-07-21,105700.0
2017-07-24,105760.0
2017-07-25,105785.0
2017-07-26,105750.0
2017-07-27,105785.0
2017-07-28,105800.0
2017-07-31,105825.0
2017-08-01,105710.0
2017-08-02,105780.0
2017-08-03,105760.0
2017-08-04,105820.0
2017-08-07,105735.0
2017-08-08,105645.0
2017-08-09,105600.0
2017-08-10,105550.0
2017-08-11,105610.0
2017-08-14,105660.0
2017-08-16,105590.0
2017-08-17,105610.0
2017-08-18,105685.0
2017-08-21,105660.0
2017-08-22,105645.0
2017-08-23,105625.0
2017-08-24,105690.0
2017-08-25,105720.0
2017-08-28,105765.0
2017-08-29,105755.0
2017-08-30,105780.0
2017-08-31,105790.0
2017-09-01,105840.0
2017-09-04,105745.0
2017-09-05,105765.0
2017-09-06,105755.0
2017-09-07,105500.0
2017-09-08,105535.0
2017-09-11,105590.0
2017-09-12,105535.0
2017-09-13,105565.0
2017-09-14,105565.0
2017-09-15,105615.0
2017-09-18,105625.0
2017-09-19,105535.0
2017-09-20,105460.0
2017-09-21,105470.0
2017-09-22,105535.0
2017-09-25,105565.0
2017-09-26,105400.0
2017-09-27,105335.0
2017-09-28,105200.0
2017-09-29,105270.0
2017-10-10,105130.0
2017-10-11,105145.0
2017-10-12,105270.0
2017-10-13,105300.0
2017-10-16,105235.0
2017-10-17,105170.0
2017-10-18,105215.0
2017-10-19,105055.0
2017-10-20,104785.0
2017-10-23,104755.0
2017-10-24,104800.0
2017-10-25,104720.0
2017-10-26,104535.0
2017-10-27,104460.0
2017-10-30,104590.0
2017-10-31,104590.0
2017-11-01,104520.0
2017-11-02,104690.0
2017-11-03,104680.0
2017-11-06,104600.0
2017-11-07,104680.0
2017-11-08,104670.0
2017-11-09,104660.0
2017-11-10,104695.0
2017-11-13,104585.0
2017-11-14,104585.0
2017-11-15,104570.0
2017-11-16,104630.0
2017-11-17,104645.0
2017-11-20,104655.0
2017-11-21,104705.0
2017-11-22,104675.0
2017-11-23,104810.0
2017-11-24,104765.0
2017-11-27,104750.0
2017-11-28,104875.0
2017-11-29,104850.0
2017-11-30,105040.0
2017-12-01,105035.0
2017-12-04,105015.0
2017-12-05,105030.0
2017-12-06,104980.0
2017-12-07,104530.0
2017-12-08,104510.0
2017-12-11,104535.0
2017-12-12,104525.0
2017-12-13,104585.0
2017-12-14,104610.0
2017-12-15,104650.0
2017-12-18,104560.0
2017-12-19,104535.0
2017-12-20,104555.0
2017-12-21,104550.0
2017-12-22,104455.0
2017-12-26,104485.0
2017-12-27,104415.0
2017-12-28,104485.0
2018-01-02,104510.0
2018-01-03,104525.0
2018-01-04,104480.0
2018-01-05,104520.0
2018-01-08,104515.0
2018-01-09,104480.0
