Date,KTOP 코스피50
2017-02-23,18525.0
2017-02-24,18230.0
2017-02-27,18220.0
2017-02-28,18240.0
2017-03-02,18560.0
2017-03-03,18370.0
2017-03-06,18370.0
2017-03-07,18420.0
2017-03-08,18545.0
2017-03-09,18515.0
2017-03-10,18495.0
2017-03-13,18785.0
2017-03-14,18950.0
2017-03-15,18935.0
2017-03-16,19130.0
2017-03-17,19230.0
2017-03-20,18995.0
2017-03-21,19440.0
2017-03-22,19360.0
2017-03-23,19370.0
2017-03-24,19260.0
2017-03-27,19100.0
2017-03-28,19160.0
2017-03-29,19230.0
2017-03-30,19215.0
2017-03-31,19060.0
2017-04-03,19185.0
2017-04-04,19135.0
2017-04-05,19110.0
2017-04-06,18930.0
2017-04-07,18940.0
2017-04-10,18890.0
2017-04-11,18755.0
2017-04-12,18765.0
2017-04-13,18895.0
2017-04-14,18830.0
2017-04-17,18840.0
2017-04-18,18925.0
2017-04-19,18820.0
2017-04-20,18855.0
2017-04-21,19045.0
2017-04-24,19095.0
2017-04-25,19355.0
2017-04-26,19530.0
2017-04-27,19305.0
2017-04-28,19315.0
2017-05-02,19445.0
2017-05-04,19715.0
2017-05-08,20190.0
2017-05-10,19925.0
2017-05-11,20245.0
2017-05-12,20090.0
2017-05-15,20175.0
2017-05-16,20250.0
2017-05-17,20170.0
2017-05-18,20210.0
2017-05-19,20065.0
2017-05-22,20295.0
2017-05-23,20310.0
2017-05-24,20255.0
2017-05-25,20565.0
2017-05-26,20705.0
2017-05-29,20600.0
2017-05-30,20495.0
2017-05-31,20455.0
2017-06-01,20350.0
2017-06-02,20700.0
2017-06-05,20695.0
2017-06-07,20550.0
2017-06-08,20570.0
2017-06-09,20770.0
2017-06-12,20620.0
2017-06-13,20655.0
2017-06-14,20685.0
2017-06-15,20650.0
2017-06-16,20565.0
2017-06-19,20780.0
2017-06-20,20850.0
2017-06-21,20760.0
2017-06-22,20945.0
2017-06-23,20965.0
2017-06-26,21150.0
2017-06-27,21145.0
2017-06-28,21010.0
2017-06-29,21245.0
2017-06-30,21145.0
2017-07-03,21175.0
2017-07-04,21080.0
2017-07-05,21190.0
2017-07-06,21170.0
2017-07-07,21055.0
2017-07-10,21110.0
2017-07-11,21305.0
2017-07-12,21280.0
2017-07-13,21565.0
2017-07-14,21640.0
2017-07-17,21710.0
2017-07-18,21640.0
2017-07-19,21670.0
2017-07-20,21800.0
2017-07-21,21845.0
2017-07-24,21885.0
2017-07-25,21715.0
2017-07-26,21710.0
2017-07-27,21690.0
2017-07-28,21265.0
2017-07-31,21340.0
2017-08-01,21470.0
2017-08-02,21545.0
2017-08-03,21205.0
2017-08-04,21305.0
2017-08-07,21285.0
2017-08-08,21260.0
2017-08-09,20990.0
2017-08-10,20800.0
2017-08-11,20465.0
2017-08-14,20595.0
2017-08-16,20760.0
2017-08-17,21000.0
2017-08-18,20995.0
2017-08-21,20900.0
2017-08-22,21045.0
2017-08-23,21075.0
2017-08-24,21105.0
2017-08-25,21105.0
2017-08-28,20950.0
2017-08-29,20840.0
2017-08-30,21010.0
2017-08-31,20925.0
2017-09-01,20895.0
2017-09-04,20720.0
2017-09-05,20645.0
2017-09-06,20695.0
2017-09-07,20925.0
2017-09-08,21000.0
2017-09-11,21220.0
2017-09-12,21155.0
2017-09-13,21310.0
2017-09-14,21305.0
2017-09-15,21475.0
2017-09-18,21880.0
2017-09-19,21785.0
2017-09-20,21820.0
2017-09-21,21955.0
2017-09-22,21760.0
2017-09-25,21955.0
2017-09-26,21690.0
2017-09-27,21675.0
2017-09-28,21720.0
2017-09-29,21840.0
2017-10-10,22275.0
2017-10-11,22610.0
2017-10-12,22720.0
2017-10-13,22670.0
2017-10-16,22590.0
2017-10-17,22780.0
2017-10-18,22635.0
2017-10-19,22510.0
2017-10-20,22700.0
2017-10-23,22720.0
2017-10-24,22785.0
2017-10-25,22705.0
2017-10-26,22615.0
2017-10-27,22685.0
2017-10-30,22865.0
2017-10-31,23185.0
2017-11-01,23545.0
2017-11-02,23395.0
2017-11-03,23470.0
2017-11-06,23335.0
2017-11-07,23340.0
2017-11-08,23405.0
2017-11-09,23325.0
2017-11-10,23300.0
2017-11-13,23110.0
2017-11-14,23170.0
2017-11-15,22935.0
2017-11-16,23085.0
2017-11-17,23100.0
2017-11-20,23010.0
2017-11-21,23000.0
2017-11-22,23215.0
2017-11-23,23140.0
2017-11-24,23050.0
2017-11-27,22735.0
2017-11-28,22695.0
2017-11-29,22765.0
2017-11-30,22345.0
2017-12-01,22255.0
2017-12-04,22535.0
2017-12-05,22570.0
2017-12-06,22330.0
2017-12-07,22225.0
2017-12-08,22400.0
2017-12-11,22395.0
2017-12-12,22325.0
2017-12-13,22320.0
2017-12-14,22460.0
2017-12-15,22405.0
2017-12-18,22400.0
2017-12-19,22540.0
2017-12-20,22440.0
2017-12-21,22020.0
2017-12-22,22020.0
2017-12-26,21945.0
2017-12-27,22215.0
2017-12-28,22565.0
2018-01-02,22620.0
2018-01-03,22650.0
2018-01-04,22560.0
2018-01-05,22720.0
2018-01-08,22875.0
2018-01-09,22815.0
2018-01-10,22555.0
2018-01-11,22455.0
2018-01-12,22455.0
2018-01-15,22545.0
2018-01-16,22715.0
2018-01-17,22725.0
2018-01-18,22705.0
2018-01-19,22745.0
2018-01-22,22425.0
2018-01-23,22690.0
2018-01-24,22765.0
2018-01-25,22910.0
2018-01-26,23025.0
2018-01-29,23115.0
2018-01-30,22910.0
2018-01-31,22915.0
2018-02-01,22835.0
2018-02-02,22355.0
2018-02-05,22330.0
2018-02-06,21975.0
2018-02-07,21390.0
2018-02-08,21565.0
2018-02-09,20865.0
2018-02-12,21360.0
2018-02-13,21490.0
2018-02-14,21830.0
2018-02-19,21810.0
2018-02-20,21660.0
2018-02-21,21670.0
2018-02-22,21655.0
2018-02-23,21805.0
2018-02-26,21870.0
2018-02-27,22010.0
2018-02-28,21665.0
2018-03-02,21420.0
2018-03-05,21105.0
2018-03-06,21495.0
2018-03-07,21700.0
2018-03-08,21865.0
2018-03-09,22060.0
2018-03-12,22205.0
2018-03-13,22475.0
2018-03-14,22470.0
2018-03-15,22470.0
2018-03-16,22480.0
2018-03-19,22340.0
2018-03-20,22300.0
2018-03-21,22340.0
2018-03-22,22430.0
2018-03-23,21690.0
2018-03-26,21895.0
2018-03-27,21870.0
2018-03-28,21590.0
2018-03-29,21900.0
2018-03-30,21880.0
2018-04-02,21830.0
2018-04-03,21595.0
2018-04-04,21435.0
2018-04-05,21745.0
2018-04-06,21480.0
2018-04-09,21750.0
