Date,마이티 코스피100
2016-12-27,19735.0
2016-12-28,19905.0
2016-12-29,19845.0
2017-01-02,19885.0
2017-01-03,20195.0
2017-01-04,20210.0
2017-01-05,20110.0
2017-01-06,20110.0
2017-01-09,20185.0
2017-01-10,20185.0
2017-01-11,20535.0
2017-01-12,20575.0
2017-01-13,20575.0
2017-01-16,20480.0
2017-01-17,20470.0
2017-01-18,20470.0
2017-01-19,20470.0
2017-01-20,20470.0
2017-01-23,20470.0
2017-01-24,20470.0
2017-01-25,20550.0
2017-01-26,20800.0
2017-01-31,20690.0
2017-02-01,20685.0
2017-02-02,20685.0
2017-02-03,20745.0
2017-02-06,20740.0
2017-02-07,20565.0
2017-02-08,20565.0
2017-02-09,20565.0
2017-02-10,20565.0
2017-02-13,20565.0
2017-02-14,20565.0
2017-02-15,20565.0
2017-02-16,20565.0
2017-02-17,20565.0
2017-02-20,20610.0
2017-02-21,20780.0
2017-02-22,20840.0
2017-02-23,20860.0
2017-02-24,20815.0
2017-02-27,20660.0
2017-02-28,20660.0
2017-03-02,20845.0
2017-03-03,20755.0
2017-03-06,20755.0
2017-03-07,20785.0
2017-03-08,20825.0
2017-03-09,20825.0
2017-03-10,20830.0
2017-03-13,21075.0
2017-03-14,21415.0
2017-03-15,21410.0
2017-03-16,21505.0
2017-03-17,21595.0
2017-03-20,21595.0
2017-03-21,21780.0
2017-03-22,21780.0
2017-03-23,21780.0
2017-03-24,21875.0
2017-03-27,21580.0
2017-03-28,21580.0
2017-03-29,21580.0
2017-03-30,21585.0
2017-03-31,21585.0
2017-04-03,21585.0
2017-04-04,21585.0
2017-04-05,21585.0
2017-04-06,21480.0
2017-04-07,21460.0
2017-04-10,21355.0
2017-04-11,21240.0
2017-04-12,21240.0
2017-04-13,21335.0
2017-04-14,21335.0
2017-04-17,21335.0
2017-04-18,21335.0
2017-04-19,21285.0
2017-04-20,21285.0
2017-04-21,21285.0
2017-04-24,21575.0
2017-04-25,21845.0
2017-04-26,21950.0
2017-04-27,21720.0
2017-04-28,21850.0
2017-05-02,21900.0
2017-05-04,22110.0
2017-05-08,22590.0
2017-05-10,22470.0
2017-05-11,22700.0
2017-05-12,22625.0
2017-05-15,22730.0
2017-05-16,22835.0
2017-05-17,22815.0
2017-05-18,22810.0
2017-05-19,22625.0
2017-05-22,22825.0
2017-05-23,22895.0
2017-05-24,22895.0
2017-05-25,23130.0
2017-05-26,23255.0
2017-05-29,23365.0
2017-05-30,23210.0
2017-05-31,23175.0
2017-06-01,23135.0
2017-06-02,23310.0
2017-06-05,23310.0
2017-06-07,23275.0
2017-06-08,23275.0
2017-06-09,23400.0
2017-06-12,23290.0
2017-06-13,23325.0
2017-06-14,23325.0
2017-06-15,23325.0
2017-06-16,23325.0
2017-06-19,23375.0
2017-06-20,23475.0
2017-06-21,23420.0
2017-06-22,23475.0
2017-06-23,23530.0
2017-06-26,23715.0
2017-06-27,23715.0
2017-06-28,23715.0
2017-06-29,23780.0
2017-06-30,23780.0
2017-07-03,23845.0
2017-07-04,23725.0
2017-07-05,23725.0
2017-07-06,23735.0
2017-07-07,23705.0
2017-07-10,23705.0
2017-07-11,23870.0
2017-07-12,23885.0
2017-07-13,24200.0
2017-07-14,24340.0
2017-07-17,24305.0
2017-07-18,24305.0
2017-07-19,24305.0
2017-07-20,24415.0
2017-07-21,24475.0
2017-07-24,24485.0
2017-07-25,24440.0
2017-07-26,24380.0
2017-07-27,24380.0
2017-07-28,23990.0
2017-07-31,23855.0
2017-08-01,24060.0
2017-08-02,24135.0
2017-08-03,23800.0
2017-08-04,23835.0
2017-08-07,23875.0
2017-08-08,23875.0
2017-08-09,23605.0
2017-08-10,23370.0
2017-08-11,23045.0
2017-08-14,23125.0
2017-08-16,23295.0
2017-08-17,23475.0
2017-08-18,23475.0
2017-08-21,23475.0
2017-08-22,23510.0
2017-08-23,23525.0
2017-08-24,23620.0
2017-08-25,23600.0
2017-08-28,23585.0
2017-08-29,23480.0
2017-08-30,23485.0
2017-08-31,23465.0
2017-09-01,23465.0
2017-09-04,23205.0
2017-09-05,23190.0
2017-09-06,23145.0
2017-09-07,23360.0
2017-09-08,23380.0
2017-09-11,23600.0
2017-09-12,23610.0
2017-09-13,23640.0
2017-09-14,23725.0
2017-09-15,23875.0
2017-09-18,24305.0
2017-09-19,24305.0
2017-09-20,24305.0
2017-09-21,24305.0
2017-09-22,24250.0
2017-09-25,24250.0
2017-09-26,24070.0
2017-09-27,24035.0
2017-09-28,24075.0
2017-09-29,24125.0
2017-10-10,24645.0
2017-10-11,24865.0
2017-10-12,25045.0
2017-10-13,25045.0
2017-10-16,25045.0
2017-10-17,25090.0
2017-10-18,25090.0
2017-10-19,25010.0
2017-10-20,25020.0
2017-10-23,25155.0
2017-10-24,25215.0
2017-10-25,25195.0
2017-10-26,25110.0
2017-10-27,25110.0
2017-10-30,25175.0
2017-10-31,25475.0
2017-11-01,25790.0
2017-11-02,25810.0
2017-11-03,25815.0
2017-11-06,25815.0
2017-11-07,25815.0
2017-11-08,25815.0
2017-11-09,25815.0
2017-11-10,25700.0
2017-11-13,25615.0
2017-11-14,25535.0
2017-11-15,25290.0
2017-11-16,25525.0
2017-11-17,25525.0
2017-11-20,25480.0
2017-11-21,25480.0
2017-11-22,25540.0
2017-11-23,25540.0
2017-11-24,25540.0
2017-11-27,25190.0
2017-11-28,25190.0
2017-11-29,25190.0
2017-11-30,24780.0
2017-12-01,24780.0
2017-12-04,24885.0
2017-12-05,24980.0
2017-12-06,24760.0
2017-12-07,24680.0
2017-12-08,24690.0
2017-12-11,24700.0
2017-12-12,24700.0
2017-12-13,24810.0
2017-12-14,24810.0
2017-12-15,24810.0
2017-12-18,24850.0
2017-12-19,24850.0
2017-12-20,24850.0
2017-12-21,24405.0
2017-12-22,24430.0
2017-12-26,24425.0
2017-12-27,24620.0
2017-12-28,24960.0
2018-01-02,25060.0
2018-01-03,25190.0
2018-01-04,25210.0
2018-01-05,25300.0
2018-01-08,25485.0
