Date,TREX 펀더멘탈 200
2018-02-02,34240.0
2018-02-05,33925.0
2018-02-06,33360.0
2018-02-07,32675.0
2018-02-08,32855.0
2018-02-09,32070.0
2018-02-12,32380.0
2018-02-13,32525.0
2018-02-14,32770.0
2018-02-19,33105.0
2018-02-20,32815.0
2018-02-21,32940.0
2018-02-22,32695.0
2018-02-23,33125.0
2018-02-26,33255.0
2018-02-27,33215.0
2018-02-28,32880.0
2018-03-02,32355.0
2018-03-05,31985.0
2018-03-06,32460.0
2018-03-07,32375.0
2018-03-08,32735.0
2018-03-09,33010.0
2018-03-12,33440.0
2018-03-13,33495.0
2018-03-14,33430.0
2018-03-15,33435.0
2018-03-16,33390.0
2018-03-19,33190.0
2018-03-20,33220.0
2018-03-21,33300.0
2018-03-22,33475.0
2018-03-23,32385.0
2018-03-26,32620.0
2018-03-27,32885.0
2018-03-28,32485.0
2018-03-29,32605.0
2018-03-30,32585.0
2018-04-02,32490.0
2018-04-03,32425.0
2018-04-04,32120.0
2018-04-05,32490.0
2018-04-06,32315.0
2018-04-09,32425.0
2018-04-10,32480.0
2018-04-11,32410.0
2018-04-12,32560.0
2018-04-13,32625.0
2018-04-16,32590.0
2018-04-17,32660.0
2018-04-18,33095.0
2018-04-19,33390.0
2018-04-20,33210.0
2018-04-23,33410.0
2018-04-24,33295.0
2018-04-25,33045.0
2018-04-26,33355.0
2018-04-27,32830.0
2018-04-30,33245.0
2018-05-02,33225.0
2018-05-03,33115.0
2018-05-04,32875.0
2018-05-08,32650.0
2018-05-09,32395.0
2018-05-10,32665.0
2018-05-11,32840.0
2018-05-14,32965.0
2018-05-15,32690.0
2018-05-16,32635.0
2018-05-17,32560.0
2018-05-18,32640.0
2018-05-21,32690.0
2018-05-23,32850.0
2018-05-24,32560.0
2018-05-25,32375.0
2018-05-28,32660.0
2018-05-29,32355.0
2018-05-30,31635.0
2018-05-31,31705.0
2018-06-01,31875.0
2018-06-04,32180.0
2018-06-05,32310.0
2018-06-07,32535.0
2018-06-08,32270.0
2018-06-11,32585.0
2018-06-12,32515.0
2018-06-14,31930.0
2018-06-15,31660.0
2018-06-18,31270.0
2018-06-19,30810.0
2018-06-20,31015.0
2018-06-21,30535.0
2018-06-22,30800.0
2018-06-25,30885.0
2018-06-26,30770.0
2018-06-27,30550.0
2018-06-28,30210.0
2018-06-29,30340.0
2018-07-02,29650.0
2018-07-03,29660.0
2018-07-04,29505.0
2018-07-05,29495.0
2018-07-06,29795.0
2018-07-09,29960.0
2018-07-10,30015.0
2018-07-11,29875.0
2018-07-12,29855.0
2018-07-13,30210.0
2018-07-16,30115.0
2018-07-17,30155.0
2018-07-18,30025.0
2018-07-19,29980.0
2018-07-20,30145.0
2018-07-23,30095.0
2018-07-24,30220.0
2018-07-25,30295.0
2018-07-26,30435.0
2018-07-27,30465.0
2018-07-30,30560.0
2018-07-31,30560.0
2018-08-01,30580.0
2018-08-02,30075.0
2018-08-03,30260.0
2018-08-06,30285.0
2018-08-07,30360.0
2018-08-08,30370.0
2018-08-09,30365.0
2018-08-10,30190.0
2018-08-13,29805.0
2018-08-14,29900.0
2018-08-16,29735.0
2018-08-17,29730.0
2018-08-20,29840.0
2018-08-21,30000.0
2018-08-22,30000.0
2018-08-23,29975.0
2018-08-24,30050.0
2018-08-27,30130.0
2018-08-28,30285.0
2018-08-29,30365.0
2018-08-30,30320.0
2018-08-31,30410.0
2018-09-03,30210.0
2018-09-04,30265.0
2018-09-05,30015.0
2018-09-06,30040.0
2018-09-07,29985.0
2018-09-10,30080.0
2018-09-11,29940.0
2018-09-12,29915.0
2018-09-13,29975.0
2018-09-14,30305.0
2018-09-17,30100.0
2018-09-18,30130.0
2018-09-19,30050.0
2018-09-20,30340.0
2018-09-21,30440.0
2018-09-27,30820.0
2018-09-28,30800.0
2018-10-01,30770.0
2018-10-02,30500.0
2018-10-04,30030.0
