Date,TIGER LG그룹+펀더멘털
2016-08-25,6610.0
2016-08-26,6610.0
2016-08-29,6525.0
2016-08-30,6595.0
2016-08-31,6570.0
2016-09-01,6560.0
2016-09-02,6505.0
2016-09-05,6645.0
2016-09-06,6570.0
2016-09-07,6540.0
2016-09-08,6450.0
2016-09-09,6430.0
2016-09-12,6370.0
2016-09-13,6240.0
2016-09-19,6255.0
2016-09-20,6225.0
2016-09-21,6335.0
2016-09-22,6335.0
2016-09-23,6350.0
2016-09-26,6340.0
2016-09-27,6390.0
2016-09-28,6325.0
2016-09-29,6330.0
2016-09-30,6245.0
2016-10-04,6235.0
2016-10-05,6265.0
2016-10-06,6215.0
2016-10-07,6240.0
2016-10-10,6295.0
2016-10-11,6365.0
2016-10-12,6330.0
2016-10-13,6260.0
2016-10-14,6305.0
2016-10-17,6320.0
2016-10-18,6305.0
2016-10-19,6295.0
2016-10-20,6360.0
2016-10-21,6320.0
2016-10-24,6415.0
2016-10-25,6390.0
2016-10-26,6350.0
2016-10-27,6320.0
2016-10-28,6165.0
2016-10-31,6120.0
2016-11-01,6170.0
2016-11-02,6130.0
2016-11-03,6165.0
2016-11-04,6110.0
2016-11-07,6115.0
2016-11-08,6200.0
2016-11-09,6015.0
2016-11-10,6130.0
2016-11-11,6040.0
2016-11-14,6070.0
2016-11-15,6075.0
2016-11-16,6155.0
2016-11-17,6155.0
2016-11-18,6110.0
2016-11-21,6055.0
2016-11-22,6040.0
2016-11-23,6140.0
2016-11-24,5990.0
2016-11-25,6000.0
2016-11-28,6030.0
2016-11-29,6010.0
2016-11-30,5965.0
2016-12-01,6060.0
2016-12-02,6050.0
2016-12-05,6025.0
2016-12-06,6195.0
2016-12-07,6245.0
2016-12-08,6335.0
2016-12-09,6360.0
2016-12-12,6340.0
2016-12-13,6400.0
2016-12-14,6350.0
2016-12-15,6440.0
2016-12-16,6400.0
2016-12-19,6395.0
2016-12-20,6405.0
2016-12-21,6460.0
2016-12-22,6495.0
2016-12-23,6495.0
2016-12-26,6530.0
2016-12-27,6525.0
2016-12-28,6635.0
2016-12-29,6595.0
2017-01-02,6575.0
2017-01-03,6670.0
2017-01-04,6685.0
2017-01-05,6695.0
2017-01-06,6690.0
2017-01-09,6695.0
2017-01-10,6655.0
2017-01-11,6780.0
2017-01-12,6820.0
2017-01-13,6800.0
2017-01-16,6715.0
2017-01-17,6775.0
2017-01-18,6765.0
2017-01-19,6715.0
2017-01-20,6715.0
2017-01-23,6760.0
2017-01-24,6675.0
2017-01-25,6665.0
2017-01-26,6715.0
2017-01-31,6730.0
2017-02-01,6880.0
2017-02-02,6890.0
2017-02-03,6895.0
2017-02-06,6900.0
2017-02-07,6905.0
2017-02-08,6935.0
2017-02-09,6985.0
2017-02-10,7055.0
2017-02-13,6985.0
2017-02-14,6990.0
2017-02-15,7020.0
2017-02-16,6985.0
2017-02-17,6960.0
2017-02-20,6950.0
2017-02-21,7060.0
2017-02-22,7065.0
2017-02-23,7140.0
2017-02-24,7070.0
2017-02-27,6960.0
2017-02-28,7015.0
2017-03-02,7110.0
2017-03-03,7075.0
2017-03-06,6965.0
2017-03-07,7110.0
2017-03-08,7130.0
2017-03-09,7080.0
2017-03-10,7040.0
2017-03-13,7130.0
2017-03-14,7195.0
2017-03-15,7205.0
2017-03-16,7275.0
2017-03-17,7300.0
2017-03-20,7245.0
2017-03-21,7400.0
2017-03-22,7435.0
2017-03-23,7525.0
2017-03-24,7540.0
2017-03-27,7475.0
2017-03-28,7520.0
2017-03-29,7600.0
2017-03-30,7530.0
2017-03-31,7500.0
2017-04-03,7510.0
2017-04-04,7415.0
2017-04-05,7400.0
2017-04-06,7470.0
2017-04-07,7495.0
2017-04-10,7390.0
2017-04-11,7435.0
2017-04-12,7385.0
2017-04-13,7425.0
2017-04-14,7325.0
2017-04-17,7445.0
